generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
35,0.9607398759521197,0.03926012404788019,0.9933687327536256,0.08079382470435854,0.9933687327536256,0.08079382470435854,StrategyAddTreeWithSub,StrategyAddSubX,35,35,((6)*((x)-((3)-((6)-(3))))),((((x)-(4))-((x)*((x)*(0))))+((((x)*(1))*(2))-(x))),5*x*x*x,4
36,0.9625939894567445,0.03740601054325551,0.9934681856567522,0.0764462934142686,0.9934681856567522,0.0764462934142686,StrategyAddTreeWithSub,StrategyAddSubX,36,36,(((0)*(7))*((((2)-(2))-((6)-(9)))+(7))),((((7)-(x))*((7)-(1)))*(((x)-(3))-(((x)*(((x)*(1))*((x)*(8))))*(x)))),5*x*x*x,4
37,0.9631136999211022,0.03688630007889788,0.9913877100526642,0.07301022559819523,0.9913877100526642,0.07301022559819523,StrategySkip,StrategyAddSubX,37,37,(((9)-((2)-(8)))-(2)),((((x)*(0))-(8))+(((x)*(((x)*((x)-(6)))*(7)))-(0))),5*x*x*x,4
38,0.9614490287579698,0.038550971242030434,0.9956848789316933,0.07637477892187103,0.9956848789316933,0.07637477892187103,StrategyReplaceBranchX,StrategyAddSubX,38,38,((4)+((x)-(((9)-(3))-(7)))),(((7)-(((x)*(((x)-(0))*(9)))+(7)))-((2)-((x)*((x)*(3))))),5*x*x*x,4
39,0.9628366481459584,0.037163351854041744,0.9924507912573158,0.08047635126203274,0.9924507912573158,0.08047635126203274,StrategyAddTreeWithSub,StrategyAddSubX,39,39,(((5)*(x))*(((2)-((1)-(2)))+(6))),((((((x)*((x)*(2)))*(5))-(5))-((7)-(3)))*(((x)-(8))-((1)*((x)*(3))))),5*x*x*x,4
40,0.9613160177637909,0.038683982236209585,0.9891154378325429,0.08738169322713855,0.9891154378325429,0.08738169322713855,StrategyAddTreeWithSub,StrategyAddSubX,40,40,(((((7)-(1))-(6))-((5)-(2)))*((0)-(3))),(((1)-((((x)*(6))*((x)*(x)))*(x)))*(((x)-(4))-(((x)*(2))-(9)))),5*x*x*x,4
41,0.9626896436836276,0.03731035631637275,0.9947545706874859,0.06805951012327784,0.9947545706874859,0.06805951012327784,StrategyAddTreeWithSub,StrategyAddMultX,41,41,(((1)+(((1)-(9))-(3)))*(((1)-(8))*(x))),((((x)*(1))*(((x)*(5))*(7)))-(((x)*(x))+((2)-(((x)-(7))*(8))))),5*x*x*x,4
42,0.96231088544901,0.03768911455099003,0.992930884229999,0.0767924928946657,0.992930884229999,0.0767924928946657,StrategyAddTreeWithSub,StrategyAddSubX,42,42,(((x)-((9)-(x)))*(((8)-(6))*(x))),(((6)-((((x)*(7))*(0))-((x)*(x))))-(((x)-(7))-((x)*(x)))),5*x*x*x,4
43,0.9606705671289323,0.039329432871067646,0.9913441851566912,0.08313757884075294,0.9913441851566912,0.08313757884075294,StrategyReplaceBranchX,StrategyAddSubX,43,43,(((x)+((4)-(((2)-(0))-(x))))*((x)*(x))),(((x)-(((x)*((x)*(1)))-((x)*(7))))*(((x)-(6))-((x)*(5)))),5*x*x*x,4
44,0.9602162380814994,0.03978376191850063,0.9924470195606487,0.09822194330691776,0.9924470195606487,0.09822194330691776,StrategyAddTreeWithSub,StrategyAddSubX,44,44,(((5)-(8))*(((2)-(8))-(2))),((((x)*(5))-(0))*((((x)*(x))*(((x)-(9))*(7)))-(0))),5*x*x*x,4
45,0.9609764040912228,0.03902359590877686,0.9875068051814769,0.07374157757288824,0.9875068051814769,0.07374157757288824,StrategyAddTreeWithSub,StrategyAddSubX,45,45,(((5)*(x))*((5)+((6)-(((2)-(9))-(3))))),(((((x)-(4))*(6))*((4)-(4)))-((7)-(((x)*(x))*((x)*(3))))),5*x*x*x,4
46,0.9620594774866414,0.037940522513358596,0.9920879531675579,0.08591062589927242,0.9920879531675579,0.08591062589927242,StrategyReplaceBranchX,StrategyAddSubX,46,46,((4)-(((x)+(x))-((1)-(x)))),(((((x)*(7))*(3))-((4)-((x)*((x)-(4)))))-(((x)*(2))*(x))),5*x*x*x,4
47,0.9607733546651247,0.0392266453348752,0.9928889768966528,0.07774565929107764,0.9928889768966528,0.07774565929107764,StrategyReplaceBranchX,StrategyAddSubX,47,47,(((4)-(2))+((5)-((5)*(1)))),((((x)*(x))*(((x)-(x))-((x)*((x)*(8)))))*((x)*(((x)*(9))-(6)))),5*x*x*x,4
48,0.9617595263658849,0.0382404736341151,0.986997006320979,0.0810561587294995,0.986997006320979,0.0810561587294995,StrategyAddTreeWithMult,StrategyAddSubX,48,48,((((1)*(9))-((9)-(9)))+(6)),((((x)*(6))*((x)-((x)*(9))))-((((x)-(7))*(1))-(9))),5*x*x*x,4
49,0.9600174430948759,0.039982556905124346,0.9955693182612723,0.1025168960108429,0.9955693182612723,0.1025168960108429,StrategyAddTreeWithSub,StrategyAddSubX,49,49,((7)+((8)-(((9)-(8))-(7)))),((((x)*(7))+((x)-(6)))-(((x)*(5))*((x)*(0)))),5*x*x*x,4
50,0.9710045231344958,0.052505443775667356,0.9955693182612723,0.1025168960108429,0.9955693182612723,0.1025168960108429,StrategyAddTreeWithSub,StrategyAddSubX,49,49,(((7)+((8)-(9)))-((8)-(7))),((((x)*(7))+((x)-(6)))-((x)*((5)*((x)*(0))))),5*x*x*x,4
