gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.03839987873808088,0.00000004733095984415581,-0.03839976932783411,0.00000012306049559604487,8451.7685,8451.118,8452.3464,8451.101999999999,-0.9599879892956302,0.00000321850526946045,0.000005375948569346554,0.0000007332480769599367,211314.01,211277.7,211341.64,211277.52,(((4)-(x))*((9)-(x))),((7)-(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,11,12,12,3
12,x*x*x*x*3*x+1,25,-10,-0.03839991506553918,0.00000005963700940355365,-0.038399812493669486,0.0000001382064027449074,8451.57662,8451.1154,8452.1184,8451.0988,-0.9599899658365132,0.000003597152948147576,0.000004982942895190499,0.000001580220963102478,211307.022,211277.74,211331.2,211277.44,(((0)*((0)-(9)))+((x)*((7)-(x)))),((9)+(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,11,13,13,3
13,x*x*x*x*3*x+1,25,-10,-0.0383999573903034,0.00000021582917688747705,-0.03839989155530481,0.000000649380769055178,8451.353062499998,8451.0824,8451.700799999999,8450.9908,-0.9599965770249841,0.00003029181429992911,0.0000009423282284820382,0.00001400090007445032,211289.22,211276.22999999998,211296.28,211271.8,(((0)-((0)+(4)))*((5)-((x)-(x)))),((x)-(0)),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|SkipD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,12,13,14,14,3
14,x*x*x*x*3*x+1,25,-10,-0.04099995560355966,0.000003611825568595674,-0.03839989503886345,0.000028629550990117945,7923.1669999999995,8450.3649,8451.6824,8445.0792,-0.959997682676206,0.0014282590442365056,0.000000588887432724205,0.0007138774473786994,211286.93,211202.68,211290.44,210976.44,(((3)+((1)*(1)))-((x)-(x))),((((0)-(1))+((4)-(0)))-((0)-((9)*((x)*(x))))),DeleteNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddToLeafR|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,14,12,15,15,3
15,x*x*x*x*3*x+1,25,-10,-0.04099995132484089,0.00000005916369980536694,-0.038399927526834285,0.00000013063344916978737,7923.1896,8451.1155,8451.5108,8451.100400000001,-0.959997576654856,0.0000034078291087351373,0.0000011730828567180738,0.000001674740319931848,211287.47999999998,211277.66999999998,211291,211277.48,(((x)*((4)*(0)))-((x)-(x))),((8)+(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,10,15,16,16,3
16,x*x*x*x*3*x+1,25,-10,-0.03839991438775984,0.00000006389679578964477,-0.03839982218705006,0.0000001306334491711649,8451.5802,8451.114500000001,8452.0672,8451.100400000001,-0.9599932524983648,0.00000321850526946045,0.000002091972740852981,0.000000983755526640237,211297.47999999998,211277.7,211313.84,211277.52,((((8)*(x))/((0)-(2)))-((7)+((8)-(x)))),((7)-(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,10,16,17,17,3
17,x*x*x*x*3*x+1,25,-10,-0.04099995346420029,0.0000000686298917739226,-0.03839985815857954,0.0000001173807804136717,7923.1783000000005,8451.113500000001,8451.877199999999,8451.103200000001,-0.9599969783915235,0.0000030291814300480114,0.0000012386255669670536,0.000001428318403318503,211288.53,211277.77000000002,211294.16,211277.56,(((7)+((0)-(0)))-((x)-((6)*(7)))),((6)+(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,17,18,18,3
18,x*x*x*x*3*x+1,25,-10,-0.04359993376742135,0.0000001263736627826631,-0.03839985157010993,0.00000037107472517399384,7395.086837500001,8451.101300000002,8451.912,8451.0496,-0.9599967133381485,0.00003029181429992911,0.0000009625374935283006,0.000014211483585388564,211288.27000000002,211276.28000000003,211295.56,211271.8,(((1)-((0)-(4)))*((8)+((9)-(x)))),((x)-(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|ReplaceBranchR|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,18,19,19,3
19,x*x*x*x*3*x+1,25,-10,-0.038399898882926234,0.000000057270461411242557,-0.03839973600683838,0.0000001268469723815386,8451.662095833333,8451.1159,8452.5224,8451.1012,-0.9599891555304806,0.000003597152948147576,0.0000036356224501930696,0.0000017030378295769026,211308.84000000003,211277.71000000002,211335.48,211277.44,((((2)-(0))-((9)*(x)))-((x)+((0)-(x)))),((9)+(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,19,20,20,3
20,x*x*x*x*3*x+1,25,-10,-0.03839991849135405,0.00000013583985475190755,-0.038399845360287996,0.0000006645266762054181,8451.558525,8451.0993,8451.9448,8450.9876,-0.9599927678293358,0.00003029181429992911,0.000002438675272336312,0.000014644885314544153,211301.26,211276.41,211316.4,211271.8,((((1)-(x))+((x)*(3)))-((0)-((x)-(x)))),((x)-(0)),ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|AddTreeWithAdd|DeleteTerminalR|SkipD|SubXD|AddTreeWithMult,DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|AddXD|FellTreeD|MutateTerminalR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|MultXD|SkipD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|MultXD|FellTreeD|ReplaceBranchR|DeleteTerminalR,DeleteNonTerminalR,AddRandomSubTreeR,10,18,21,21,3
