gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.038386702196440525,0.0000021369928369346724,-0.038344235799055465,0.0000054203415212761045,8521.3664,8450.6765,8745.671999999999,8449.9828,-0.9550205103981386,0.00023854803761118413,0.002485016210936133,0.00010489645601746204,217891.32,211261.03999999998,237579.64,211227.8,(((((4)-(4))-((9)*(3)))*(((1)+(4))-((0)+((6)*(8)))))*((((0)/(3))-((4)-(0)))-(((5)*(3))*((6)*((5)*(6)))))),((x)*(8)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DivXD|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,11,10,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.04100041449724246,0.0000033079607834626393,-0.03839970488199918,0.000009246576315021816,7920.743144217687,8450.4291,8452.6868,8449.1744,-0.9599981749181885,0.00026808255655346347,0.0000008667062574334498,0.00013153906451138838,211281.69,211248.63999999998,211287.84,211221.56,((((5)-(0))*((2)+(0)))-((9)-((0)*(0)))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithSub|MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateNonTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,12,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.03839331488056979,0.000003914743688655528,-0.03832682648754107,0.000008951231125599023,8486.4385,8450.3009,8837.627199999999,8449.236799999999,-0.9527024368817986,0.00026808255655346347,0.0046913201893427,0.00011721194702216984,215596.87,211255.62,249823.6,211221.56,((((9)-((0)-(7)))*(((x)*(5))+((2)*(x))))+(((x)+(0))*((4)*((x)-((x)*(x)))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DivXD|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|AddTreeWithMult|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DivXD,11,13,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.040776877008607604,0.0000033188469042271325,-0.03744343918113653,0.000008065195557330642,9101.458100000002,8450.4268,13503.6392,8449.424,-0.8653332336227779,0.00023854803761118413,0.04735563782165,0.0000997017278886703,336127.30000000005,211257.91999999998,711303.8,211227.8,(((((9)+(2))*((2)*(6)))-(((1)*(1))*((8)-(1))))+(((x)*((3)*(4)))+(((0)-(6))*((x)*((x)*(x)))))),((x)*(8)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DivXD|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|AddTreeWithMult|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DivXD,11,13,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.04099944534743636,-0.0199984271922044,-0.038392320722156856,-0.019996681153095774,7925.8621498817965,6665.6837,8491.6896,6665.3148,-0.9592729964568043,-2,0.00034289390828503007,0,212587.63222222222,32767,215118.2,32767,((((0)+(5))*((4)*((2)*(3))))*(((1)*(0))-((5)*((x)-(0))))),((x)+((1)/(x))),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,15,14,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.0434409760495877,-0.019997977548085886,-0.037764131197634214,0.0000042124554260713225,8234.69435,6665.588699999998,11809.758399999999,8450.238000000001,-0.8968642103160668,0.00003237437653305268,0.03156789484196659,1.0000161871882667,294648.30000000005,77393.09,544758.6,211271.36,(((((3)-(8))*((1)*(9)))*(((3)-(5))-((x)*(4))))+(((8)+((1)-(0)))*(((2)*(x))-((2)*((5)*(9)))))),((x)+(3)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,16,16,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.04076618475545513,-0.029998478861810667,-0.03745869686508121,-0.019996059224283432,9157.934099999999,5773.138616666666,13423.048799999999,6665.183400000001,-0.8671524691141822,-2,0.5372604005676452,0,281062.76999999996,32767,701694.6799999998,32767,(((((8)-(3))*((1)/((6)*(2))))-(((8)*(4))*((x)*((7)-(8)))))*((((3)*(3))-((6)-(7)))-(((0)-(4))*((3)*((x)*(x)))))),(((0)-((4)-(x)))*((8)/(x))),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,17,16,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.0410000929958699,-0.029999180227775507,-0.03839893600002272,0.00000186862629462333,7922.4413,5773.286799999999,8456.748,8450.733199999999,-0.9598936000022719,0.00003256370037232737,0.000051006291999977026,1.000016281850186,211441.06,77393.08,211840.2,211271.32,(((((1)*(8))-((5)+((2)*(x))))*(((0)-(4))*((0)+((7)+(5)))))*((((9)*(6))*((0)/(7)))*(((5)-(3))-((x)*((x)*(x)))))),((x)+(4)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DivXD|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,18,17,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.04100751908282877,0.0000018492206010866543,-0.03839935501154402,0.0000071640140819106435,7883.2170428571435,8450.7373,8454.5348,8449.614399999999,-0.9599785685413829,0.00026808255655346347,0.00006297339481952711,0.00012472763165910926,211150.71,211260.82,211391.4,211221.56,((((7)-(3))+((1)*((1)*(1))))-(((6)+(7))*((8)-((6)+(3))))),((x)*(9)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,18,18,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.038272736382646194,0.0000016608433809098483,-0.037891617781673645,0.00000333967252655768,9123.328700000002,8450.7771,11136.38,8450.4224,-0.9094598344741672,0.00017947899972648766,0.025228630128164155,0.00008131253191580404,278345.80000000005,211265.69,478229.08,211240.28,(((((9)-(9))*((0)*((3)*(x))))*(((4)+(7))+((2)-((x)-(7)))))+((((2)-(8))*((9)*(5)))-(((6)-(0))*((x)*((7)*(x)))))),((x)*(6)),AddTreeWithAdd|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR,DivXD|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|DeleteTerminalR|FellTreeD|SubXD|DeleteNonTerminalR|DeleteTerminalR|MutateNonTerminalR|SubXD|DeleteTerminalR|AddTreeWithSub|AddTreeWithSub|DivXD|DeleteTerminalR|FellTreeD|SkipD|MutateTerminalR|ReplaceBranchXR,AddRandomSubTreeR,DeleteTerminalR,20,20,21,21,1
