gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.02778984959500098,-0.014986778102215608,-0.013281611885996986,0.000048807685790586525,711724.8187,7109.500507692307,2590108.7264,8440.816,0.9793150848634414,0.0024596953211454002,1.0636849306665968,1.0004943822430203,69784884.47,166493.9,255352993.48,210758.52,(((((1)-(0))*((x)*((3)*(1))))*(((x)-(5))-((0)*((2)+(0)))))*((((3)*(7))*((5)*(8)))+(((4)*(x))*((x)+((x)*((x)-(x))))))),(((8)*((7)+(3)))+((x)*((4)*(3)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|MultXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,20,21,22,22,0
22,x*x*x*x*3*x+1,25,-10,-0.033922055743455276,-0.014999963383609117,-0.020512269827684858,0.0000024643653091852045,85071.2814,7112.286311904762,314804.72719999996,8450.607333333333,0.8287670648900043,0.00005181162404206825,0.8939527244033892,1.1547203866456215,7873530.16,122018.96833333332,30846606.68,211267.25333333333,(((((7)*(1))*((x)*(x)))*(((4)+(5))*((0)*(7))))+(((4)+((3)*(x)))*((x)+((x)*((x)-(x)))))),(((((x)+(x))+((7)+(3)))-(((3)*(1))+((x)-((6)*(x)))))*((((0)*(7))+((8)-(7)))+(((5)+(0))/((6)-((3)+(x)))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,MutateTerminalR,20,22,23,23,0
23,x*x*x*x*3*x+1,25,-10,-0.03313609556013703,-0.0050773789360779135,-0.017882867706630296,0.000006821337932643005,53107616.63599999,8021.733577777778,212402268.904,8449.686800000001,0.999751309934022,0.00018307615267463523,0.9798750996170925,1.000009781838422,5309935292.32,166647.3,21239107317.08,211239.52,(((((x)*(4))*((x)*(x)))*(((0)+(2))*((5)*((x)*(7)))))*(((2)+((5)-(2)))*(((9)*(2))*((x)*((x)-(x)))))),((((8)-(6))+((4)+((1)*(x))))-((x)+((8)+((9)+(8))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|DeleteMaliciousR|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|SubXD|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,MutateTerminalR,23,22,24,24,0
24,x*x*x*x*3*x+1,25,-10,-0.03825932140656254,0.0000028563877436506365,-0.03783552809518445,0.000019110348346400077,9194.186000000002,8450.524516666666,11432.643199999999,8447.090400000001,-0.9035556872408039,0.0008068982034114758,0.02822584992542161,0.00040394128819041505,285783.02,211235.66,509414.52,211107.72,((((3)-((x)+(4)))*(((3)*(x))*((6)+(1))))*(((1)*(3))*((x)+((x)*((x)-(x)))))),(((9)*((x)*(3)))+((7)+((4)+(1)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|MutateTerminalR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|AddTreeWithAdd|SkipD|AddTreeWithAdd|MutateTerminalR|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,24,23,25,25,0
25,x*x*x*x*3*x+1,25,-10,-0.0285493060759105,-0.02499607825433443,0.0010164535864573977,0.00002541672543594456,7708103.969400001,6218.90942063492,30807134.739600006,8445.758,0.9981338074930641,0.001220949440122175,0.9792495810110379,1.1550540209389777,707741436.36,121957.94206349205,2830337695.8,211020.24,(((((2)*(9))+((6)+((2)*(5))))*(((9)*(5))+((5)*((0)+(9)))))*((((x)*(3))*((x)+(8)))*(((0)-(5))*((x)+((x)*((x)-(x))))))),((((x)*(6))*((5)+(4)))+((7)+((5)+(8)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|MutateTerminalR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|AddTreeWithAdd|SkipD|AddTreeWithAdd|MutateTerminalR|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,24,23,26,26,0
26,x*x*x*x*3*x+1,25,-10,-0.03353781299045599,-0.009920302888691078,-0.01878836378878953,0.0003329373309693119,28060669.7238,7541.735037499999,112218185.8792,8380.785600000001,0.9995292868641291,0.005959157168131913,0.9797990153697616,1.0009925148578422,2805452216.56,166337.11,11221176120.84,210019.16,(((((3)-(7))*((7)+((5)+(6))))*(((x)+(6))*((x)*((x)*(3)))))*((((0)+(7))*((x)*(3)))+(((1)*(9))*((x)+((x)*((x)-(x))))))),(((x)*((7)+(0)))*((5)*((6)+(0)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,26,26,27,27,0
27,x*x*x*x*3*x+1,25,-10,-0.03433256585895799,-0.01984930683221291,-0.022124984102706264,0.0006117483961904286,47628.8547,6634.17805,165189.92,8321.8789,0.6674898819431465,0.06068150902459422,0.8137895570929689,1.1724719970896094,4129379.12,118818.85,15885095.56,198457.52,((((x)*((9)*(1)))+((x)*((6)*(0))))+(((4)*(x))*((x)+((x)*((x)-(x)))))),(((((9)*((6)*(7)))+(((8)*(x))*((1)-(1))))+(((x)-((4)*(3)))*(((1)-(x))-((6)*(8)))))-((((9)+((1)*(0)))*((2)*((7)+(x))))*(((x)-((3)-(x)))-(((1)+(4))+((x)/((1)+(x))))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,27,27,28,28,0
28,x*x*x*x*3*x+1,25,-10,-0.03351630090558115,-0.030003889395883814,-0.01880675193161537,0.0000041802703733767175,19737650.887,5774.2836,78925558.9032,8450.2448,0.9993307137422511,0.000031806405014815366,0.9796949172998521,1.0000159032025076,1973138746.1999998,77393.12,7891922086.92,211271.48,(((((3)*(9))*((x)*((x)*(x))))*(((7)-(0))*((6)*((7)*(6)))))*((((x)+(8))+((2)-(4)))*(((3)-(9))*((x)+((x)*((x)-(x))))))),(((x)-(0))+((4)+(6))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|MultXD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,27,28,29,29,0
29,x*x*x*x*3*x+1,25,-10,-0.03551632424461751,-0.02499715635344907,-0.02686383782177524,0.000021639714840435066,24295.9784,6219.1372,71838.2368,8446.556,0.1935507117740529,0.00001817508858001257,0.576777959790418,1.1547103759348905,1795848.79,122020.79999999999,6549643.08,211274.36,(((((x)*(2))*((2)*((x)*(x))))*(((3)*(1))*((8)+((7)-(8)))))*((((9)*(0))+((9)*(0)))*(((x)+(x))+((1)*((x)-(x)))))),(((7)*((9)+(9)))+((2)+((5)+(7)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|SkipD|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,29,29,30,30,0
30,x*x*x*x*3*x+1,25,-10,-0.031199122038423514,-0.0052241168119796615,-0.009594874433016772,0.00003654328747594619,66626.53499999999,8057.217640000001,241161.2796,8443.407200000001,0.6859255075792077,0.0008671031843323715,0.8229671224121512,1.0001622295255246,4362804.79,166599.01,16817523,211095,(((((x)*(6))-((1)*(x)))*(((x)-(4))*((7)*(3))))*(((0)+((3)*(1)))*(((x)+(0))+((x)*((x)-(x)))))),((((x)+(x))+((x)*(6)))+((8)+((2)+((7)+(5))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|DivXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,28,29,31,31,0
31,x*x*x*x*3*x+1,25,-10,-0.0384027231773084,-0.01589695852189074,-0.03840008254519396,0.0000013820640274325436,8436.744299999998,7407.871813333334,8450.692000000001,8450.836000000001,-0.9600035592881802,0.000014009964113765427,0.000000018932383938352615,1.1546987349571958,211259.34999999998,122022.93,211259.4,211275.24,(((((x)*(0))-((x)*(x)))-(((7)*(x))-((0)*((3)+(0)))))*(((0)*((x)+(9)))-(((0)*(8))+((x)*((x)-(x)))))),(((4)*((5)-(4)))*((0)+((5)+(6)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,30,30,32,32,0
32,x*x*x*x*3*x+1,25,-10,-0.03821755147478537,-0.009957534934542099,-0.03766115220595404,0.0003427916368087209,9414.8129,7549.600105263158,12353.688799999998,8378.7036,-0.8861106919691667,0.00003597152948106251,0.036946000105739306,1.0000143554186367,308837.54,166645.8505263158,601558.2,211270.6,(((((x)-(6))*((2)*(7)))-(((0)*(2))*((5)-(2))))+(((7)+((8)*(9)))*((x)+((x)*((x)-(x)))))),((((1)+(2))+((x)+(3)))+((3)+((6)+((7)+(0))))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|AddXD|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,31,32,33,33,0
33,x*x*x*x*3*x+1,25,-10,-0.03401591185543423,-0.01999083995617542,-0.020817630369338744,0.00008036039686063331,73312.996,6664.081089166932,268141.66,8434.149599999999,0.7982476409306665,0.0038489536544707953,0.8791603502362989,1.0007012210353838,6703266.21,166428.6490909091,26180387.8,210465,(((((4)+(9))*((2)+(x)))+(((4)*(5))*((1)*((2)*(8)))))*(((7)*((5)+(x)))-(((9)*(x))+((x)*((x)-(x)))))),(((6)*((6)+(x)))*((4)+((3)*(6)))),MutateTerminalR|AddTreeWithMult|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|AddRandomSubTreeR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|DeleteMaliciousR|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,33,32,34,34,0
34,x*x*x*x*3*x+1,25,-10,-0.025008145097936727,-0.015023389111856751,0.001781240518840218,0.00001066271863353758,1202007.7475,7117.293200000001,4698822.3572,8448.8752,0.9795234579227735,0.0000068156582174702746,0.9795980780469701,1.1547019593612053,66757395.25,122022.34,257951512.52,211276.76,(((((x)+(1))*((3)*(6)))*(((7)*(4))*((3)*((3)+(x)))))*((((3)*(x))+((1)*(2)))-(((0)-(9))+((x)*((x)-(x)))))),(((7)*((4)+(9)))+((8)+((1)+(2)))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|SkipD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|DeleteMaliciousR|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,34,32,35,35,0
35,x*x*x*x*3*x+1,25,-10,-0.03608510152017577,-0.010008481019557813,-0.029139488693107004,0.00002948075799708704,20678.317600000002,7560.3826288888895,57364.73199999999,8444.89936,-0.49095632204363726,0.0005929622649189497,0.23452520646120348,1.0000994373597096,830618.4199999999,166618.89888888889,2688745.8,211152.92,(((((3)*(x))*((0)+(1)))*(((x)*(9))*((9)-(2))))+(((x)*((1)+(1)))*(((4)+(8))+((x)*((x)-(x)))))),(((x)*(1))+((4)*(4))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|SkipD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,34,35,36,36,0
36,x*x*x*x*3*x+1,25,-10,-0.03812688726049351,-0.004941374500185201,-0.037288229680108975,0.00046869956294591834,9893.6972,7992.463713758898,14323.448799999998,8352.101999999999,-0.852657851117626,0.000035024910284275815,0.05367249712481004,1.0000074341132534,353011.02999999997,166648.04403471324,778254.6,211270.8,(((((6)-(2))*((4)*(x)))*(((x)*(1))-((2)*((x)-(4)))))+(((0)*((7)+(0)))-(((6)-(7))+((x)*((x)-(x)))))),((((0)*(6))+((x)+((x)+(6))))*((6)-((3)-((1)+(x))))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|SkipD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,34,36,37,37,0
37,x*x*x*x*3*x+1,25,-10,-0.0337548256274025,-0.004979165602864389,-0.019818504244573678,0.0001203266593524566,134664.8869,8000.452395238094,513310.38,8425.7056,0.8957880408457254,0.000034078291087351375,0.9278948887917857,1.0000019567551535,12829634.24,166649.78,50684729.88,211271,(((((x)*(8))-((1)*(x)))*(((6)-(0))-((8)*((3)*(3)))))*((((x)+(6))+((0)*(6)))+(((0)+(4))+((x)*((x)-(x)))))),(((8)+((x)+(6)))-((0)+((6)+(4)))),MutateTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchXR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,37,37,38,38,0
38,x*x*x*x*3*x+1,25,-10,-0.03841209245440372,-0.010000235202630494,-0.038296998743836325,0.00000032185052693915746,8387.256200000002,7558.621694682267,8995.176,8451.06,-0.9497022977287766,0.000013063344916840986,0.0051606489693411615,1.1547034228691269,224783.3,122022.07222222222,265670.2,211275.44,(((((4)-(7))-((4)-(2)))-(((x)+(0))*((4)*(3))))*(((x)+((x)-(9)))*((x)+((x)*((x)-(x)))))),(((0)+((7)*(6)))+((8)+(9))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|DeleteMaliciousR|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,38,38,39,39,0
39,x*x*x*x*3*x+1,25,-10,-0.03412201863521614,-0.015000185766310228,-0.020844322634610155,0.000017404540553642515,71931.2926,7112.334794017094,264715.66400000005,8447.4508,0.7955722197275009,0.00005869039020600934,0.8778423681378533,1.0000116437335598,6617451.9,166646.71000000002,25837755.48,211265.8,((((7)*((4)*(4)))*(((4)*(x))*((x)*(x))))-(((3)*(x))+((x)*((x)-((2)+(6)))))),((((3)*(1))*((x)+(6)))-((8)+((4)-(6)))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,39,39,40,40,0
40,x*x*x*x*3*x+1,25,-10,-0.03463448651716346,0.0000012041048953036108,-0.023335420867284257,0.000006847843270155237,37024.06700000001,8450.8736,122756.222,8449.681199999999,0.5462508460019739,0.00031541351639693054,0.7530499441569188,0.0001454985012869776,3069230.3800000004,211255.78,11640693.88,211211.56,(((((0)+(8))-((x)*(x)))*(((2)+(3))*((3)*((x)+(1)))))*(((8)+((x)*(0)))*(((8)+(x))*((x)+((x)-(x)))))),(((5)+((8)+(x)))+((2)+((0)*(8)))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|SkipD|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|DeleteMaliciousR|ReplaceBranchR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,ReplaceBranchR,34,39,41,41,0
41,x*x*x*x*3*x+1,25,-10,-0.03306509419519107,0.000005110370835648069,-0.019724265359898317,0.000019795700644933977,154306.7435,8450.0483,577803.0504,8446.945600000001,0.9075716162094958,0.0014850561960486662,0.8981956455285246,0.0007038799027061349,14797024.84,211175.52000000002,57146460.68,210964.44,(((((5)-(2))*((9)*(0)))-(((9)+(5))*((x)*((3)*(3)))))*((((x)+(5))*((x)*(3)))-(((7)-(1))+((x)*((x)-(x)))))),((((4)*(0))+((3)+(7)))*((6)+((x)*(5)))),MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddToLeafR|SkipD|DeleteMaliciousR|DeleteMaliciousR|AddXD|MultXD|ReplaceBranchXR|SubXD|AddRandomSubTreeR|SkipD|AddToLeafR,SubXD|DeleteMaliciousR|ReplaceBranchR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|SkipD|AddTreeWithAdd|MutateTerminalR|MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd,AddToLeafR,MutateTerminalR,41,41,42,42,0
