gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03858352795204694,-0.020010310378678682,-0.038524075865173764,-0.019925957391190696,216.74855277777777,511.3581,225.84591111111112,510.8408,-0.9599273878505351,0.0065089530780290394,0.00004526250729399413,0.003763322611740998,6121.835277777778,6113.33,6131.9111111111115,6080.96,(((7)-((x)*(7)))/((9)-(3))),(((x)-((5)*(x)))-((4)-(x))),DeleteNonTerminalR|AddTreeWithSub|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv,FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,AddTreeWithDiv,FellTreeD,0,0,1,1,2
1,x*x*x*x,25,-10,-0.04100125644951484,-0.0001423961749359339,-0.038400337210822116,0.00015919487648673606,229.33773809523808,245.77559999999997,244.7804,243.8576,-0.9600000000000001,0.005933864854267517,0.00003348630179099356,0.0037096290275319783,6117.2699999999995,6115.67,6120.8,6084.48,((5)/((4)*(0))),(((3)-(3))+((8)*(7))),DeleteNonTerminalR|SubXD|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,DeleteMaliciousR,FellTreeD,1,0,2,2,2
2,x*x*x*x,25,-10,-0.04360521480126055,0.000017958366061617054,-0.03839973859626193,0.0001571036465821459,213.4300311111111,244.72250000000003,244.872,243.87039999999996,-0.9600130701869037,0.009815710364658203,0.0001208470310427511,0.004989254912942713,6107.8099999999995,6106.030000000001,6118.8,6060.72,((1)*(x)),(((8)-(1))-((x)*(x))),ReplaceBranchR|AddTreeWithSub|MutateTerminalR|FellTreeD|ReplaceBranchR,FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddToLeafR|DivXD|AddTreeWithSub|MutateTerminalR,ReplaceBranchR,FellTreeD,1,2,3,3,2
3,x*x*x*x,25,-10,-0.0436011978538442,-0.00001952531519097957,-0.03840010162070318,0.00010992027185988719,214.04470440476192,244.95460000000003,244.81645,244.15920000000003,-0.9600000000000001,0.003287152006273672,0.000004864578104957456,0.00132015762336993,6120.016333333333,6112.35,6120.8,6100.68,((0)/(1)),(((1)-(7))*((0)-(4))),DeleteNonTerminalR|SubXD|MutateTerminalR|FellTreeD|AddTreeWithDiv,FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,DeleteNonTerminalR,MutateNonTerminalR,2,3,4,4,2
4,x*x*x*x,25,-10,-0.038401707248819014,-0.02501372939942023,-0.03840019278525683,0.000025535877663050758,244.57075678571425,577.9941591666667,244.8025,244.6757,-0.9599869298130964,0.001195922101686155,0.000007546075927188628,0.0007380940249589317,6121.8,6120.219999999999,6122.8,6113.48,((0)-((2)-(0))),(((7)-(x))+((8)-(x))),DeleteNonTerminalR|SubXD|DeleteMaliciousR|ReplaceBranchXR|ReplaceBranchR,FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MutateTerminalR,ReplaceBranchXR,FellTreeD,3,4,5,5,2
5,x*x*x*x,25,-10,-0.04620021370844769,-0.000011419230606407495,-0.03840005745073266,0.00007580708404130267,198.89329833333332,244.90249999999997,244.8232088888889,244.36800000000002,-0.9600000000000001,0.0017187295778330342,0.0000044990562810780346,0.001279082338181308,6120.226000000001,6118.379999999999,6120.8,6110.28,((0)/(3)),(((8)+(x))-((1)-(4))),AddToLeafR|SubXD|DeleteMaliciousR|FellTreeD|AddTreeWithDiv,FellTreeD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,DeleteMaliciousR,AddTreeWithDiv,4,5,6,6,2
6,x*x*x*x,25,-10,-0.04880022341669208,-0.0001174560584656622,-0.038400104851943825,0.00007018690367272406,183.5898127777778,245.585,244.81595555555555,244.40239999999997,-0.9600000000000001,0.0012678081296562897,0.000005469815913774242,0.0005257806583586774,6120.073888888889,6117.38,6120.8,6113.04,((0)/(1)),(((8)-(7))-((0)+(9))),DeleteNonTerminalR|SubXD|DeleteMaliciousR|FellTreeD|AddTreeWithDiv,FellTreeD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,DeleteMaliciousR,AddTreeWithDiv,6,5,7,7,2
7,x*x*x*x,25,-10,-0.051400239701781904,-0.000005064327202797178,-0.03840014202936435,0.00003339432753888613,168.28532083333332,244.86320000000003,244.81026666666668,244.62759999999997,-0.9600030061429878,0.00027447392497717473,0.000004890952816646671,0.00013723696248858736,6119.85375,6120.38,6120.34,6119.12,((2)/(4)),((5)*((0)+(2))),DeleteNonTerminalR|SubXD|DeleteMaliciousR|FellTreeD|AddTreeWithDiv,FellTreeD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,DeleteNonTerminalR,AddTreeWithDiv,7,5,8,8,2
8,x*x*x*x,25,-10,-0.04620030717039789,0.000012536438919026394,-0.038400136038862026,0.00006848777937524668,198.8789967857143,244.75529999999998,244.81118333333333,244.41279999999998,-0.9600000000000001,0.0024049143902758227,0.000009565790993873063,0.001136321966720681,6119.433928571429,6116.13,6120.8,6106.08,((0)/(1)),((4)*((5)-(0))),AddToLeafR|SubXD|DeleteMaliciousR|FellTreeD|AddTreeWithDiv,FellTreeD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,4,5,9,9,2
9,x*x*x*x,25,-10,-0.048800111097885325,0.0000031861916116060388,-0.0384000246933174,0.000012416677558491167,183.6069998015873,244.8125,244.82822142857145,244.75599999999997,-0.960001717795993,0.0008953078029016587,0.000002328671862125325,0.0004367077523485383,6120.1392857142855,6118.63,6120.537142857143,6115.32,((2)/(7)),((0)+(7)),DeleteNonTerminalR|SubXD|DeleteMaliciousR|FellTreeD|AddTreeWithDiv,FellTreeD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|SubXD|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,DeleteNonTerminalR,AddTreeWithDiv,9,5,10,10,2
