gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
72,x*x*x*x,25,-10,-0.02416729338974466,-0.0008828636034116617,-0.00576867427783892,0.008725656776891908,2786.501,256.464,6693.198399999999,191.424,0.6094308338812499,0.43628283884459546,0.652096185350505,0.2062536409399807,146509.46000000002,5183.04,391787.2,3450.4,((((7)*(9))*((6)-((6)-(x))))*((x)*((x)-((x)*(x))))),((((4)+(4))*((x)+(6)))+((0)*((x)*(x)))),AddToLeafR|SubXD|AddTreeWithSub|AddToLeafR|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,72,71,73,73,3
73,x*x*x*x,25,-10,-0.021689622672082198,0.0035114981377721215,0.007678767557296735,0.012600444386354725,4338.6401000000005,233.7446,13412.4608,167.70719999999997,0.8198135311442102,0.5551692589204026,0.8289165259161441,0.29619931311678793,231907.82,4511.32,849231.36,2722.72,((((6)-(8))*((6)*((x)*(x))))*((x)*((x)-((x)*(x))))),((((2)+(8))+((3)*(9)))+((0)*((x)*(x)))),AddToLeafR|SubXD|AddTreeWithSub|AddToLeafR|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,72,73,74,74,3
74,x*x*x*x,25,-10,-0.021077171903570942,0.002609016487922127,0.009669244682148068,0.008530126780812965,3963.9626000000003,228.87620000000004,11873.953599999999,192.62080000000003,0.7019933068265384,0.2666840935825383,0.8125843795572548,0.1217083497303452,137846.92,5518.84,513478.4,4488.48,((((x)*(x))*((x)*((7)+(6))))*((x)-((3)-((7)*(x))))),(((6)*((x)+(0)))-((5)*((x)*(x)))),AddToLeafR|SubXD|AddTreeWithSub|AddToLeafR|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,74,72,75,75,3
75,x*x*x*x,25,-10,-0.027771051347020105,0.001128243238698096,-0.0067517625701481185,0.004235916873611294,1907.6642,238.0436,5233.2072,218.9048,0.2645079672695952,0.2085217618611947,0.6101847746095143,0.10426088093059734,57195.44,5801.719999999999,208051.2,4844.48,((((x)*(4))*((7)+((8)-(1))))*((x)*((x)-((x)*(x))))),((((9)*(0))+((4)*(x)))+((0)*((x)*(x)))),AddToLeafR|SubXD|AddTreeWithSub|AddToLeafR|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,75,75,76,76,3
76,x*x*x*x,25,-10,-0.02349822236073948,0.005488436492265163,0.004694084808773885,0.01624036073715854,4316.210199999999,211.34009999999998,14003.5216,145.428,0.8445047899272109,0.5040909685008496,0.8687460479577802,0.22273550370784362,258479.96,4672.7,984081.76,3035.36,((((3)*(7))*((9)*((x)*(x))))*((x)-((5)-((x)*(x))))),((((5)+(0))*((0)+(8)))*((9)*((x)*(x)))),AddToLeafR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddToLeafR,SkipD,76,75,77,77,3
77,x*x*x*x,25,-10,-0.023616200804855422,0.0005173191475047407,-0.0006077100289890569,0.00649640569860149,5380.071900000001,321.0474,17519.9,205.06879999999998,0.8936605746726536,0.3028100901842897,0.8522524050829691,0.13834908577458338,383709.23000000004,5521.5599999999995,1438977.12,4267.36,((((x)*(x))*((3)*((7)*(x))))-((3)*((x)-((x)*(x))))),((((4)*(1))+((x)+(7)))+((0)*((x)*(x)))),AddToLeafR|SubXD|AddTreeWithSub|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddTreeWithMult,SkipD,77,77,78,78,3
78,x*x*x*x,25,-10,-0.01519398348268501,0.0015538115923848365,0.0009349951546774082,0.008364788916481507,10703.134400000003,239.8954,26883.4456,193.63279999999997,0.8502994011976048,0.4328845902496406,0.6828199549411337,0.20430031851157401,568823.3200000001,5267.68,1022173.6,3471.2,((((6)*(7))*((4)*((x)*(x))))*((x)-((x)+((x)*(x))))),((((6)*(8))+((7)*(0)))+((x)*((x)*(x)))),AddToLeafR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|AddXD|SkipD|MultXD,AddToLeafR,SkipD,76,78,79,79,3
79,x*x*x*x,25,-10,-0.02630730983348175,0.0020316298523068888,-0.0029539606599922495,0.011178669454973207,5019.1552,232.3968,11680.8368,176.40959999999998,0.7279169641408001,0.5269899359560842,0.7440829481787863,0.23287713738041707,255434.92,5029.52,562401.84,2895.2,((((x)*(8))*((9)*((x)*(7))))+((7)-((x)+((x)*(x))))),(((8)*((0)+(9)))+((6)*((x)*(x)))),AddToLeafR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|AddXD|SkipD|MultXD,AddToLeafR,MutateTerminalR,79,78,80,80,3
80,x*x*x*x,25,-10,-0.02033156488516841,0.0011803114925199797,0.0010716606291038544,0.00304391582799634,4699.7098,237.68690000000004,10735.346399999999,226.2008,0.7814517771960997,0.1567115409750359,0.987725575875801,0.06692166067650426,299251.28,5586.18,700165.84,5161.6,((((x)+(x))*((x)*((5)*(x))))*((x)-((x)+((x)*(x))))),((((7)-(6))*((x)*(x)))+((0)*((3)*(x)))),MutateTerminalR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,AddTreeWithMult,SkipD,80,80,81,81,3
81,x*x*x*x,25,-10,-0.0131492116434217,0.002968468174094891,0.021393247896168924,0.01192693765520847,11588.551399999998,226.6626,36515.619999999995,171.8296,0.9378173703563286,0.4819239315122206,0.9966602293774831,0.2129524578549222,743698.5,5094.66,2460815.84,3171.04,((((x)*(x))*((x)*((5)*(7))))*((x)-((x)+((x)*(x))))),((((7)*(4))-((5)+(9)))+((x)*((x)*(x)))),MutateTerminalR|SubXD|AddXD|AddTreeWithMult|MultXD,FellTreeD|MutateTerminalR|DeleteMaliciousR|SkipD|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|MutateTerminalR|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|MutateTerminalR|SkipD|SkipD|MultXD,MutateTerminalR,SkipD,80,80,82,82,3
