gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.03840021259173923,0.0000016630017218680313,-0.03839995456227855,0.000008368113700327179,8450.0051,8450.776644444444,8451.368,8449.36,-0.96,0.00026883985191097546,0.0000006304834441438342,0.0001275608151064671,211276,211260.8,211278.2,211221.4,((0)*((4)*(2))),((((x)+(0))+((0)+(x)))*((x)-((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithDiv|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,AddToLeafR,11,11,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.03840046992070171,0.0000006058385799137848,-0.038399738430183517,0.0000021204270009909055,8448.645900000001,8451,8452.5096,8450.68,-0.959999606206414,0.00006058362859972047,0.0000008443390432251313,0.000029002204153813268,211275.09000000003,211273.4,211280.28,211265.4,((1)-((1)*(9))),(((0)*(x))+((x)+(x))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|DivXD|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,12,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.03840015884270123,-0.004999539469760722,-0.03839996690619288,0.0000012116725719944094,8450.289,8004.7527,8451.3028,8450.872,-0.9599988489110566,0,0.0000011942638227704383,1,211275.34,166650.40000000002,211284.28,211278.2,((4)-((2)-(x))),(0),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,13,13,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.0384017644603182,-0.0000007048526669742478,-0.03839997349466249,0.0000018523444444366153,8441.808200000001,8451.27706,8451.268,8450.73664,-0.9599998712597893,0.00006058362859972047,0.0000006200117273508464,0.00003322386154077642,211275.78,211271.46,211278.88,211265.4,((0)-((2)+(1))),(((0)*((0)-(0)))*((x)+((x)+(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,AddToLeafR,14,14,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.03839996908341703,0.0000011984221971538409,-0.03839945989695103,0.0000035971529481062506,8451.2913,8450.8748,8453.9808,8450.368,-0.9599636498228402,0.00011927401880559206,0.00002362658598647562,0.00005090370833307491,211293.16,211267.1,211470.2,211253,(((0)-(5))*((6)*(x))),((0)+((x)*(x))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,15,15,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.038400038394874624,-0.004999544656373484,-0.038399940779503046,0.000003907644044680662,8450.9252,8004.753799999999,8451.4408,8450.3024,-0.9599974630605524,0.00003029181429992911,0.000001650475384435393,1.000005048737671,211281,166648.8,211291.6,211271.8,((((4)-(9))*((0)-(x)))*((2)-((x)-((7)+(x))))),((0)+(x)),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,16,16,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.03840001577067582,0.0000009319465993200427,-0.03839997144996502,0.0000024233451439888188,8451.0447,8450.9311,8451.278800000002,8450.616,-0.9599984399715635,0.00006058362859972047,0.0000006859099319680159,0.000024768642972041597,211283.43,211271.65999999997,211286.44,211265.4,((2)-((8)*(4))),((((x)+(0))-((0)-(x)))*((0)*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,17,17,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.038400015770675824,-0.0000008132617819313232,-0.03839992820840011,0.00000663012085487639,8451.0447,8451.3001,8451.5072,8449.7272,-0.9599978038434633,0.00029913166621076684,0.0000009823724385501442,0.00014236263139624523,211282.16999999998,211259.2,211289.8,211215,((7)*((1)-(7))),((((7)*((6)-(0)))*((0)-((x)*(0))))-(((8)-(6))*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,18,18,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.03840004532412714,-0.0000067880750742796296,-0.038399948655374765,0.000006001565708152448,8450.8886,8452.567642857142,8451.3992,8449.86,-0.9599963649822839,0.00017985764740517478,0.000001869369439550016,0.00008563011772010233,211282.59999999998,211266.89,211297.4,211240.2,(((0)-(0))+((3)*(x))),(((0)+((x)-(0)))*((x)+((x)+(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,19,19,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.038400186389319864,0.0000003071848111323678,-0.03839951979901381,0.000002415772190415076,8450.1435,8451.063100000001,8453.6644,8450.6176,-0.9599563797874083,0.00003029181429992911,0.00002283151058751195,0.00003029135551675082,211327.94,211275,211508.6,211271.8,(((0)-(9))*((4)*(x))),((0)+(x)),DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,20,20,21,21,1
