gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.05920007061779208,-0.04219109347391017,-0.059199993941637136,-0.0399975804413328,NaN,NaN,NaN,NaN,-0.9599993638718998,0.000209013518668767,0.0000003724630785686874,0.00010639123861346897,211278.62,211259.24,211281.56,211234.04,(((2)+((2)*(2)))+((7)*(8))),(((0)+(7))-((0)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,SubXD|SkipD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddRandomSubTreeR|MultXD|DeleteTerminalR,MutateTerminalR,DeleteMaliciousR,0,0,1,1,2
1,x*x*x*x*3*x+1,25,-10,-0.04360016984985402,-0.000030207196209261184,-0.038400080860211794,0.000014123558417291669,7393.839860714285,8457.6002,8450.700900000002,8448.144,-0.9600001135943037,0.00008254519396701755,0.0000031489671393736124,0.000037378714690229354,211266.59,211271.66,211277.6,211260.76,((5)+(0)),(((0)-(6))+((3)*(x))),AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|DeleteTerminalR|MutateTerminalR|DeleteMaliciousR|AddXD|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|SubXD|MutateTerminalR|MutateNonTerminalR|MultXD|MultXD|MultXD|AddTreeWithDiv|AddXD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|DeleteMaliciousR,MutateTerminalR,MultXD,1,1,2,2,2
2,x*x*x*x*3*x+1,25,-10,-0.03840012103473051,0.0000009612921063461093,-0.0384000103749464,0.0000024233451439860638,8450.4887,8450.9249,8451.073199999999,8450.616000000002,-0.9599997652384391,0.000209013518668767,0.00000027025826105100015,0.00010639123861346897,211277.51,211259.24,211279.44,211234.04,((2)+((2)-(9))),(((0)+(0))+((7)*(x))),MultXD|SubXD|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,SubXD|SkipD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|DeleteMaliciousR|DeleteTerminalR|AddToLeafR|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddRandomSubTreeR|MultXD|DeleteTerminalR,ReplaceBranchR,DeleteMaliciousR,2,2,3,3,2
3,x*x*x*x*3*x+1,25,-10,-0.03840004943245446,0.00000020123456426608454,-0.03839991132071364,0.0000028568967361537646,8450.866899999999,8451.085500000001,8451.596400000002,8450.5244,-0.9600000605836286,0.00026808255655346347,0.0000005589811071773042,0.00012978062881427113,211276.22,211262.44,211277.88,211221.56,((9)-(7)),(((0)+(9))+((0)*(x))),MultXD|SubXD|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,SubXD|SkipD|SubXD|MutateTerminalR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|DeleteTerminalR|AddRandomSubTreeR|MultXD|DeleteTerminalR,ReplaceBranchR,MultXD,3,3,4,4,2
4,x*x*x*x*3*x+1,25,-10,-0.03840006997409103,-0.00000018766772800636763,-0.038400004695231214,0.000003036754383559766,8450.758399999999,8451.1677,8451.103200000001,8450.4864,-0.9600001135943037,0.0000904967952208247,0.00000006784030860223132,0.0000591617268197339,211277.25,211276.01,211277.6,211259.08,((9)-(4)),(((0)+(3))*((1)*(x))),MultXD|SubXD|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,AddRandomSubTreeR,4,4,5,5,2
5,x*x*x*x*3*x+1,25,-10,-0.038400007648683114,0.00000006342370393903589,-0.03839998833765149,0.00000035024910284275816,8451.0876,8451.1146,8451.189600000002,8451.054,-0.9599988261921958,0.000022718860724946833,0.0000005937730065086867,0.000012582431506600466,211279.98,211277.25,211284.4,211273.4,((1)-(x)),(((x)-(0))+((2)-(8))),MultXD|SubXD|MutateNonTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,5,5,6,6,2
6,x*x*x*x*3*x+1,25,-10,-0.03840002273779311,0.0000007397832142797029,-0.038399987125978925,0.000004753921606680695,8451.0079,8450.9717,8451.196000000002,8450.123599999999,-0.96,0.000210528109383791,0.00000007050036102040233,0.00010420329770947483,211277.76,211266.74,211278.2,211233.72,(((7)-(6))*((8)-(8))),(((0)+(7))*((x)+(2))),MultXD|SubXD|AddXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,AddRandomSubTreeR,6,6,7,7,2
7,x*x*x*x*3*x+1,25,-10,-0.03840001902704586,0.000000030767355280227124,-0.03839999326007132,0.00000044869749931931847,8451.0275,8451.1215,8451.1636,8451.0332,-0.9599995531957392,0.00003237437653305268,0.0000002809827721335205,0.00001769095542743406,211278.44,211276.75,211280.56,211271.36,((0)-(9)),(((0)+(1))*((3)+(x))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,AddRandomSubTreeR,7,7,8,8,2
8,x*x*x*x*3*x+1,25,-10,-0.03840001192740188,0.00000009229544920694192,-0.038399996592170894,0.00000039000710911248267,8451.065,8451.1085,8451.146,8451.0456,-0.959999606206414,0.000010412811165617851,0.00000036278452590297595,0.000004638434064674221,211277.73,211277.09000000003,211280.28,211276,(((6)-(7))*((2)+(0))),((0)+((5)*(9))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,8,8,9,9,2
9,x*x*x*x*3*x+1,25,-10,-0.03840002926946556,-0.00000005489042853858855,-0.03839998356669074,0.0000015751743435932834,8450.9734,8451.1396,8451.214800000002,8450.7952,-0.9599998712597893,0.00006058362859972047,0.00000010620150540995127,0.000029945098220921416,211278.12,211274.8,211278.88,211265.4,((6)-(9)),((0)+((x)*(2))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,9,9,10,10,2
10,x*x*x*x*3*x+1,25,-10,-0.043600011832739954,0.000001308227911531378,-0.03839998954932407,0.000006048896667997292,7394.674500000001,8450.8516,8451.183200000001,8449.85,-0.9599989170676388,0.00026808255655346347,0.0000005695008785369511,0.0001351919236300467,211279.44,211264.38,211283.92,211221.56,((5)-(x)),(((x)*(9))+((0)+(0))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,AddRandomSubTreeR,10,10,11,11,2
11,x*x*x*x*3*x+1,25,-10,-0.03840004752028368,0.00000004969781976152638,-0.03839998414728386,0.00000022340213046259706,8450.877,8451.1175,8451.211733333334,8451.080800000002,-0.9599989170676388,0.000007762277414394715,0.0000005920803545602715,0.0000032222153631435566,211279.32,211277.34,211283.92,211276.56,(((0)+(5))+((0)-(x))),(((0)+(1))+((6)*(5))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,AddRandomSubTreeR,11,11,12,12,2
12,x*x*x*x*3*x+1,25,-10,-0.0384000220372949,0.000000050648460663423176,-0.03839999432028482,0.000000744042688742112,8451.0116,8451.1173,8451.158000000001,8450.9708,-0.9599996592170891,0.000034078291087351375,0.00000022366937719971558,0.0000187346719031049,211278.3,211276.77000000002,211280,211271,((2)-(9)),(((6)+(6))+((x)-(0))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|DivXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,12,12,13,13,2
13,x*x*x*x*3*x+1,25,-10,-0.038400048296511426,0.00000013631439931815212,-0.038399998712597895,0.0000008500640387910375,8450.8729,8451.099199999999,8451.1348,8450.948400000001,-0.96,0.00003275302421173981,0.00000026991321085505044,0.00001429781523423959,211276.98,211275.56,211278.2,211271.28,((0)*((8)*(9))),(((0)+(x))+((5)-(0))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,13,13,14,14,2
14,x*x*x*x*3*x+1,25,-10,-0.03840000391900347,0.00000014861921390949214,-0.0383999875046266,0.0000004524839761061897,8451.1073,8451.0966,8451.194,8451.0324,-0.9599987883274281,0.00003294234805115225,0.0000006436119541165059,0.000015984135358419163,211281.38,211276.28000000003,211284.6,211271.24,((0)*((7)-(x))),(((x)-(0))+((6)-(0))),MultXD|SubXD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|MutateTerminalR,DeleteTerminalR|SkipD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithDiv|MultXD|MultXD|DeleteNonTerminalR|SkipD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,14,14,15,15,2
