specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x*3*x+1,25,-10,ANTAGONIST-phH,PROTAGONIST-0c2c1c2c1c1c2c2c2c1c2c2c1c1c2c2c2c2c2c2c1c1c1c2c2c1c2c2,-0.9599989170676388,0.0012862661647061045,211283.92,211006.44,0.000025889805883464777,0.009575328966871974,211348.32,210186.72,211553.4,207158.84,(((4)+((9)-(8)))*((7)*(x))),(((0)+((x)*(x)))*((x)+((x)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,0,0,-0.96,0,0.000002104236602494632,0.000029002204153813268,211278.2,211278.2,211303.8,211265.4,(((0)-((x)*(1)))*((5)+(x))),((((0)+(0))*((x)-(0)))-((0)*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddToLeafR,SubXD|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|AddToLeafR|MutateTerminalR|SkipD|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,0,1
x*x*x*x*3*x+1,25,-10,ANTAGONIST-phH,PROTAGONIST-0c2c1c2c1c1c2c2c2c1c2c2c1c1c2c2c2c2c2c2c1c1c1c2c2c1c2c2,-0.9600000833024893,0,211277.76,211278.2,0.000025889805883464777,0.009575328966871974,211348.32,210186.72,211553.4,207158.84,(((4)+((9)-(8)))*((7)*(x))),(((0)+((x)*(x)))*((x)+((x)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,0,0,-0.9599989322135459,0.00006058362859972047,0.000002104236602494632,0.000029002204153813268,211283.84,211265.4,211303.8,211265.4,(((0)-((x)*(1)))*((5)+(x))),((((0)+(0))*((x)-(0)))-((0)*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddToLeafR,SubXD|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|AddToLeafR|MutateTerminalR|SkipD|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,1,1
x*x*x*x*3*x+1,25,-10,ANTAGONIST-phH,PROTAGONIST-0c2c1c2c1c1c2c2c2c1c2c2c1c1c2c2c2c2c2c2c1c1c1c2c2c1c2c2,-0.96,0.019497326274078512,211278.2,207158.84,0.000025889805883464777,0.009575328966871974,211348.32,210186.72,211553.4,207158.84,(((4)+((9)-(8)))*((7)*(x))),(((0)+((x)*(x)))*((x)+((x)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,0,0,-0.9599986747331244,0,0.000002104236602494632,0.000029002204153813268,211285.2,211278.2,211303.8,211265.4,(((0)-((x)*(1)))*((5)+(x))),((((0)+(0))*((x)-(0)))-((0)*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddToLeafR,SubXD|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|AddToLeafR|MutateTerminalR|SkipD|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,2,1
x*x*x*x*3*x+1,25,-10,ANTAGONIST-phH,PROTAGONIST-0c2c1c2c1c1c2c2c2c1c2c2c1c1c2c2c2c2c2c2c1c1c1c2c2c1c2c2,-0.9599478980794043,-0.00011925979421051691,211553.4,211303.4,0.000025889805883464777,0.009575328966871974,211348.32,210186.72,211553.4,207158.84,(((4)+((9)-(8)))*((7)*(x))),(((0)+((x)*(x)))*((x)+((x)*(x)))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR,SubXD|ReplaceBranchXR|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|MultXD|DeleteTerminalR|AddXD|AddXD|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,0,0,-0.9599951533097121,0.00003029181429992911,0.000002104236602494632,0.000029002204153813268,211303.8,211271.8,211303.8,211265.4,(((0)-((x)*(1)))*((5)+(x))),((((0)+(0))*((x)-(0)))-((0)*((x)+((x)+(x))))),DeleteNonTerminalR|MutateTerminalR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithAdd|SubXD|AddXD|AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|SkipD|MultXD|MutateNonTerminalR|DeleteNonTerminalR|AddXD|MutateNonTerminalR|MutateTerminalR|AddToLeafR,SubXD|MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|AddToLeafR|ReplaceBranchXR|SubXD|MultXD|DeleteTerminalR|AddToLeafR|MutateTerminalR|SkipD|AddXD|AddXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,DeleteNonTerminalR,3,1
