gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.038400057289393795,0.0006049750769434944,-0.03839988928341873,0.001749049357671547,8450.8254,8323.443899999998,8451.712800000001,8081.592,-0.9599938659076044,0.1707057330098421,0.00000627806948274884,0.07938911081829739,211274.63,197799.16,211310.6,175211.8,((x)*((x)-(9))),((((x)*(9))*((8)*(7)))*((6)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,SkipD,AddXD,11,11,12,12,3
12,x*x*x*x*3*x+1,25,-10,-0.03840068073279685,0.00020464296032249234,-0.03839956584257155,0.0011241973852484568,8447.5324,8407.9211,8453.4212,8213.6096,-0.9599563797874083,0.047582760549834346,0.00002382291834762935,0.02230763848684497,211324.76,208196.5,211508.6,201225,(((1)-(7))*((x)*(6))),((((x)*(8))*((1)*(6)))*((9)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,SkipD,AddXD,12,12,13,13,3
13,x*x*x*x*3*x+1,25,-10,-0.03840046541479433,0.00045938752368971715,-0.038399883830892156,0.0031675620106570413,8448.6697,8354.0702,8451.7416,7781.891199999999,-0.9599928814236396,0.11022358198810868,0.000004140798752401216,0.05523689826694072,211283.05,205494.96000000002,211315.8,187990.36,(((0)-(6))*((x)-(1))),((((6)+(7))*((9)*(7)))*((7)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,SkipD,AddXD,13,13,14,14,3
14,x*x*x*x*3*x+1,25,-10,-0.038400081806830993,0.00041128576166382414,-0.038399861414949575,0.003846723419642918,8450.6959,8364.782,8451.86,7638.399199999999,-0.9599899885553739,0.1888391703450711,0.000005552899730442475,0.10119229590860938,211287.09999999998,203174.36,211331.08,171380.6,(((3)-(9))*((x)+(9))),((((x)*(9))*((x)*(8)))-((9)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,DivXD,AddXD,14,14,15,15,3
15,x*x*x*x*3*x+1,25,-10,-0.03840125603114756,0.00005002582598793533,-0.03839992760256382,0.0004013968312869038,8444.493699999999,8440.561800000001,8451.5104,8366.3216,-0.9600013025480149,0.015483660879352507,0.0000034368717425588108,0.007633086710448579,211250.25,210421.65,211271.32,208006.84,((x)+(4)),((((2)*(4))*((1)*(8)))*((9)*((x)+(x)))),MultXD|AddXD|SkipD|MutateTerminalR|SkipD|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,SkipD,AddXD,15,15,16,16,3
16,x*x*x*x*3*x+1,25,-10,-0.03840065055457686,0.000030252064904451318,-0.03840005982633324,0.00007995524384437333,8447.691799999999,8444.7364,8450.812,8434.235200000001,-0.960001211672572,0.0028856739597366036,0.000014438401518135685,0.0011949940174402548,211212.21999999997,211030.63999999998,211271.8,210668.52,((x)-(0)),((((2)*(1))+((8)*(8)))+((x)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,DivXD,AddXD,16,16,17,17,3
17,x*x*x*x*3*x+1,25,-10,-0.038401286909865766,0.0003696091838529642,-0.0383998705782234,0.0016164166487597888,8444.330600000001,8373.0572,8451.811599999999,8109.6143999999995,-0.9599890949468521,0.14835416053336312,0.00000798224841650103,0.07489744760675737,211279.72999999998,203659.34000000003,211335.8,179934.2,(((4)-(7))*((x)*(3))),((((x)*(9))*((3)*(8)))*((6)*((7)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,AddTreeWithMult,AddXD,17,17,18,18,3
18,x*x*x*x*3*x+1,25,-10,-0.03840010882334287,0.00034478130729203004,-0.038400019765408834,0.002423042225842516,8450.5532,8378.2837,8451.0236,7939.191999999999,-0.96,0.1106120745065038,0.0000015336804711718581,0.05453444740621477,211270.47999999998,205174.86,211278.2,187908.28,((x)*(0)),((((4)*(6))*((x)*(8)))*((6)*((5)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|DeleteMaliciousR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddToLeafR|AddXD,DivXD,AddXD,18,18,19,19,3
19,x*x*x*x*3*x+1,25,-10,-0.03840075244866721,-0.0002045104879899986,-0.03839998674733124,0.000287527961044213,8447.1536,8499.163799999998,8451.198,8390.38,-0.96,0.026717380212440363,0.000003261223530762836,0.012409286866711491,211266.09,209514.84,211278.2,205633.4,(((0)*(x))*((x)*(8))),((((5)*(6))*((7)*(5)))-((5)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|SubXD|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddToLeafR|AddXD,AddXD,AddXD,19,19,20,20,3
20,x*x*x*x*3*x+1,25,-10,-0.038400179990174095,0.0003381082383023233,-0.038399912002279456,0.0012044176824679512,8450.1773,8379.7175,8451.5928,8196.6608,-0.9599912456656673,0.07822861042928234,0.000004809598654515323,0.03955498599336483,211286.6,207277.86,211324.44,194750.2,(((8)*(8))-((x)-(8))),((((5)*(9))*((8)*(5)))*((2)*((x)+(x)))),MultXD|AddXD|AddToLeafR|MutateTerminalR|DeleteNonTerminalR|DivXD|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|AddXD|DivXD|DeleteTerminalR|AddTreeWithAdd|SkipD|SkipD|FellTreeD|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|AddToLeafR|AddXD|ReplaceBranchXR|SkipD|DeleteNonTerminalR|MutateNonTerminalR|SubXD|AddXD|SubXD|FellTreeD|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult|SkipD|MultXD|AddTreeWithMult|AddRandomSubTreeR|AddXD,AddXD,AddXD,20,20,21,21,3
