gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x*3*x+1,25,-10,-0.04880022042001704,0.0000003034611335102712,-0.03839995099773137,0.0000024631031502557882,6337.181751388889,8451.063888888888,8451.386827777778,8450.6076,-0.96,0.00021223202393822746,0.0000012116725719990562,0.0001290884418694421,211275,211274.05,211278.2,211233.36,((0)*(6)),(((x)*(8))+((5)-(x))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|DeleteMaliciousR|MutateNonTerminalR|AddXD|AddTreeWithMult|SkipD|AddXD|FellTreeD|MultXD|MutateTerminalR,MultXD|SubXD|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|DivXD|MultXD|MultXD|DeleteNonTerminalR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|AddTreeWithMult|ReplaceBranchXR,AddTreeWithMult,MultXD,0,0,1,1,0
1,x*x*x*x*3*x+1,25,-10,-0.04359934098264752,-0.014999992267208455,-0.03839462426317528,0.0000008140925093095616,7398.217900000001,7112.292369999999,8479.5224,8450.956,-0.96,0.0000312384334967158,0,1.154711305082717,211278.2,122020.63,211278.2,211271.6,((0)*(0)),(((9)-((4)*(8)))/((4)+(x))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|MultXD|DeleteNonTerminalR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|ReplaceBranchR|DeleteTerminalR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,DeleteTerminalR,1,1,2,2,0
2,x*x*x*x*3*x+1,25,-10,-0.0384000928822756,-0.004994628820201147,-0.0384,0.00002210923796208286,8450.6374,8003.715187179487,8451.128,8446.4568,-0.96,0.0008964483794353761,0.0000018099359044287944,1.0000023560341555,211273.42,166649.65333333332,211278.2,211088.8,((0)*(8)),((((x)-(8))+((5)+((x)*(2))))*(((8)+(4))+((2)-((8)/(8))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|SkipD|AddXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|DivXD|MultXD|AddTreeWithMult|MultXD|FellTreeD|AddXD|DeleteNonTerminalR|ReplaceBranchR|DeleteTerminalR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,SkipD,AddXD,2,2,3,3,0
3,x*x*x*x*3*x+1,25,-10,-0.038400113404979785,-0.024874234910811116,-0.03840001211672572,0.00039958815754141674,8450.528999999999,6193.166578333334,8451.064000000002,8366.703733333334,-0.96,0.018958699951059775,0.000003589579994522918,1.1656321392706563,211268.72,120022.42000000001,211278.2,207272.64,((0)*(1)),(((((2)+(8))*((8)-(3)))*(((2)/(8))-((5)*((x)*(2)))))+(((x)-((7)+(x)))-(((2)*(1))*((7)*((x)+(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|SkipD|SkipD|AddXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,SkipD,AddTreeWithSub,3,3,4,4,0
4,x*x*x*x*3*x+1,25,-10,-0.03840014994448079,-0.019952084662430633,-0.03840005997779231,0.0001803042150113005,8450.336000000001,6655.8925339285715,8450.811200000002,8413.03365,-0.96,0.008246354806127764,0.0000018099359044287944,1.0015472392599258,211273.42,166162.19172619047,211278.2,209535.925,((0)*(7)),((((8)*((9)*(2)))+(((0)*(8))-((1)-(x))))+(((x)+((7)-(8)))*((x)+((1)/((8)-(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,4,4,5,5,0
5,x*x*x*x*3*x+1,25,-10,-0.038400084173378986,-0.004992913182354037,-0.0384,0.000041830765733942946,8450.6834,8003.353293611111,8451.128,8442.290071111112,-0.96,0.0003803137285342903,0.0000018099359044287944,1.0000163500011807,211273.42,166645.2695,211278.2,211197.848,((0)*(1)),((((6)*((0)*(5)))*(((0)+(8))-((7)+(9))))/(((5)-((8)-(6)))*((3)*((x)+((x)-(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,5,5,6,6,0
6,x*x*x*x*3*x+1,25,-10,-0.038400083719001776,-0.01015812170337018,-0.0384,0.00041822677398804185,8450.6858,7598.242877142858,8451.128,8362.765800000001,-0.96,0.00012249252407491476,0,1.1545044953315984,211278.2,122058.51571428572,211278.2,211252.32,((0)*(1)),((((0)*((3)*(7)))/((2)+((x)+(0))))*(((8)-(3))+((0)-((7)-((7)*(2)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,6,6,7,7,0
7,x*x*x*x*3*x+1,25,-10,-0.03840005426021237,-0.010083986392117252,-0.0384,0.00007277725586003774,8450.8414,7577.263922817461,8451.128,8435.751752380953,-0.96,0.0010345916742318842,0.0000018099359044287944,1.000261602657625,211273.42,166567.51333333334,211278.2,211059.6133333333,((0)*(2)),((((x)*((9)+(4)))+((x)/((6)-(8))))*(((1)+(2))*((x)+((7)*(2))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,7,7,8,8,0
8,x*x*x*x*3*x+1,25,-10,-0.0384001110194994,-0.014878377720463186,-0.0384,0.0007284386178981107,8450.5416,7086.597869642857,8451.128,8297.2248,-0.96,0.00044528967020741514,0.0000024081992368585325,1.1546950333520842,211271.84000000003,122023.6075,211278.2,211184.12,((0)*(1)),(((((6)+(5))-((2)/(4)))*(((6)-(7))-((0)*(0))))+(((1)*((5)+(5)))*((2)*((x)+((x)-(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|SkipD|ReplaceBranchR|SubXD|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,8,8,9,9,0
9,x*x*x*x*3*x+1,25,-10,-0.038400101931955116,-0.02989776301419766,-0.0384,0.0007259801126125287,8450.589600000001,5751.859840238096,8451.128,8297.744228571428,-0.96,0.00003369964340866425,0.000002408199236858532,1.0000134419925957,211271.84000000003,77393.38,211278.2,211271.08,((0)*(9)),(((x)-((8)+(4)))*((3)*((6)/(4)))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,9,9,10,10,0
10,x*x*x*x*3*x+1,25,-10,-0.038400137638431225,-0.02510413348608177,-0.03840004770960752,0.00006151510188935829,8450.401000000002,6242.730975,8450.876,8438.1312,-0.96,0.0001603572919496884,0.0000012116725719990562,1.1543848602708842,211275,122080.47,211278.2,211244.32,((0)*(1)),(((((8)-(4))-((2)*(5)))-(((9)-(0))-((0)*((0)+(x)))))+(((0)-((4)*(8)))/(((6)+(x))*((0)+((3)+(1)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,10,10,11,11,0
11,x*x*x*x*3*x+1,25,-10,-0.038400068876012765,-0.01003462766942661,-0.0384,0.00044787630716278733,8450.7642,7566.184506111112,8451.128,8356.501499999998,-0.96,0.02098976609986275,0,1.0036841033704487,211278.2,165497.7,211278.2,206843.52,((0)*(6)),(((((1)-(3))*((0)-(1)))-(((4)*(6))/((3)-(9))))+(((x)+((x)*(x)))*((7)*((x)-((5)+(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|SkipD|MultXD|DivXD|SubXD|DeleteTerminalR|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,11,11,12,12,0
12,x*x*x*x*3*x+1,25,-10,-0.038400057100069954,-0.029894389648733078,-0.0384,0.0004378232548017144,8450.826400000002,5751.152744444445,8451.128,8358.625777777777,-0.96,-0.0003684776894044191,0,0.9998157611552978,211278.2,77414.26999999999,211278.2,211356.08,((0)*(6)),(((((x)+(5))-((6)*(1)))*(((5)-(4))*((x)*(2))))/(((4)-((3)+(0)))*((9)+((9)+((x)-(0)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|MutateTerminalR|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,12,12,13,13,0
13,x*x*x*x*3*x+1,25,-10,-0.0384001255217055,-0.020327948431360935,-0.0384,0.00013210765079722832,8450.465,6743.9599723809515,8451.128,8423.216533333334,-0.96,0.0008614234691511003,0.0000012116725719990562,0.9999663669060477,211275,166661.26666666666,211278.2,211096.2,((0)*(3)),((((0)*((x)-(6)))/(((8)*(6))+((0)+(2))))*(((1)+(3))*((9)*((x)+((8)-(4)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,13,13,14,14,0
14,x*x*x*x*3*x+1,25,-10,-0.03840013733551308,-0.025519739119824497,-0.0384,0.00020136483555804871,8450.4026,6358.104385000001,8451.128,8408.583999999999,-0.96,0.0006028071045664679,0.0000029988896157462364,1.154876342055252,211270.28,121990.4375,211278.2,211150.84,((0)*(7)),(((x)*((1)/(3)))+((4)*(5))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddXD,14,14,15,15,0
15,x*x*x*x*3*x+1,25,-10,-0.03840013135287976,-0.004812300336238466,-0.0384,0.0012687410879746877,8450.4342,7965.879768253968,8451.128,8183.070666666667,-0.96,0.09289275151593168,0.0000006058362860272837,1.0112290136173538,211276.6,163606.58444444445,211278.2,191651.9866666667,((0)*(9)),((((x)*(5))*((x)*(7)))+((x)*((x)+((4)/(6))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,15,15,16,16,0
16,x*x*x*x*3*x+1,25,-10,-0.03840011961480171,0.00048743867363527455,-0.0384,0.0031875924728627953,8450.4962,8356.651982857142,8451.128,7777.659199999999,-0.96,0.29894991532491283,0.0000011600881661615713,0.1480531270941971,211273.4,194986.97999999998,211278.2,148116.6,((0)*(2)),(((((9)-(2))+((x)+(0)))*(((6)+(6))*((2)*((x)*(4)))))-(((6)-((4)+(x)))+(((x)*(3))*((9)+((9)+(7)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|SubXD|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddToLeafR,AddTreeWithMult,AddTreeWithSub,16,16,17,17,0
17,x*x*x*x*3*x+1,25,-10,-0.03840010791458845,-0.004821416918616193,-0.0384,0.001205196855246886,8450.557999999999,7967.1915222222215,8451.128,8196.496177777779,-0.96,0.020646858554792303,0,1.0040913847502724,211278.2,165366.5922222222,211278.2,206915.9688888889,((0)*(0)),(((((x)-(9))*((9)-(2)))+(((4)/(9))-((5)*(6))))-(((6)-((7)*(7)))+(((1)*(0))+((x)*((x)+(x)))))),AddTreeWithDiv|AddTreeWithMult|SkipD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithMult|SkipD|DeleteMaliciousR|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DivXD|DeleteTerminalR|FellTreeD|MultXD|MutateTerminalR,AddTreeWithSub|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|AddXD|AddXD|AddToLeafR|DeleteTerminalR|AddTreeWithMult|MultXD|DeleteTerminalR|AddXD|AddTreeWithAdd|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddTreeWithDiv,AddTreeWithMult,AddTreeWithSub,17,17,18,18,0
