gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038400000000000004,-0.01104576432585843,-0.038400000000000004,0.013198990483659159,244.832,508.01368,244.832,229.66106666666664,-0.9600000000000001,0.39765110069645426,0,0.05377518600299079,6120.8,5851.548000000001,6120.8,5161.6,(0),(((x)*((x)*(2)))/((2)*((3)*(x)))),AddRandomSubTreeR|AddToLeafR|SkipD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|AddXD|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddRandomSubTreeR,AddTreeWithMult,10,11,12,12,4
12,x*x*x*x,25,-10,-0.038400000000000004,0.005982339169275519,-0.038400000000000004,0.012565181851941753,244.832,309.1505177777778,244.832,235.0922488888889,-0.9600000000000001,0.3607371585413672,0,0.03573382570294396,6120.8,5935.475555555556,6120.8,5477.92,(0),(((x)*((5)*(7)))/((3)-((0)*(x)))),AddTreeWithSub|DeleteMaliciousR|SkipD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|AddXD|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,MutateNonTerminalR,AddTreeWithMult,11,11,13,13,4
13,x*x*x*x,25,-10,-0.038400000000000004,-0.011217511805401807,-0.038400000000000004,0.012059659179316744,244.832,509.4854047619048,244.832,239.42413333333334,-0.9600000000000001,0.30843773923109963,0,0.010915419857123191,6120.8,6066.345714285714,6120.8,5926.08,(0),(((6)/((4)+(8)))*((3)*((6)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,11,13,14,14,4
14,x*x*x*x,25,-10,-0.038400000000000004,0.007084470287701194,-0.038400000000000004,0.015825094077189975,244.832,299.70622396825394,244.832,207.1576698412698,-0.9600000000000001,0.6387693752183922,0,0.16975280638754886,6120.8,5270.902142857143,6120.8,3095.4285714285716,(0),(((x)*((6)*(9)))*((9)/((7)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,13,14,15,15,4
15,x*x*x*x,25,-10,-0.038400000000000004,-0.016769659869132158,-0.038400000000000004,0.012781219075004204,244.832,574.7115277777777,244.832,233.24099999999999,-0.9600000000000001,0.40104001344362084,0,0.05709223276971843,6120.8,5866.360000000001,6120.8,5132.56,(0),(((x)*((6)*(6)))/((2)+((5)*(x)))),DeleteTerminalR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,DeleteTerminalR,AddTreeWithMult,14,14,16,16,4
16,x*x*x*x,25,-10,-0.038400000000000004,-0.00993418949726015,-0.038400000000000004,0.016514637572015697,244.832,498.48846190476195,244.832,201.2488888888889,-0.9600000000000001,0.6082864984969286,0,0.1521337183343224,6120.8,5309.002857142857,6120.8,3356.64,(0),(((x)*((8)*(5)))*((6)/((4)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,15,16,17,17,4
17,x*x*x*x,25,-10,-0.038400000000000004,0.0007701452035526041,-0.038400000000000004,0.01413923483391527,244.832,371.4635333333333,244.832,221.60399999999998,-0.9600000000000001,0.31819370016991255,0,0.01432161930680668,6120.8,6003.459999999999,6120.8,5842.48,(0),(((7)/((1)+(7)))*((7)*((8)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,15,16,18,18,4
18,x*x*x*x,25,-10,-0.038400000000000004,-0.0043493205836772015,-0.038400000000000004,0.015325927783216281,244.832,432.98195,244.832,211.43508571428572,-0.9600000000000001,0.4118229176391509,0,0.06107556266262706,6120.8,5634.04,6120.8,5040.16,(0),(((4)/((1)*(1)))*((x)*((5)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,15,18,19,19,4
19,x*x*x*x,25,-10,-0.038400000000000004,0.001006050407354162,-0.038400000000000004,0.01698193380083703,244.832,369.44203333333337,244.832,197.2445714285714,-0.9600000000000001,0.5022872827081428,0,0.10100267828351087,6120.8,5541.462857142857,6120.8,4264.96,(0),(((x)*((3)*(6)))/((1)*((2)*(x)))),AddToLeafR|AddToLeafR|AddToLeafR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,18,16,20,20,4
20,x*x*x*x,25,-10,-0.038400000000000004,0.001395245786198418,-0.038400000000000004,0.016716208898930118,244.832,366.1069714285714,244.832,199.5216,-0.9600000000000001,0.6739548518400956,0,0.1912056223487531,6120.8,5249,6120.8,2793.92,(0),(((x)*((7)*(8)))*((6)/((4)*(x)))),AddToLeafR|AddToLeafR|AddToLeafR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,18,20,21,21,4
21,x*x*x*x,25,-10,-0.038400000000000004,-0.007030327453847041,-0.038400000000000004,0.01282860183676137,244.832,459.2671912698413,244.832,232.8349714285714,-0.9600000000000001,0.29224937916612215,0,0.02584343034840958,6120.8,6198.219999999999,6120.8,6064.8,(0),(((x)-((8)*(7)))*((0)/((2)*(x)))),AddToLeafR|AddToLeafR|SubXD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|DivXD|MultXD,AddToLeafR,AddTreeWithMult,20,21,22,22,4
