gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.03840567311462553,0.004907624995790509,-0.03840053849170043,0.01881061299176578,243.9639,339.49478062153577,244.7496,181.57440000000003,-0.9599803947196446,0.6434453012678081,0.00002252159198109245,0.18598209980489355,6119.75,5035.68,6123.8,3055.36,((x)-(5)),((((9)*(x))-((2)+((0)*(8))))-(((0)*(5))-((7)-((6)*(x))))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,AddToLeafR,21,18,22,22,3
22,x*x*x*x,25,-10,-0.038405141811527904,0.01223517700767407,-0.03839973336818717,0.015969621151296753,244.04519999999997,237.92010000000002,244.87279999999998,205.9192,-0.9600000000000001,0.6716022181974346,0.00004125619903047138,0.19173889788102885,6116.67,5276.530000000001,6120.8,2814.08,((x)*(0)),((((4)*(x))+((9)*(x)))+((8)+((5)-((7)*(x))))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,AddTreeWithDiv,AddRandomSubTreeR,21,22,23,23,3
23,x*x*x*x,25,-10,-0.03840119853613907,0.008795910460733188,-0.038399673245327406,0.018769255186063448,244.64860000000002,391.44160000000005,244.882,181.92879999999997,-0.9599673245327409,0.6672890565192225,0.000021592196664471372,0.19254784800755423,6122.55,5325.700000000001,6125.8,2851.04,((x)-(7)),((((6)+(0))+((3)*((5)*(0))))+(((8)+(0))*((4)+((x)*(x))))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,SkipD,21,23,24,24,3
24,x*x*x*x,25,-10,-0.03840092144817671,-0.002377964322662294,-0.038399281139720305,0.015463524842690968,244.69100000000003,408.2558,244.942,210.25599999999997,-0.9599542543458373,0.4357226879772953,0.000037127537117545934,0.08699992564476923,6122.75,5909.46,6127.8,4835.36,((x)-(9)),((((4)*(2))*((x)+((0)+(0))))*(((3)+(3))-((7)-((4)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,ReplaceBranchXR,AddRandomSubTreeR,24,24,25,25,3
25,x*x*x*x,25,-10,-0.03840299437981964,-0.011630062363463223,-0.03839892301659914,0.012230987545979052,244.37380000000002,513.0206,244.9968,237.956,-0.9599607894392891,0.3048434378325896,0.0000761214313093942,0.07077585658859696,6116.63,6371.52,6126.8,5956.88,((x)-(8)),((((0)+(7))+((1)+(7)))+((9)+((5)*((5)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,ReplaceBranchR,AddToLeafR,24,25,26,26,3
26,x*x*x*x,25,-10,-0.03840142203633512,0.006908784099184048,-0.038397550646974254,0.01698573482457942,244.6144,301.2117,245.20680000000002,197.21200000000002,-0.9598692981309633,0.458222081147189,0.00008627788677165088,0.08080644203705384,6121.42,5624.14,6140.8,4642.56,((5)*((x)-(6))),((((2)+(0))+((3)*(7)))+((5)*((x)*(x)))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,AddTreeWithDiv,SkipD,24,25,27,27,3
27,x*x*x*x,25,-10,-0.04100067817932297,0.0031637475910335977,-0.03839916742909424,0.01422764531247083,229.42622500000002,341.0861,244.95940000000002,220.8464,-0.9599346490654818,0.3035084115988574,0.00006886008258003893,0.021154277635783505,6121.54,6153.18,6130.8,5968.32,((x)-((8)-(4))),((((0)-(0))-((2)+((7)+(0))))-((2)-((x)*((3)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,SkipD,24,27,28,28,3
28,x*x*x*x,25,-10,-0.03839891190694027,0.007303771684117076,-0.03839449483727617,0.01240752842765652,244.99849999999998,715.5889,245.67440000000002,236.4432,-0.9596797804208601,0.31095841813395086,0.0001841195517293056,0.012622066209832555,6129.4400000000005,6066.719999999999,6169.8,5904.48,((x)-((9)*(7))),((((2)*(9))*((6)-((0)*(2))))+((1)*((4)+((x)*(x))))),DivXD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DivXD,AddRandomSubTreeR,28,27,29,29,3
29,x*x*x*x,25,-10,-0.03840091033851784,-0.0022199994844046616,-0.03839908508691675,0.0156795563605131,244.69269999999997,1851.6094,244.972,208.4048,-0.9599673245327409,0.45780196799671385,0.000045079514848951524,0.07219862091692679,6121.05,5545.549999999999,6125.8,4646.16,((5)*((x)-(3))),((((4)/(5))+((0)-(2)))-((4)*((7)*((x)*(x))))),DivXD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DeleteNonTerminalR,SkipD,28,27,30,30,3
30,x*x*x*x,25,-10,-0.03840281793229643,-0.003437637250611136,-0.03839875833224415,0.012134641596803409,244.4008,420.12919999999997,245.02200000000002,238.7816,-0.9599869298130964,0.30349907575106905,0.00004185753288727244,0.1002429602375517,6116.9,6488.04,6122.8,5968.4,((x)-(4)),((((8)-(9))-((3)+(x)))+((9)*((2)+((5)*(x))))),DivXD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DivXD,SkipD,28,30,31,31,3
31,x*x*x*x,25,-10,-0.043600450050102386,-0.009229144137709071,-0.03839947719252386,0.012098961420274425,214.15913333333333,1265.6383226428602,244.912,239.087347714298,-0.9599869298130964,0.29995145359150066,0.000011874704183303125,0.015263802552969337,6120.6900000000005,6162.780000000001,6122.8,5998.8,((0)-(x)),((((x)+(3))*((1)*((3)+(7))))+((3)-((0)-((6)*(x))))),DivXD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,ReplaceBranchR,AddRandomSubTreeR,28,31,32,32,3
32,x*x*x*x,25,-10,-0.04880029603973337,-0.002600995696018062,-0.038400000000000004,0.011987575320286265,183.5787,411.55439047619046,244.832,240.04182857142857,-0.9600000000000001,0.3112851728065426,0.0000030061429878158737,0.05207031330797998,6120.57,6396.74,6120.8,5901.68,(0),((((6)*(9))-((7)+((4)+(0))))*((1)*((9)+((2)*(x))))),FellTreeD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD,AddRandomSubTreeR,32,31,33,33,3
33,x*x*x*x,25,-10,-0.03839992419291596,0.0037167482370163273,-0.038399019735982226,0.013829471404298226,244.8436,362.8881999135867,244.982,224.2584,-0.9599411841589336,0.35161603525216134,0.00002940792053324204,0.031417414752902564,6123.05,5934.4400000000005,6129.8,5556.08,((0)-(9)),((((x)+(5))*((3)-(1)))+((9)*((3)+((6)*(x))))),FellTreeD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,FellTreeD,AddRandomSubTreeR,32,31,34,34,3
34,x*x*x*x,25,-10,-0.03840020650895308,-0.00019044659323991464,-0.038400000000000004,0.02083863920682637,244.8004,422.6589,244.832,164.19600000000003,-0.9600000000000001,0.674076217861344,0,0.19240846019756794,6120.8,5265.66,6120.8,2792.88,(((6)+(1))*((0)*(0))),((((6)*(x))+((x)*(4)))+((0)*((x)+((4)*(x))))),DeleteMaliciousR|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,ReplaceBranchR,SkipD,34,31,35,35,3
35,x*x*x*x,25,-10,-0.03840027643445301,-0.0009428338554455256,-0.038400000000000004,0.01397193644154826,244.7897,2230.9536,244.832,223.0376,-0.9600000000000001,0.5133035830983812,0.000006535093451831564,0.3368596217957408,6120.3,6993.3,6120.8,4170.56,(0),((((x)-(4))*((4)-((1)*(4))))*(((5)+(9))-((2)+((0)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult,ReplaceBranchR,SkipD,35,31,36,36,3
36,x*x*x*x,25,-10,-0.03840007907463077,0.0037425555754439354,-0.03839895438504771,0.013733405530556233,244.81990000000002,709.6322,244.99200000000002,225.08159999999995,-0.9599477192523854,0.3153182590511045,0.00003859638954465237,0.02464979632215062,6122.24,6090.9400000000005,6128.8,5867.12,((0)-(8)),((((7)*(6))+((2)+(3)))*((5)*((1)+((9)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DeleteNonTerminalR,SkipD,35,36,37,37,3
37,x*x*x*x,25,-10,-0.03840024637302314,-0.0019192186616995665,-0.038400000000000004,0.011811854659521632,244.7943,815.8279999999999,244.832,241.5476,-0.9600000000000001,0.3015712231827773,0,0.008483865210395371,6120.8,6080.65,6120.8,5984.92,(0),((((3)+(6))*((0)+((8)*(4))))-((8)-((3)*((1)-(0))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,FellTreeD,AddToLeafR,35,37,38,38,3
38,x*x*x*x,25,-10,-0.0383999536008365,0.008660414682829494,-0.03839934649065482,0.012763410945347947,244.83910000000003,477.67979999999994,244.93200000000002,233.3936,-0.9599477192523854,0.31911794910095787,0.000026140373807326256,0.013884345262124762,6122.8,5969.780000000001,6128.8,5834.56,((0)-(8)),((((5)*(3))-((1)*((5)*(5))))+((1)-((8)*((3)*(2))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|AddToLeafR|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv,AddToLeafR,38,38,39,39,3
39,x*x*x*x,25,-10,-0.03840027382041564,-0.0023760957090168894,-0.038400060122859764,0.016058031629852306,244.79010000000002,411.40358125,244.82280000000003,205.1616,-0.9600000000000001,0.5069925499934649,0,0.10862794392703344,6120.8,5620.0825,6120.8,4224.64,((4)*(0)),((((5)*(7))*((x)-(2)))*((2)+((0)+((x)+(3))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|AddToLeafR|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv,AddToLeafR,39,38,40,40,3
40,x*x*x*x,25,-10,-0.03840026728532218,0.003955425976055747,-0.038399346490654816,0.012264983368854015,244.7911,332.3159678571429,244.93200000000002,237.6646857142857,-0.9599673245327409,0.3159157533095581,0.00001633773362957891,0.014792827805385685,6122.05,6051.6525,6125.8,5862,((0)-(5)),((((5)/(7))+((5)-((x)+(x))))*((7)-((0)*((6)*(x))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,ReplaceBranchR,SkipD,40,39,41,41,3
41,x*x*x*x,25,-10,-0.03840022938178016,-0.005337839046872177,-0.038400000000000004,0.012925177847900371,244.79690000000002,441.4526833333333,244.832,232.00740000000002,-0.9600000000000001,0.34269096476651045,0,0.024628667875503277,6120.8,5869.51,6120.8,5632.56,((0)*(x)),((((1)+(4))*((x)/(8)))+((7)*((4)*((8)*(7))))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,ReplaceBranchR,SkipD,41,39,42,42,3
42,x*x*x*x,25,-10,-0.03840006339040649,-0.00025544386899315765,-0.03839947719252386,0.01232243217506582,244.82230000000004,380.2519291666667,244.912,237.1724,-0.9599477192523854,0.28862240230035296,0.00003025138923468643,0.010200642658846178,6124.32,6182.05,6128.8,6095.88,((0)-(8)),((((6)*(5))+((0)+(8)))/((4)+((5)-(0)))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,FellTreeD,SkipD,41,39,43,43,3
43,x*x*x*x,25,-10,-0.038400009802640175,0.004755486359342267,-0.03839941184158934,0.01242320681703606,244.83050000000003,320.47322214285714,244.922,236.30884999999998,-0.9599869298130964,0.3169520324140636,0.000006535093451831564,0.015212666926477506,6121.3,5996.032,6122.8,5853.12,((0)-(2)),((((0)+(2))*((2)*(6)))*((x)*((x)/(5)))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,DeleteTerminalR,SkipD,41,39,44,44,3
44,x*x*x*x,25,-10,-0.03840026663181284,-0.01695948543993034,-0.038400000000000004,0.01217302526813889,244.79120000000003,576.3381658730159,244.832,238.45268571428574,-0.9600000000000001,0.2967679294956776,0,0.0041991652339461024,6120.8,6073.424444444445,6120.8,6026.08,((0)*(2)),((((9)-(6))/((3)*((1)-(6))))+(((1)*(5))+((1)*((x)+(x))))),FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,FellTreeD,SkipD,44,44,45,45,3
45,x*x*x*x,25,-10,-0.03840003528950465,-0.008685464110050776,-0.03839947719252386,0.01170222846686708,244.82660000000004,589.1227296969697,244.912,242.487,-0.9599477192523854,0.28813227029146526,0.000025027502490017914,0.0023539624353774696,6123.8,6119.350303030303,6128.8,6100.08,((0)-(8)),(((6)*((5)*(1)))+((0)*((3)/(7)))),FellTreeD|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,FellTreeD,SkipD,45,44,46,46,3
46,x*x*x*x,25,-10,-0.03840008953078029,-0.005624156522823479,-0.038400000000000004,0.012134326511940552,244.81830000000002,443.9061721428572,244.832,238.7843,-0.9600000000000001,0.3202907649793678,0,0.019330158914489883,6120.8,6067.6275000000005,6120.8,5824.51,(0),((((7)/(4))*((7)*(5)))+((0)*((3)*((6)+(1))))),FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,AddTreeWithDiv,SkipD,44,46,47,47,3
47,x*x*x*x,25,-10,-0.038400000000000004,-0.01744014484131218,-0.038400000000000004,0.011950765406149392,244.832,580.456993962585,244.832,240.35725714285712,-0.9600000000000001,0.30677595832477556,0,1.1473556917972345,6120.8,12724.970000000001,6120.8,5940.32,(0),((((4)/(7))+((6)+(9)))+((9)*((1)*((6)*(3))))),FellTreeD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,FellTreeD,SkipD,44,46,48,48,3
48,x*x*x*x,25,-10,-0.038400000000000004,-0.028790972539900372,-0.038400000000000004,0.011816896665650101,244.832,713.0217986111112,244.832,241.50439444444447,-0.9600000000000001,0.29311527904849044,0,1.125139351411187,6120.8,13031.065,6120.8,6057.38,(0),((((2)+(9))/((6)+(0)))*((9)*((3)-((1)-(5))))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddTreeWithDiv|AddTreeWithSub,AddTreeWithDiv,SkipD,47,47,49,49,3
49,x*x*x*x,25,-10,-0.038400000000000004,-0.010537974315711992,-0.038400000000000004,0.01505834238021441,244.832,503.6623664682539,244.832,213.72805714285715,-0.9600000000000001,0.2903261945217246,0,0.0019682749712441844,6120.8,6120.851111111111,6120.8,6081.28,(0),((((8)+(2))*((8)+(x)))/((5)*((5)-(2)))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteMaliciousR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|SkipD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,AddTreeWithDiv,SkipD,48,48,50,50,3
50,x*x*x*x,25,-10,-0.0436,0.000025610231022223372,-0.038400000000000004,0.012242170557936942,214.22800000000004,377.8435428571429,244.832,237.86017142857145,-0.9600000000000001,0.32184401665515255,0,0.018851355029985625,6120.8,6041.922500000001,6120.8,5811.2,(0),((((8)/(3))*((6)*(5)))-((0)*((9)+(8)))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|SkipD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,DeleteTerminalR,SkipD,49,50,51,51,3
51,x*x*x*x,25,-10,-0.038400000000000004,-0.0056858293257518976,-0.038400000000000004,0.01164647011595123,244.832,444.4346537918871,244.832,242.9648,-0.9600000000000001,0.2886457419198238,0,0.00444714914475425,6120.8,6126.561428571429,6120.8,6095.68,(0),((((3)*(3))/((8)*((2)*(x))))*((6)-((x)*((1)+(x))))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv|FellTreeD,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|AddXD|AddToLeafR|AddTreeWithDiv|AddTreeWithMult,FellTreeD,SkipD,50,51,52,52,3
