gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038411661220755455,0.005501020389492316,-0.03839915043785126,0.012071531265754245,243.0476,313.27499615999363,244.96200000000002,239.3224,-0.959921578878578,0.30479675859364797,0.00005931254081070063,0.006273689713762909,6119.46,6037.92,6132.8,5957.28,((x)-((5)-(9))),(((4)*((8)+(9)))-((0)+((x)*(x)))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|SubXD,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SubXD,AddToLeafR,10,10,12,12,3
12,x*x*x*x,25,-10,-0.043600501791704785,0.005476793416360141,-0.0383990401254738,0.011984801239800589,214.15121583333334,313.48260000000005,244.97888000000003,240.0656,-0.9599505946935042,0.29379912989898616,0.00003424779721775699,0.0029095261123418983,6120.57,6072.4400000000005,6128.36,6051.52,((9)-((x)*(7))),(((7)+((3)-(2)))+((1)+((x)*(x)))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,FellTreeD,AddRandomSubTreeR,12,12,13,13,3
13,x*x*x*x,25,-10,-0.03840902038949157,0.011434966484306442,-0.03839956868383218,0.01540881677465131,243.4517,244.77720000000002,244.89800000000002,210.7248,-0.9599738596261927,0.4663442687230428,0.000039177653598789594,0.11043244910418179,6117.870000000001,5901.18,6124.8,4572.96,((x)-(6)),(((7)*((1)*(x)))*((3)*((9)*(x)))),FellTreeD|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,AddRandomSubTreeR,13,10,14,14,3
14,x*x*x*x,25,-10,-0.03840062867599007,0.004436197439815854,-0.03839915043785127,0.01210065911085386,244.7358,322.61330000000004,244.96200000000002,239.0728,-0.9599542543458373,0.29638515973635576,0.00006430403555791204,0.006011142443035711,6119.6900000000005,6076.22,6127.8,6029.36,((x)-(9)),(((7)-((9)-(3)))+((9)*((6)*(x)))),FellTreeD|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,ReplaceBranchXR,MultXD,14,14,15,15,3
15,x*x*x*x,25,-10,-0.03841071755326102,0.000013809274853586184,-0.0383992811397203,0.012205562920502146,243.19199999999998,377.94466666666665,244.942,238.17386666666664,-0.9600000000000001,0.36341343490735734,0.000017815133019964528,0.03719700483071351,6118.08,5930.866666666667,6120.8,5454.986666666667,((7)*((x)-(x))),((((x)*(5))*((7)/(5)))-((2)+((7)+((5)*(x))))),FellTreeD|AddToLeafR|DeleteTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DeleteTerminalR,AddToLeafR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03840166318128349,0.011458072707582579,-0.03840047052672853,0.012126426050749671,244.5775,244.57920000000001,244.76,238.85199999999998,-0.9600000000000001,0.31841776051683257,0.000018641709651104722,0.019293391000314086,6119.0599999999995,6053.88,6120.8,5840.56,((x)-(2)),((((4)+(9))+((7)*(7)))*((6)-((0)*(x)))),FellTreeD|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,AddRandomSubTreeR,16,15,17,17,3
17,x*x*x*x,25,-10,-0.03840056920663966,0.011554678726803755,-0.038399908508691676,0.012405147786470491,244.74489999999997,243.7513714285714,244.84600000000003,236.4636,-0.9599542543458373,0.37472225852829705,0.00003848705864472605,0.04351629171475595,6123.5599999999995,5915.667142857143,6127.8,5358.08,((x)-(9)),(((4)*((x)-(3)))+((8)*((4)*(x)))),FellTreeD|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,AddTreeWithDiv,AddRandomSubTreeR,16,17,18,18,3
18,x*x*x*x,25,-10,-0.03840123447915305,0.005641711167541128,-0.03839998954385048,0.012076759340515714,244.6431,312.06940000000003,244.83360000000002,239.27759999999998,-0.9599673245327409,0.2903915454562429,0.00003627426248254168,0.0019677223323342464,6118.219999999999,6099.1,6125.8,6080.72,((x)+((x)-(9))),(((8)-((1)*(2)))-((0)-((8)*(x)))),FellTreeD|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,AddToLeafR,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03840085413671416,0.01424930561297843,-0.03839921578878578,0.023534458614186758,244.7013,220.66079028571428,244.952,141.0952,-0.9599542543458373,0.6768022854155386,0.00003400627206781341,0.18440451328841106,6121.58,5137.02,6127.8,2769.52,((x)-(9)),((((9)+(8))*((x)*(5)))+((7)-((0)*(x)))),FellTreeD|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,FellTreeD,AddRandomSubTreeR,18,19,20,20,3
20,x*x*x*x,25,-10,-0.03840335511697817,0.01217508915734638,-0.03839738596261927,0.014260134062774243,244.3186,238.435,245.232,220.56799999999998,-0.9598170173833487,0.5071232518625016,0.00020254393143555422,0.10854719319831871,6112.700000000001,5602.86,6148.8,4223.52,((x)-((9)*(4))),((((3)+((5)+(0)))+((4)+((2)-(9))))+(((8)*(1))+((3)*((x)*(x))))),FellTreeD|AddTreeWithMult|SkipD|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|SkipD|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,AddTreeWithDiv,AddToLeafR,19,18,21,21,3
