gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038480607110181676,0.00027294017883790434,-0.03819822506861848,0.001021827212129134,232.4975,243.16140000000004,275.70759999999996,238.57760000000002,-0.9420640439158281,0.05520846948111359,0.010865427621498853,0.027666235755978125,6429.74,6036.84,8865.36,5782.88,((((x)-(7))*((5)*(3)))*((8)*((x)-((x)+(x))))),(((x)*((6)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,AddTreeWithSub,11,11,12,12,2
12,x*x*x*x,25,-10,-0.03833714808521762,0.00043780558223823006,-0.03778363089792184,0.002275519539929421,254.44960000000003,242.1523,339.1488,230.90400000000002,-0.8982496405698601,0.06422689844464774,0.032527078094544214,0.031642388846572306,8158.62,6017.92,15569.84,5727.68,((((x)*(x))*((x)*(5)))*((7)-((x)+((2)*(1))))),(((x)*((7)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,DeleteNonTerminalR,12,12,13,13,2
13,x*x*x*x,25,-10,-0.03842395765259443,0.0002353630575658464,-0.038180376421382826,0.0007230427395111756,241.166,243.39140000000003,278.4388,240.4064,-0.9446294602012809,0.02804862109528171,0.007726828335563563,0.011606548588345457,6699.41,6050.66,8472.8,5949.12,((((x)*(x))*((3)-(7)))*((9)-((6)-((x)+(x))))),(((x)*((3)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,AddXD,13,13,14,14,2
14,x*x*x*x,25,-10,-0.038361276957260486,0.00026329951545373714,-0.03779048490393413,0.0009609201411580197,250.7574,243.2204,338.1,238.9504,-0.9027630375114364,0.04619004051757944,0.029432980274031753,0.02057316901158501,8138.85,6021.1900000000005,14879.2,5838.08,((((x)*(5))*((3)*(5)))*((5)*((x)-((x)+(x))))),(((x)*((5)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,DeleteTerminalR,14,14,15,15,2
15,x*x*x*x,25,-10,-0.038381566461900406,0.00020574141315127484,-0.03813729185727356,0.0007502287282708154,247.6527,243.5727,285.0316,240.24,-0.9491648150568553,0.02804862109528171,0.005256436380776113,0.012256588240069161,6578.8,6055.68,7778.8,5949.12,((((x)*(x))*((x)-(7)))*((5)-((5)*((4)+(x))))),(((x)*((3)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|MutateTerminalR|AddTreeWithMult|AddRandomSubTreeR,ReplaceBranchXR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,AddXD,15,15,16,16,2
16,x*x*x*x,25,-10,-0.038553294994118414,0.00030638225247393695,-0.038373237485296044,0.0009794798065612328,221.3748,242.9567,248.9272,238.8368,-0.9586014900013071,0.0371193308064305,0.0006860712459416708,0.017140623276858436,6179.18,6031.18,6334.8,5893.6,(((x)*((0)-(9)))*((4)*((6)+(x)))),(((x)*((4)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,DeleteTerminalR,16,16,17,17,2
17,x*x*x*x,25,-10,-0.038264800026140376,0.0001319436035120622,-0.03773601882106914,0.0003866161286106411,265.52029999999996,244.0244,346.4343999999999,242.46559999999997,-0.8947023918442033,0.010403868775323535,0.033591871780395785,0.0030145339629093523,8425.66,6098.31,16112.64,6057.12,((((x)*(4))*((9)-(1)))*((x)*((x)-((x)+(x))))),(((x)+((2)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|SubXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,MultXD,17,17,18,18,2
18,x*x*x*x,25,-10,-0.03852822833616521,0.0002652110302883994,-0.03838019866684094,0.001832963011371063,225.21050000000002,243.20870000000002,247.862,233.61280000000002,-0.9599869298130964,0.08218533525029408,0.000020465731428287123,0.04073843044105488,6119.33,5991.700000000001,6122.8,5617.76,(((0)*((4)*(1)))*((9)-((7)-(x)))),(((x)*((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,DeleteTerminalR,18,18,19,19,2
19,x*x*x*x,25,-10,-0.03840500784211215,0.0003354959603628994,-0.03839933342046792,0.0010291465167951918,244.0657,242.77849999999998,244.93399999999997,238.53279999999998,-0.9599725526075022,0.0529081165860672,0.00009852227937132987,0.024742748933195936,6110.44,6023.11,6125,5796.96,(((0)*((7)+(3)))*((x)+((x)-(x)))),(((x)*((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddRandomSubTreeR,AddXD,19,19,20,20,2
20,x*x*x*x,25,-10,-0.03842226179584368,0.0004404613443446395,-0.03839694419030192,0.0014812442817932316,241.4255,242.13730000000004,245.2996,235.76559999999998,-0.9599869298130964,0.07324532740818204,0.000021396285854372453,0.034935886928090853,6118.620000000001,5991.539999999999,6122.8,5672.48,(((3)-(7))*((0)-(x))),(((x)*((8)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,AddXD,20,20,21,21,2
