gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.0384190308456411,0.00046007184628726313,-0.038393791661220755,0.0016801725264671294,241.91990000000004,242.016,245.782,234.54800000000003,-0.9595425434583715,0.08218533525029408,0.00023370764861838878,0.03937708101090492,6155.05,5976.17,6190.8,5617.76,(((0)-(5))*((7)*(2))),(((x)*((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|MultXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,MultXD,21,21,22,22,2
22,x*x*x*x,25,-10,-0.038279723565546986,0.0002756665795320881,-0.03779350411710888,0.0011206378251208992,263.23670000000004,243.1447,337.63800000000003,237.97279999999998,-0.8994824205986145,0.018912560449614466,0.03027855595607613,0.004575204877165074,8431.369999999999,6046.98,15381.2,6005.04,(((8)*((6)*(8)))*((x)*((x)-(x)))),(((x)+((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,MultXD,22,22,23,23,2
23,x*x*x*x,25,-10,-0.03840123317213436,-0.00985657076963147,-0.0383958619788263,0.0005340478368840692,244.6433,377.1850999999999,245.4652,241.5632,-0.9599869298130964,0.018912560449614466,0.000007546075927188628,0.00850400489214782,6121.8,6075.98,6122.8,6005.04,((0)-(x)),(((x)+((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,FellTreeD,23,23,24,24,2
24,x*x*x*x,25,-10,-0.03839981701738335,0.00012505101365268477,-0.03839882368317867,0.00036348189779114066,244.86,244.0666,245.012,242.6072,-0.9599085086916743,0.012181414194223042,0.00005238781351698578,0.0050716409455188365,6123.96,6076.3,6134.8,6046.24,(((0)*(2))-((7)*(2))),(((x)+((8)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,FellTreeD,24,24,25,25,2
25,x*x*x*x,25,-10,-0.03840155665926023,0.0001402285013602235,-0.03839908508691675,0.000351718729577834,244.59380000000002,243.97370000000004,244.972,242.6792,-0.9599869298130964,0.011893870082342207,0.000007546075927188628,0.0053136699784199415,6121.8,6088.8,6122.8,6048,(((0)*(x))*((0)-(x))),(((x)+((7)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,AddXD,25,25,26,26,2
26,x*x*x*x,25,-10,-0.03839993464906548,0.0002481375650857122,-0.03839973859626193,0.0014202065089530774,244.842,243.3132,244.872,236.13920000000002,-0.9599869298130964,0.06422689844464774,0.000006535093451831564,0.030110649745490586,6121.3,6001.9800000000005,6122.8,5727.68,((0)-(x)),(((x)*((7)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|DeleteMaliciousR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,DeleteNonTerminalR,26,26,27,27,2
27,x*x*x*x,25,-10,-0.03839980394719645,0.00015269412577028003,-0.03839960789439289,0.00045719513789047354,244.862,243.89739999999998,244.892,242.0336,-0.9599869298130964,0.012181414194223042,0.000006535093451831564,0.006234378658217877,6122.3,6085.9,6122.8,6046.24,((0)*((0)-(x))),(((x)+((8)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|ReplaceBranchR|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,DeleteTerminalR,27,27,28,28,2
28,x*x*x*x,25,-10,-0.03839993464906548,0.00007950074566481403,-0.03839986929813097,0.0002850607763691028,244.842,244.3454,244.852,243.08720000000002,-0.9599869298130964,0.00812965625408447,0.000007546075927188628,0.002915352481598815,6121.8,6097.62,6122.8,6071.04,(((0)*(x))*((1)-(x))),(((x)-((5)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|ReplaceBranchR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,AddTreeWithSub,28,28,29,29,2
29,x*x*x*x,25,-10,-0.03839990197359822,0.00021820677035681675,-0.03839960789439289,0.0004488302182721217,244.847,243.4964,244.892,242.0848,-0.9599869298130964,0.011893870082342207,0.000006535093451831564,0.003249624092120227,6121.3,6079.700000000001,6122.8,6048,((0)-(x)),(((x)+((7)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,MultXD,29,29,30,30,2
30,x*x*x*x,25,-10,-0.03839980394719645,0.00033098641243623384,-0.03839947719252386,0.0008660305842373558,244.862,242.80610000000001,244.912,239.5312,-0.9599869298130964,0.05520846948111359,0.000007546075927188628,0.025526015558360884,6121.8,6013.570000000001,6122.8,5782.88,((0)-(x)),(((x)*((6)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,DeleteNonTerminalR,30,30,31,31,2
31,x*x*x*x,25,-10,-0.03839996732453274,0.00021900838629354013,-0.03839986929813097,0.0005983531564501384,244.83700000000002,243.4915,244.852,241.1696,-0.9599869298130964,0.018912560449614466,0.000006535093451831564,0.009124765083657903,6121.3,6072.43,6122.8,6005.04,((0)*((0)-(x))),(((x)+((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,FellTreeD,31,31,32,32,2
32,x*x*x*x,25,-10,-0.038399836622663705,0.0006324353356994241,-0.03839960789439289,0.0027494445170565956,244.857,240.961,244.892,228.0032,-0.9599869298130964,0.07324532740818204,0.000006535093451831564,0.03484308083801617,6122.3,5988.0199999999995,6122.8,5672.48,(((x)*((3)*(x)))*((0)-(x))),(((x)*((8)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,MutateNonTerminalR,FellTreeD,32,32,33,33,2
33,x*x*x*x,25,-10,-0.03840078421121422,0.00027491531061947803,-0.03839960789439289,0.0008375375767873485,244.71200000000002,243.1493,244.892,239.70559999999998,-0.9599869298130964,0.05520846948111359,0.000007546075927188628,0.026356697261669206,6121.8,6024.75,6122.8,5782.88,((0)-(x)),(((x)*((6)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,AddXD,33,33,34,34,2
34,x*x*x*x,25,-10,-0.03839109593517188,0.00015138650680066398,-0.0383665403215266,0.0003496274996732468,246.1945,243.90540000000001,249.952,242.692,-0.9566932427133709,0.018912560449614466,0.0016200827065123425,0.008721177091016195,6255.55,6075.42,6626.8,6005.04,(((0)-((9)*(x)))*((x)-(x))),(((x)*((2)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,MultXD,34,34,35,35,2
35,x*x*x*x,25,-10,-0.03841258397595086,0.00044750912902533345,-0.03839725526075023,0.0018700823421774924,242.9064,242.09290000000001,245.252,233.38560000000004,-0.9599869298130964,0.08218533525029408,0.000007546075927188628,0.04212867123855735,6121.8,5892.62,6122.8,5617.76,(((0)*(x))-((1)-(x))),(((x)*((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,FellTreeD,35,35,36,36,2
36,x*x*x*x,25,-10,-0.038399346490654816,0.00011541148434703832,-0.03839777806822638,0.0003691020781597193,244.93200000000002,244.12559999999996,245.172,242.5728,-0.9598170173833487,0.018912560449614466,0.00008735214418926246,0.009372535418773201,6128.8,6090.62,6148.8,6005.04,((0)-((7)*(4))),(((x)+((x)*(x)))+((x)+(x))),DeleteTerminalR|SkipD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,DeleteNonTerminalR,36,36,37,37,2
37,x*x*x*x,25,-10,-0.03839880734544504,0.00027231927787033203,-0.03839607894392891,0.0017510129394850348,245.0145,243.1652,245.43200000000002,234.11440000000002,-0.959647104953601,0.08218533525029408,0.00016638840748232995,0.040633132006820484,6137.05,5990.700000000001,6174.8,5617.76,((0)-((9)*(6))),(((x)*((9)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,AddXD,37,37,38,38,2
38,x*x*x*x,25,-10,-0.038399673245327406,0.000189732568041452,-0.03839947719252386,0.0006187426480198685,244.882,243.67069999999995,244.912,241.04480000000004,-0.9599869298130964,0.04619004051757944,0,0.021454995790751785,6122.8,6033.459999999999,6122.8,5838.08,(((x)*((5)*(0)))*((0)-((x)*(1)))),(((x)*((5)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,MultXD,38,38,39,39,2
39,x*x*x*x,25,-10,-0.0384033250555483,0.0001978173455065719,-0.038399281139720305,0.0006046268461639002,244.32319999999999,243.62120000000002,244.942,241.13120000000004,-0.9599869298130964,0.018912560449614466,0.000006535093451831564,0.007265589817582165,6122.3,6065.120000000001,6122.8,6005.04,(((x)*((x)*(5)))*((0)-(x))),(((x)*((2)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteNonTerminalR,DeleteNonTerminalR,39,39,40,40,2
40,x*x*x*x,25,-10,-0.03839926480198667,0.0005725738796806027,-0.03839823552476801,0.0013914520977649986,244.9445,241.32739999999998,245.102,236.3152,-0.9599085086916743,0.06422689844464774,0.00004184501527536629,0.03675510054487474,6125.3,5922.51,6134.8,5727.68,(((x)*((x)*(0)))*((0)-((2)*(7)))),(((x)*((7)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|AddXD,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|SkipD|DeleteMaliciousR|AddTreeWithSub|FellTreeD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,FellTreeD,40,40,41,41,2
41,x*x*x*x,25,-10,-0.0384981342308195,0.0001711873732501038,-0.03839921578878578,0.0006161286106391335,229.8155,243.78419999999997,244.952,241.06080000000003,-0.9599869298130964,0.018912560449614466,0,0.00849208426005285,6122.8,6082.78,6122.8,6005.04,(((x)*((0)*(0)))*((6)*((9)-(x)))),(((x)+((x)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,AddXD,41,41,42,42,2
42,x*x*x*x,25,-10,-0.0383994445170566,0.0003296137759769976,-0.03839815710364659,0.0009168736112926426,244.917,242.81450000000004,245.11399999999998,239.22,-0.9598954385047707,0.05520846948111359,0.00006208338779244953,0.026831811386701418,6124.05,6029.200000000001,6136.8,5782.88,(((0)*((5)-(2)))-((2)*(8))),(((x)*((6)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|FellTreeD,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,DeleteNonTerminalR,42,42,43,43,2
43,x*x*x*x,25,-10,-0.038399655600575094,0.0008530432197101888,-0.03839817017383349,0.002473924977127174,244.8847,239.6107,245.112,229.68959999999998,-0.9598954385047707,0.08218533525029408,0.00004987693609488706,0.04316487352743392,6125.55,5872.639999999999,6136.8,5617.76,(((0)*((0)*(x)))-((8)*(2))),(((x)*((9)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,AddXD,43,43,44,44,2
44,x*x*x*x,25,-10,-0.03839915435890734,0.00023771402431054837,-0.03839738596261927,0.0009392236308979235,244.9614,243.37700000000004,245.232,239.0832,-0.959803947196445,0.02804862109528171,0.00009921764171268154,0.0133536518208405,6128.1900000000005,6071.4,6150.8,5949.12,(((x)*((x)*(0)))-((5)*(6))),(((x)*((3)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddRandomSubTreeR,AddTreeWithAdd,44,44,45,45,2
45,x*x*x*x,25,-10,-0.038399428179322966,0.0002245296067104374,-0.03839901973598223,0.0011193308064305332,244.9195,243.45769999999996,244.982,237.9808,-0.9599411841589336,0.04619004051757944,0.000022872827081410474,0.022313263796772582,6124.55,6042.93,6129.8,5838.08,(((x)*((x)*(0)))-((9)-(0))),(((x)*((5)*(x)))+((x)+(x))),DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithDiv|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,DeleteNonTerminalR,45,45,46,46,2
46,x*x*x*x,25,-10,-0.03844141092667625,0.0003033269628462352,-0.03838351326623971,0.0008462946020128102,238.4953,242.9754,247.35479999999998,239.65199999999996,-0.9598917788524377,0.06422689844464774,0.000048235187874376675,0.030396034295373683,6126.9400000000005,6001.82,6137.36,5727.68,((0)-((x)*(8))),(((x)*((7)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,MultXD,46,46,47,47,2
47,x*x*x*x,25,-10,-0.038442603581231215,0.00008557884908872607,-0.038397189909815714,0.0004464775846294612,238.31279999999998,244.3082,245.262,242.09920000000002,-0.9597712717291857,0.011606325970461372,0.00011235483688847737,0.005140834147280416,6130.05,6096.63,6155.8,6049.76,(((3)*((4)*(0)))-((7)*(5))),(((x)+((6)*(x)))+((x)+(x))),DeleteTerminalR|DivXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,AddTreeWithSub,47,47,48,48,2
48,x*x*x*x,25,-10,-0.03834258397595086,0.00032410916030232344,-0.03816407267023919,0.0010301921317474845,253.6178,242.84820000000002,280.93359999999996,238.5264,-0.9366817409488957,0.04619004051757944,0.011652594432100372,0.0238678928844745,7014.34,5990.6900000000005,9688.96,5838.08,(((x)*((x)*(8)))-((x)*((x)-(0)))),(((x)*((5)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddTreeWithMult|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,MultXD,48,48,49,49,2
49,x*x*x*x,25,-10,-0.03839763102862371,0.00015501241667755978,-0.03839647104953601,0.0004700039210560745,245.1945,243.8832,245.372,241.95519999999996,-0.9597255260750229,0.011031237746699849,0.0001230727738581257,0.0037685467903127374,6150.8,6093.99,6162.8,6053.28,((0)-((7)*(6))),(((x)+((4)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,DeleteNonTerminalR,49,49,50,50,2
50,x*x*x*x,25,-10,-0.038398856358645934,0.0007674323617827743,-0.038396536400470534,0.003108613253169522,245.007,240.13469999999998,245.362,225.8048,-0.9597385962619266,0.08218533525029408,0.00012416677558491074,0.033960771609884845,6132.3,5906.92,6160.8,5617.76,((0)-((8)*(5))),(((x)*((9)*(x)))+((x)+(x))),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,DeleteTerminalR,AddTreeWithSub,50,50,51,51,2
51,x*x*x*x,25,-10,-0.03839964056986015,0.0003153182590511052,-0.03839947719252386,0.0013301529211867727,244.887,242.90200000000004,244.912,236.6904,-0.9599869298130964,0.06422689844464774,0,0.02888770646349986,6122.8,5990.8099999999995,6122.8,5727.68,((0)-(x)),(((x)*((7)*(x)))+((x)+(x))),AddToLeafR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,AddTreeWithMult|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithMult,MultXD,51,51,52,52,2
52,x*x*x*x,25,-10,-0.03843842896353418,0.0003908822108202731,-0.03839849692850608,0.0014011240360737164,238.95160000000004,242.4395,245.062,236.25599999999997,-0.9599346490654818,0.08218533525029408,0.000025797759077938215,0.04031211100085807,6126.05,5987.67,6130.8,5617.76,((0)-((7)+(3))),(((x)*((9)*(x)))+((x)+(x))),AddToLeafR|SubXD|AddRandomSubTreeR|AddTreeWithMult|DeleteNonTerminalR,MutateTerminalR|MultXD|AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,DeleteNonTerminalR,52,52,53,53,2
