gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.03839867599006666,0.000013070186903672723,-0.038397124558881196,0.000013070186903672723,245.03459999999998,244.752,245.27200000000002,244.752,-0.9599019735982225,0.0003267546725918181,0.000050888310151096806,0,6126.620000000001,6118.8,6135.8,6118.8,(((0)-(0))-((3)*(5))),(((0)*((0)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|ReplaceBranchXR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,31,31,32,32,3
32,x*x*x*x,25,-10,-0.03839952424519671,0.000013070186903672723,-0.03839862240230035,0.000013070186903672723,244.9048,244.752,245.0428,244.752,-0.9599738596261927,0.0003267546725918181,0.000007144105657101923,0,6123.1900000000005,6118.8,6124.8,6118.8,(((0)-(x))-((0)+(2))),(((5)*((0)*(x)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,32,32,33,33,3
33,x*x*x*x,25,-10,-0.03839764998039472,0.000013070186903672723,-0.03839235394066136,0.000013070186903672723,245.19160000000002,244.752,246.002,244.752,-0.9596340347666973,0.0003267546725918181,0.00017094463757329068,0,6137.57,6118.8,6176.8,6118.8,(((0)-(0))-((x)*(x))),(((0)*((6)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,AddXD,33,33,34,34,3
34,x*x*x*x,25,-10,-0.038399654947065744,0.000013070186903672723,-0.03839842112142204,0.000013070186903672723,244.88479999999998,244.752,245.0736,244.752,-0.9599411841589336,0.0003267546725918181,0.000022872827081410474,0,6124.55,6118.8,6129.8,6118.8,(((0)-(x))-((7)-(0))),(((0)*((0)*(5)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,34,34,35,35,3
35,x*x*x*x,25,-10,-0.03839955561364528,0.000013070186903672723,-0.03839830087570253,0.000013070186903672723,244.9,244.752,245.092,244.752,-0.9599607894392891,0.0003267546725918181,0.000012561893462954568,0,6124.32,6118.8,6126.8,6118.8,(((0)-(0))+((4)-(x))),(((0)*((1)*(0)))-((x)+((x)+(x)))),FellTreeD|AddRandomSubTreeR|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,DeleteTerminalR,DeleteMaliciousR,35,35,36,36,3
36,x*x*x*x,25,-10,-0.03836081688668148,0.000013070186903672723,-0.0382464723565547,0.000013070186903672723,250.8278,244.752,268.3248,244.752,-0.9449091622010195,0.0003267546725918181,0.007534355532756363,0,6700.639999999999,6118.8,8430,6118.8,((((x)*(x))*((x)*(1)))-((8)-((x)-(0)))),(((0)*((6)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,36,36,37,37,3
37,x*x*x*x,25,-10,-0.03839878904718338,0.000013070186903672723,-0.03839660175140505,0.000013070186903672723,245.0173,244.752,245.352,244.752,-0.9598366226637042,0.0003267546725918181,0.00007721136628722541,0,6128.6,6118.8,6145.8,6118.8,((((x)*(0))*((x)*(x)))-((0)-((5)*(5)))),(((0)*((0)*(1)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,37,37,38,38,3
38,x*x*x*x,25,-10,-0.03839927656515488,0.000013070186903672723,-0.038398408051235136,0.000013070186903672723,244.9427,244.752,245.07559999999998,244.752,-0.9599281139720299,0.0003267546725918181,0.000022611423343255055,0,6126.610000000001,6118.8,6131.8,6118.8,((((0)*(0))*((x)*(x)))-((x)-((9)-(0)))),(((0)*((0)*(x)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,38,38,39,39,3
39,x*x*x*x,25,-10,-0.038371298523068885,0.000013070186903672723,-0.038144940530649596,0.000013070186903672723,249.2239,244.752,283.8612,244.752,-0.9496703698862894,0.0003267546725918181,0.005153752948772407,0,6518.5,6118.8,7701.44,6118.8,((((x)*(3))*((7)*(x)))*((x)-((x)-(0)))),(((2)*((0)*(x)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,39,39,40,40,3
40,x*x*x*x,25,-10,-0.03811447457848647,0.000013070186903672723,-0.03730356031891256,0.000013070186903672723,288.5231,244.752,412.6092,244.752,-0.8505068618481244,0.0003267546725918181,0.05406935183286202,0,10473.06,6118.8,22875.44,6118.8,((((8)*(6))*((x)*(x)))*((x)-((x)-(0)))),(((2)*((0)*(x)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|AddXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,AddToLeafR,DeleteTerminalR,40,40,41,41,3
41,x*x*x*x,25,-10,-0.038244716376944196,0.000013070186903672723,-0.0377812756502418,0.000013070186903672723,268.5935,244.752,339.5092000000001,244.752,-0.8982522546072409,0.0003267546725918181,0.030855279707169444,0,8487.23,6118.8,15569.44,6118.8,((((x)*(x))*((7)*(5)))*((x)-((0)-(x)))),(((2)*((0)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,41,41,42,42,3
42,x*x*x*x,25,-10,-0.0384530865246373,0.000013070186903672723,-0.03839781205071233,0.000013070186903672723,236.7087,244.752,245.1668,244.752,-0.9599019735982225,0.0003267546725918181,0.000040719943028676125,0,6126.57,6118.8,6135.8,6118.8,((((0)*(0))*((x)*(x)))-((8)+((5)-(x)))),(((0)*((8)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,42,42,43,43,3
43,x*x*x*x,25,-10,-0.03838255652855836,0.000013070186903672723,-0.038013556397856495,0.000013070186903672723,247.50119999999998,244.752,303.9656,244.752,-0.921526597830349,0.0003267546725918181,0.023578117238623564,0,6932.04,6118.8,12008,6118.8,((((x)*(x))*((x)*(0)))-((x)-((x)-(x)))),(((5)*((0)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,43,43,44,44,3
44,x*x*x*x,25,-10,-0.03841000784211214,0.000013070186903672723,-0.03819440857404262,0.000013070186903672723,243.3006,244.752,276.2916,244.752,-0.939593778591034,0.0003267546725918181,0.010184431615799072,0,6905.73,6118.8,9243.36,6118.8,((((x)*(0))-((9)*(x)))*((x)-((x)-(x)))),(((0)*((0)*(8)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|MutateNonTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,44,44,45,45,3
45,x*x*x*x,25,-10,-0.03849623317213436,0.000013070186903672723,-0.03839854659521631,0.000013070186903672723,230.10640000000004,244.752,245.05440000000002,244.752,-0.9599346490654818,0.0003267546725918181,0.00002062316458367052,0,6127.59,6118.8,6130.8,6118.8,((((0)*(0))*((x)*(x)))-((x)+((6)-(x)))),(((5)*((0)*(x)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddXD|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,45,45,46,46,3
46,x*x*x*x,25,-10,-0.038465254868644626,0.000013070186903672723,-0.03839685792706835,0.000013070186903672723,234.84669999999997,244.752,245.31279999999998,244.752,-0.9598889034113188,0.0003267546725918181,0.00004494136458341224,0,6127.59,6118.8,6137.8,6118.8,((((x)*(0))*((x)*(0)))-((x)-((8)+(7)))),(((0)*((0)*(3)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,46,46,47,47,3
47,x*x*x*x,25,-10,-0.03838249575218926,0.000013070186903672723,-0.038335148346621356,0.000013070186903672723,247.51049999999998,244.752,254.75560000000002,244.752,-0.9537048751797151,0.0003267546725918181,0.0031030117807489986,0,6372.16,6118.8,7084.08,6118.8,((((x)*(x))*((x)*(1)))-((4)-((x)-(0)))),(((3)*((6)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|AddTreeWithDiv,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,47,47,48,48,3
48,x*x*x*x,25,-10,-0.03844467063129002,0.000013070186903672723,-0.03839787217357208,0.000013070186903672723,237.99650000000003,244.752,245.15760000000003,244.752,-0.9598954385047707,0.0003267546725918181,0.000036851669532745126,0,6129.09,6118.8,6136.8,6118.8,((((x)*(0))*((x)*(x)))-((5)+((9)-(x)))),(((x)*((x)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,48,48,49,49,3
49,x*x*x*x,25,-10,-0.03831149784341916,0.000013070186903672723,-0.038006843549862765,0.000013070186903672723,258.3746,244.752,304.9928,244.752,-0.9207632989151746,0.0003267546725918181,0.019605018951770914,0,7624.860000000001,6118.8,12124.8,6118.8,((((x)*(x))*((0)-(x)))*((x)-((x)-(0)))),(((4)*((x)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,49,49,50,50,3
50,x*x*x*x,25,-10,-0.038398625016337735,0.000013070186903672723,-0.03839692850607764,0.000013070186903672723,245.0424,244.752,245.30200000000002,244.752,-0.9597908770095414,0.0003267546725918181,0.0001066939352453036,0,6133.32,6118.8,6152.8,6118.8,((((0)*(0))*((x)*(x)))-((x)-((5)*(6)))),(((0)*((0)*(9)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteTerminalR,50,50,51,51,3
51,x*x*x*x,25,-10,-0.038489021696510264,0.000013070186903672723,-0.03839548555744347,0.000013070186903672723,231.2099,244.752,245.5228,244.752,-0.9596340347666973,0.0003267546725918181,0.00017203590172167675,0,6137.34,6118.8,6176.8,6118.8,((((x)*(0))*((0)*(x)))-((x)-((9)*(6)))),(((0)*((0)*(5)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,51,51,52,52,3
52,x*x*x*x,25,-10,-0.03840917853875311,0.000013070186903672723,-0.03839692850607765,0.000013070186903672723,243.4275,244.752,245.30200000000002,244.752,-0.9598692981309633,0.0003267546725918181,0.00006023640633539007,0,6127,6118.8,6140.8,6118.8,((((0)*(x))*((0)*(x)))-((x)-((9)*(2)))),(((1)*((9)*(0)))-((x)+((x)+(x)))),MultXD|SubXD|SubXD|AddToLeafR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|SubXD|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,52,52,53,53,3
53,x*x*x*x,25,-10,-0.038445387531041694,0.000013070186903672723,-0.03839554045222846,0.000013070186903672723,237.8868,244.752,245.51440000000002,244.752,-0.9596340347666973,0.0003267546725918181,0.0001696510260095763,0,6137.860000000001,6118.8,6176.8,6118.8,(((x)*((0)*(x)))*((0)-((x)*(x)))),(((0)*((3)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,53,53,54,54,3
54,x*x*x*x,25,-10,-0.03847822376159979,0.000013070186903672723,-0.038398933472748656,0.000013070186903672723,232.8622,244.752,244.9952,244.752,-0.9599733368187164,0.0003267546725918181,0.00001986668409365011,0,6123.360000000001,6118.8,6124.88,6118.8,(((x)*((0)*(0)))-((x)-((x)-(x)))),(((6)*((0)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,54,54,55,55,3
55,x*x*x*x,25,-10,-0.03840391452097765,0.000013070186903672723,-0.038392283361652076,0.000013070186903672723,244.233,244.752,246.0128,244.752,-0.9596340347666973,0.0003267546725918181,0.00017669603673679492,0,6136.32,6118.8,6176.8,6118.8,(((x)*((0)*(x)))*((0)-((x)*(x)))),(((0)*((0)*(1)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,55,55,56,56,3
56,x*x*x*x,25,-10,-0.03842367141550124,-0.014989380473140766,-0.03840272382695072,0.000013070186903672723,241.2098,444.61350000000004,244.4152,244.752,-0.9599733368187164,0.0003267546725918181,0.00018272121291340593,0,6110.9,6118.8,6124.88,6118.8,(((x)*((0)-(0)))*((x)-((x)-(x)))),(((0)*((0)*(0)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,56,56,57,57,3
57,x*x*x*x,25,-10,-0.03840635733890995,0.000013070186903672723,-0.03839906940269246,0.000013070186903672723,243.85920000000002,244.752,244.97439999999997,244.752,-0.9599733368187164,0.0003267546725918181,0.000012787426280181397,0,6123.34,6118.8,6124.88,6118.8,(((0)+((0)*(x)))*((x)-((x)-(x)))),(((0)*((0)*(4)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,57,57,58,58,3
58,x*x*x*x,25,-10,-0.04589868775323487,0.000013070186903672723,-0.03717828780551562,0.000013070186903672723,245.03280000000004,244.752,431.7784,244.752,-0.8399869298130963,0.0003267546725918181,0.05994301190336509,0,10726.9,6118.8,24485.2,6118.8,((((x)*(5))*((x)*(x)))*((x)-((0)+(x)))),(((6)*((0)*(0)))-((x)+((x)+(x)))),AddRandomSubTreeR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,58,58,59,59,3
59,x*x*x*x,25,-10,-0.04620360737158542,0.000013070186903672723,-0.03839129786955953,0.000013070186903672723,198.37400000000002,244.752,246.1636,244.752,-0.9595752189256307,0.0003267546725918181,0.00036592505583238783,0,6136.9400000000005,6118.8,6185.8,6118.8,(((2)-((9)-(x)))*((x)-((0)-(x)))),(((6)*((8)*(0)))-((x)+((x)+(x)))),AddRandomSubTreeR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,59,59,60,60,3
60,x*x*x*x,25,-10,-0.03840300483596915,0.000013070186903672723,-0.03835735982224546,0.000013070186903672723,244.37220000000002,244.752,251.3568,244.752,-0.9599733368187164,0.0003267546725918181,0.00001274192404340742,0,6122.32,6118.8,6124.88,6118.8,(((x)-((x)*(x)))*((0)-((x)-(x)))),(((0)*((0)*(9)))-((x)+((x)+(x)))),DeleteMaliciousR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,60,60,61,61,3
61,x*x*x*x,25,-10,-0.03845825905110443,0.000013070186903672723,-0.03832959874526206,0.000013070186903672723,235.91719999999998,244.752,255.60479999999998,244.752,-0.9537048751797151,0.0003267546725918181,0.0033635150259688643,0,6321.219999999999,6118.8,7084.08,6118.8,((((x)*(x))*((x)-(x)))*((4)-((0)-(x)))),(((6)*((0)*(x)))-((x)+((x)+(x)))),AddRandomSubTreeR|DivXD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,DivXD,DeleteMaliciousR,61,61,62,62,3
62,x*x*x*x,25,-10,-0.038409600705790095,0.000013070186903672723,-0.03838077636910208,0.000013070186903672723,243.3629,244.752,247.77360000000002,244.752,-0.9581440334596786,0.0003267546725918181,0.0009328816397246057,0,6190.96,6118.8,6404.8,6118.8,((((x)*(x))*((1)-(6)))+((0)-((x)-(x)))),(((9)*((0)*(0)))-((x)+((x)+(x)))),AddRandomSubTreeR|SubXD|SubXD|MutateNonTerminalR|DeleteTerminalR,MultXD|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|DivXD|FellTreeD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,62,62,63,63,3
