gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038399836622663705,0,-0.03839960789439289,0,244.857,244.832,244.892,244.832,-0.9599869298130964,0,0.000007546075927188628,0,6121.8,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((x)*(0)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,11,11,12,12,3
12,x*x*x*x,25,-10,-0.03839977127172919,0,-0.03839947719252386,0,244.86700000000002,244.832,244.912,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6122.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((6)*((5)*(0)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,12,12,13,13,3
13,x*x*x*x,25,-10,-0.03839973859626193,0,-0.03839947719252386,0,244.872,244.832,244.912,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6122.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((0)*(x)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,13,13,14,14,3
14,x*x*x*x,25,-10,-0.03839964056986015,0,-0.03839947719252386,0,244.887,244.832,244.912,244.832,-0.9599869298130964,0,0,0,6122.8,6120.8,6122.8,6120.8,((0)-((x)-(0))),(((8)*((0)*(0)))-((x)+(x))),FellTreeD|SubXD|DivXD|DeleteTerminalR|MutateTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddRandomSubTreeR|DeleteTerminalR|SubXD|SkipD|AddXD,DivXD,DeleteMaliciousR,14,14,15,15,3
15,x*x*x*x,25,-10,-0.038399705920794676,0,-0.03839947719252386,0,244.877,244.832,244.912,244.832,-0.9599869298130964,0,0,0,6122.8,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((0)*(9)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03839977127172919,0.000003267546725918181,-0.03839947719252386,0.000006535093451836362,244.86700000000002,244.812,244.912,244.792,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((0)*((0)*(x)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,DeleteTerminalR,DeleteMaliciousR,16,16,17,17,3
17,x*x*x*x,25,-10,-0.03839979937263103,0.000001602207976424343,-0.03839947719252386,0.000006535093451836362,244.86270000000002,244.8222,244.912,244.792,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((0)-((x)-(0))),(((0)*((1)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|AddTreeWithAdd|AddXD|AddXD,SubXD,AddXD,17,17,18,18,3
18,x*x*x*x,25,-10,-0.03840008299568684,0.000009802640177754542,-0.03839966801725265,0.000009802640177754542,244.8193,244.77200000000002,244.88280000000003,244.77200000000002,-0.9599869298130964,0.0003267546725918181,0.000007546075927188628,0,6121.8,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((0)*((5)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03839960789439289,0.000013070186903672723,-0.03839947719252386,0.000013070186903672723,244.892,244.752,244.912,244.752,-0.9599869298130964,0.0003267546725918181,0,0,6122.8,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((0)*((4)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,19,19,20,20,3
20,x*x*x*x,25,-10,-0.03839980394719645,0.000013070186903672723,-0.03839960789439289,0.000013070186903672723,244.862,244.752,244.892,244.752,-0.9599869298130964,0.0003267546725918181,0.000006535093451831564,0,6122.3,6118.8,6122.8,6118.8,((0)-((0)-(x))),(((7)*((3)*(0)))-((x)+((x)+(x)))),FellTreeD|SubXD|SubXD|DivXD|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DeleteTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|AddXD|AddXD,SubXD,DeleteMaliciousR,20,20,21,21,3
