specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x,25,-10,ANTAGONIST-QVz,PROTAGONIST-3c1c2c1c1c1c2c2c2c2c1c1c1c2c2c2c2c1c2c2c2c1c2c2c2c1c2c2c1c1c1c2c2c2c2c1c2c2c1c2c1c2c2c2c2c1c1c2c1c1c1c2c1c1c1c1c1c1c1c1c1c1c2c2c2c1c1c2c2c2c2c2c1c1c2c1c2c1c1c2c1c2c2c1,-0.15055443732845378,0.0635733890994641,129982.16,5731.68,0.6297547960406246,0.4723001684154571,155541.76,4362.22,279474.16,56,((((x)*(0))-((7)*((x)*(8))))*((9)*((1)-((2)*(x))))),(((x)*((x)+(0)))*((x)+((x)*(x)))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,0,0,0.8454434232429335,-0.00016335064850207454,0.8116755733855884,0.025399064121459865,990058.16,6121.8,990058.16,5796.96,((((x)*(0))-((1)*((6)-(8))))*((x)*((x)*((x)*(x))))),(((x)*((x)*(x)))+((x)+(x))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MultXD|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithSub,MultXD,0,2
x*x*x*x,25,-10,ANTAGONIST-QVz,PROTAGONIST-3c1c2c1c1c1c2c2c2c2c1c1c1c2c2c2c2c1c2c2c2c1c2c2c2c1c2c2c1c1c1c2c2c2c2c1c2c2c1c2c1c2c2c2c2c1c1c2c1c1c1c2c1c1c1c1c1c1c1c1c1c1c2c2c2c1c1c2c2c2c2c2c1c1c2c1c2c1c1c2c1c2c2c1,0.45247174193134704,-0.020483932915119702,279474.16,6248.8,0.6297547960406246,0.4723001684154571,155541.76,4362.22,279474.16,56,((((x)*(0))-((7)*((x)*(8))))*((9)*((1)-((2)*(x))))),(((x)*((x)+(0)))*((x)+((x)*(x)))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,0,0,-0.7712445431969677,0.0006404391582799753,0.8116755733855884,0.025399064121459865,35004.16,6116.88,990058.16,5796.96,((((x)*(0))-((1)*((6)-(8))))*((x)*((x)*((x)*(x))))),(((x)*((x)*(x)))+((x)+(x))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MultXD|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithSub,MultXD,1,2
x*x*x*x,25,-10,ANTAGONIST-QVz,PROTAGONIST-3c1c2c1c1c1c2c2c2c2c1c1c1c2c2c2c2c1c2c2c2c1c2c2c2c1c2c2c1c1c1c2c2c2c2c1c2c2c1c2c1c2c2c2c2c1c1c2c1c1c1c2c1c1c1c1c1c1c1c1c1c1c2c2c2c1c1c2c2c2c2c2c1c1c2c1c2c1c1c2c1c2c2c1,-0.9662684616390014,0.9908508691674291,5161.6,56,0.6297547960406246,0.4723001684154571,155541.76,4362.22,279474.16,56,((((x)*(0))-((7)*((x)*(8))))*((9)*((1)-((2)*(x))))),(((x)*((x)+(0)))*((x)+((x)*(x)))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,0,0,-0.2,0.0071101816755980325,0.8116755733855884,0.025399064121459865,122416,6077.28,990058.16,5796.96,((((x)*(0))-((1)*((6)-(8))))*((x)*((x)*((x)*(x))))),(((x)*((x)*(x)))+((x)+(x))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MultXD|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithSub,MultXD,2,2
x*x*x*x,25,-10,ANTAGONIST-QVz,PROTAGONIST-3c1c2c1c1c1c2c2c2c2c1c1c1c2c2c2c2c1c2c2c2c1c2c2c2c1c2c2c1c1c1c2c2c2c2c1c2c2c1c2c1c2c2c2c2c1c1c2c1c1c1c2c1c1c1c1c1c1c1c1c1c1c2c2c2c1c1c2c2c2c2c2c1c1c2c1c2c1c1c2c1c2c2c1,0.2627287458506208,0.11573650503202204,207549.12,5412.4,0.6297547960406246,0.4723001684154571,155541.76,4362.22,279474.16,56,((((x)*(0))-((7)*((x)*(8))))*((9)*((1)-((2)*(x))))),(((x)*((x)+(0)))*((x)+((x)*(x)))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,0,0,-0.9600000000000001,0.0529081165860672,0.8116755733855884,0.025399064121459865,6120.8,5796.96,990058.16,5796.96,((((x)*(0))-((1)*((6)-(8))))*((x)*((x)*((x)*(x))))),(((x)*((x)*(x)))+((x)+(x))),AddTreeWithSub|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR,MutateTerminalR|MultXD|MutateTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|MultXD|MutateNonTerminalR|ReplaceBranchR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddTreeWithSub,MultXD,3,2
