generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
22,-0.9591021267439783,0.12675353474360995,-0.8267470758832498,0.26669913410969004,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,21,21,180907.1,180907.1,(((((((8)*(x))*(((9)/(3))+(6)))*((x)*(x)))+(5))*(x))-(x)),(((x)-(x))+((((4)*(6))/((7)-((5)+(2))))/((x)*(3)))),5*x*x*x,2
23,-0.9594931044186316,0.18961168777433884,-0.9021259187664958,0.3024484165557445,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategySkipD,22,21,100743.5,100743.5,((((((4)*(7))*((x)*((8)*(((8)/(2))+(x)))))+((2)/(2)))*(x))-(x)),(((((7)*(((6)+(0))*(6)))/((2)-(2)))-((x)+(2)))/(x)),5*x*x*x,2
24,-0.9386728946931331,0.1441338564460684,-0.8482932558817128,0.2846811229807502,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategySkipD,23,23,226611,226611,(((((((5)+((1)-(3)))*(x))*(((4)/((1)/(9)))*((8)*(8))))+(x))*(6))-(x)),((((((2)-(1))*((5)-(9)))*((7)-(7)))+(((4)*(x))+((x)*((x)/((x)-(x))))))/(x)),5*x*x*x,2
25,-0.9603296369940123,0.18940921903607383,-0.8459673876683642,0.292199015891821,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,23,23,154958.1,154958.1,((((((((9)*(4))-((7)/(1)))*((5)+(x)))*((x)*((x)/((6)/(8)))))+(x))*(x))-(x)),(((((5)*((x)*(5)))+((1)/((1)/(0))))/((3)-(6)))/(x)),5*x*x*x,2
26,-0.9401655123151912,0.17155424896985577,-0.8441869267023481,0.29692786352208345,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategySkipD,25,25,125218.5,125218.5,((((((5)+(x))*(((8)/((2)/(8)))*((8)*(x))))+((5)-(2)))*(x))-(x)),((((x)*(2))/(((0)*(x))*((1)-((6)*(6)))))/(x)),5*x*x*x,2
27,-0.9252302091377729,0.17468294510111465,-0.8296161766752501,0.32089181600810956,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,24,26,488570.5,488570.5,((((((5)*((3)+(((6)*(5))*((7)/(2)))))*((x)*((6)/((2)/(x)))))+(x))*(x))-(x)),((((x)-(9))/((3)*((0)*((0)-(4)))))+((x)-((4)+(5)))),5*x*x*x,2
28,-0.9498281344048202,0.16805538138684686,-0.8835709707464254,0.3380446628908349,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,27,27,60040.75,60040.75,(((((((5)*(((1)/(2))+(4)))*(((0)+(9))*(x)))+(x))*(x))*(x))-(x)),((((3)+(4))/(((x)-(x))/(((x)-(3))-(6))))*(((x)*((x)+(3)))+((x)-(8)))),5*x*x*x,2
29,-0.9504313963054262,0.14271142523974728,-0.8515197385729534,0.26618417652110327,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,28,28,80349.5,80349.5,(((((((5)*(x))*(((4)+(5))*((6)*(1))))+(5))*(x))*(x))-(x)),((((5)*(((x)-(0))*(6)))*((x)-(0)))/(((8)/(0))+((x)*((x)-((0)+(5)))))),5*x*x*x,2
30,-0.9559649162357907,0.13309938762385615,-0.8944580603612178,0.2716309883425177,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,29,29,416960.5,416960.5,((((((((6)/(5))*(x))*(((3)/(((6)/((8)*(4)))/(9)))*(8)))+(x))*(x))*(x))-(x)),((((9)/((6)+((0)*(6))))/(((5)+(5))*((x)*(0))))-(((5)-(6))*(((2)+(2))+(1)))),5*x*x*x,2
31,-0.9367364857777835,0.09864261672215797,-0.7754665000042064,0.2704544234123575,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,30,30,83193,83193,(((((((7)+(8))*(x))*(((6)/((1)/((2)-(5))))*((2)/(2))))*(x))*(x))-(x)),((((8)/((8)-(3)))*((x)+(5)))*(((8)*((x)*(6)))/(((9)+(x))*((x)*((x)-(x)))))),5*x*x*x,2
32,-0.9121542067942269,0.17755855447647312,-0.7436363906169339,0.3128328705576639,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,31,30,325567,325567,((((((((6)/((1)/(2)))*((4)+(5)))*((x)*(x)))+(x))*((6)+(4)))*(x))-(x)),((((x)+(3))/(((3)+(0))*((9)/(0))))*(((8)+(1))-(7))),5*x*x*x,2
33,-0.9434280959292198,0.15824392551125505,-0.804879318358523,0.277592001944467,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,32,32,1093170.1,1093170.1,((((((((6)/((1)/(x)))*(x))*(((6)+(3))*(8)))+(x))*(x))*(x))-(x)),((((2)/((8)-(8)))*((x)*(8)))+(((x)*((6)+(x)))*((7)*((x)-(3))))),5*x*x*x,2
34,-0.9452559278205918,0.13769092569396651,-0.8296943788704028,0.2927184146779044,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,33,33,227364.5,227364.5,((((((((0)+(3))/((5)/(4)))*(x))*(((9)*(7))*(x)))+(x))*((5)*(x)))-(x)),(((((3)-(8))/((0)*(4)))/(((3)*((1)+(1)))-((x)/(x))))*((2)*(5))),5*x*x*x,2
35,-0.9428054535746853,0.12401882779794463,-0.816706917110668,0.2892943044150401,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,34,34,252884.5,252884.5,(((((((5)*((7)/((2)/(x))))*((8)*(6)))+(x))*(x))*(x))-(x)),((((((9)-(2))*(9))*((x)*(3)))+((5)/((x)*(0))))*((1)+((x)+(4)))),5*x*x*x,2
36,-0.940349423886581,0.17950569299917812,-0.8095494387126733,0.3262176460020477,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,35,34,440434.5,440434.5,((((((((4)*(5))*(x))*((x)*(x)))+(x))*(x))*(x))-(x)),((((5)*((1)-(5)))/(((4)/((4)-(4)))/(((x)*(1))*(x))))*(((5)-((0)+(6)))/((5)+((4)-(9))))),5*x*x*x,2
37,-0.9236172933139217,0.16131944821811442,-0.7703911434334572,0.3207661039546508,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,36,36,218708.1,218708.1,((((((((x)+(1))*(x))*((x)*((x)*(1))))+(x))*(x))*(x))-(x)),((((7)+(3))+(x))+(((2)-(x))*((((0)-(0))-(x))/((x)*((x)-(x)))))),5*x*x*x,2
38,-0.9551175367096528,0.12117562610336552,-0.8613871939249659,0.3066462941932275,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,37,37,70015.88888888889,70015.88888888889,((((((5)*((8)+(9)))*((((x)-(0))/((1)/(9)))*((9)+(8))))+((8)/(9)))+(x))-(x)),(((((0)+(5))*((4)-(0)))-((x)-(2)))*((((8)*((7)+(x)))/(9))/((0)*((x)*((x)-(x)))))),5*x*x*x,2
39,-0.9628869595359983,0.14344815878843994,-0.8869030889005206,0.39232152383904173,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,38,38,108894.7,108894.7,((((((5)*((x)/(3)))*(((3)*(x))*(x)))*(x))*(x))-(x)),((((6)-((0)+(6)))/(((x)-(8))*(((5)+(1))-(6))))/(((4)/(x))*((9)/((1)*((3)-(x)))))),5*x*x*x,2
40,-0.9498084552481784,0.12371418082274173,-0.8267264416605006,0.3260580356634795,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,39,39,219345.5,219345.5,(((((((6)/((((3)/(x))/(5))-((0)*(6))))*(x))*((x)*(x)))+(x))*(x))-(x)),((((x)*(x))+((0)/((3)/(9))))/(((6)+((7)*(x)))+(((5)-(8))*(((9)+(0))/((0)*(x)))))),5*x*x*x,2
41,-0.9596220137998823,0.12597319409102917,-0.8707522477701046,0.2710939025892328,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,40,40,129766.3125,129766.3125,((((((((9)/(8))/((((0)/(x))-(4))/(9)))*(x))*((x)*(x)))*(x))*((4)*(5)))-(x)),((((2)/(((3)-(0))/((1)-(1))))/((x)+(5)))*(((x)*((2)+(2)))+((x)*((x)-(x))))),5*x*x*x,2
42,-0.9592024888587298,0.1349138731362732,-0.8751617418833699,0.3710444603426907,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMultXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,41,41,357539.6,357539.6,(((((((8)/(1))*(x))*(((9)+(x))*(x)))*(x))*(x))-(x)),((((5)*((x)+(0)))*(((x)-(3))+((3)/(5))))/(((x)*(9))-((6)/((0)*(((4)+(4))*(((3)-(3))*(2))))))),5*x*x*x,2
43,-0.9618965918318926,0.15516967869879245,-0.8547645991705579,0.3066892394299123,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMultXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,42,40,104880.6,104880.6,((((((5)*((x)+((5)*(x))))*((x)*((6)/(6))))/(((5)/(x))/(7)))*(x))-(x)),((((5)-((2)*(9)))/(((0)*(9))+(((2)+(1))/(9))))/((((8)-(9))/(0))-((7)+((x)*((x)+(7)))))),5*x*x*x,2
44,-0.9651565760278311,0.137411294255454,-0.8338736623991899,0.2641586369248229,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,43,43,518617,518617,((((((5)*(((7)*(6))/(((8)/((8)+(x)))/(4))))*((x)*(x)))+(x))*(x))-(x)),((((x)+(7))/((0)/((5)*((5)+(7)))))*(((x)*(x))-((1)*(2)))),5*x*x*x,2
45,-0.9569004589057011,0.1402383387461016,-0.8564401852149655,0.3733836330099017,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,42,44,83191.625,83191.625,(((((((2)-(5))*(x))*((x)*(((7)+(8))*(6))))+(((3)/(4))/(3)))*(x))-(x)),((((5)*((4)/((0)+(5))))/(((0)*(4))+((1)*((x)*(0)))))/((((6)-(1))+(2))/((8)-((7)+(9))))),5*x*x*x,2
46,-0.9688699224657646,0.16669012762778546,-0.909278708304847,0.3097318305380977,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,45,44,91998.5,91998.5,((((((5)*((0)-((1)-(7))))*((x)*(((9)/((2)/(4)))/((2)/(9)))))-(x))*(x))-(x)),((((4)/((x)+(8)))/((x)*(6)))+(((0)-((0)+((1)+(9))))/((7)/((x)*((x)-(x)))))),5*x*x*x,2
47,-0.9676980718910106,0.1232717154477323,-0.917559952504698,0.31221820038512493,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyDivXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,46,46,92047.15,92047.15,((((((((1)*(3))-(x))*(x))*(((5)/((4)/(5)))*(x)))*((x)/(1)))*(x))-(x)),((((2)*(1))*((5)*((x)*(9))))-(((9)/((x)+((4)+(1))))/((2)/((x)*((x)-(x)))))),5*x*x*x,2
48,-0.9619600051290972,0.16070710137979263,-0.8727263263834247,0.3015399418708117,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddRandomSubTreeR|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,47,47,471364.6666666668,471364.6666666668,((((((5)*((4)/((((2)/((7)/(3)))-(0))/((0)+(8)))))*((x)*(x)))*(x))*(x))-(x)),((((1)/(0))+((9)*((x)*((9)*((9)+(7))))))+(((x)+(0))-((2)*(3)))),5*x*x*x,2
49,-0.96339609271955,0.1677662477905917,-0.8246706108841216,0.3568346084309102,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,48,48,1625778,1625778,((((((5)*(x))*((((9)*(5))-(((x)/(7))/(7)))*((6)/((1)/(4)))))*(x))*(x))-(x)),((((5)*((2)*(2)))-(((x)*(6))/((9)-(9))))/(((3)/(x))*((5)-((3)*(((9)+(8))+(x)))))),5*x*x*x,2
50,-0.9709147668254964,0.13663430287050038,-0.914154463365158,0.26085686248955453,StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,49,49,47542,47542,((((2)/((2)/(4)))*((x)*((3)+(2))))*(((9)-(7))/((x)*((x)*((x)-(x)))))),((((6)+(9))*((x)-((x)*(x))))+(((3)/(7))*((0)/((x)*(4))))),5*x*x*x,2
