generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
12,-0.9272216168878693,0.1687288218140611,-0.7212227192715225,0.29492094576595346,StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyMultXD|StrategyDivXD,StrategyAddTreeWithMult,StrategySkipD,11,11,181049.1375,181049.1375,(((((((x)*(7))*(((x)/(8))*(9)))*(((0)-(9))*(x)))+(3))*(x))-(x)),((((((4)-(3))*((3)/((0)*(4))))*((x)/((x)+(8))))*(x))/(x)),5*x*x*x,2
13,-0.9491854948196139,0.11628636802924748,-0.8285886452193141,0.21416270566640097,StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyReplaceBranchR|StrategySkipD|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,12,11,363315.7,363315.7,((((((((6)*(3))*(8))*(x))*((x)*(x)))+(x))*(x))-(x)),((((x)-((9)+(4)))/((0)+((5)*(0))))*((4)+(x))),5*x*x*x,2
14,-0.9300761920607125,0.1292761333032096,-0.8061542163200176,0.2774669421487604,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,13,13,1544874.1,1544874.1,((((((((6)/((1)/((x)*(8))))/(1))*(x))*((x)*((x)+(4))))+(7))*(x))-(x)),(((2)+(9))*((((2)+(9))-(7))+(((x)-(0))*((x)/((x)*(0)))))),5*x*x*x,2
15,-0.9399355852998819,0.1630660117238002,-0.7234075236333393,0.3671762002774305,StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,14,14,161870.5,161870.5,((((((5)*((x)*(9)))*((x)*(((((2)*(9))/(2))-(0))+(3))))+(x))*(x))-(x)),(((((0)*(1))*((0)/((x)-(x))))/(((3)+(5))+((x)-(4))))/(x)),5*x*x*x,2
16,-0.9415168412040172,0.13083377123212905,-0.7041545588848784,0.34954434535308027,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategyReplaceBranchR,15,15,468574,468574,(((((((6)/(1))*(x))*((((4)*((7)*(9)))+(7))*(x)))+((7)/(x)))*(x))-(x)),(((((6)/((1)/(9)))*(((x)*(((8)+(0))+(5)))*((0)-(2))))*(((6)*(0))+((6)/((8)*((x)-(x))))))/(x)),5*x*x*x,2
17,-0.9558505388865083,0.1496338978002844,-0.8714821462899721,0.23509593807620827,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyDivXD|StrategyMultXD|StrategyMultXD|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,16,16,91257.375,91257.375,((((((((9)+(8))*((7)*(7)))*(((8)/(4))*(x)))/((8)/(9)))*((9)/(x)))*(x))-(x)),((((6)*(((0)+(7))/(0)))+((3)-(6)))/((x)+(x))),5*x*x*x,2
18,-0.9441891997455263,0.13441976881924106,-0.8456632659170541,0.25481793393721175,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,17,16,87813,87813,((((((5)*((((6)/(1))-(1))+(5)))*(((5)/(5))*((6)*(9))))+(x))*((x)*(6)))-(x)),(((2)+(6))+(((8)+(2))/(((8)-(8))*((1)*(((1)+(0))+(0)))))),5*x*x*x,2
19,-0.9629915019114421,0.16902842209748806,-0.9106362356114728,0.3071109851372328,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategyReplaceBranchXR,17,18,53926.5,53926.5,((((((8)*((4)/(3)))*(((8)+(4))*((2)/((1)/(8)))))+(x))*((9)*(3)))-(x)),((((5)*((x)-(3)))*(((5)-(5))*(((4)-((5)+(8)))*(7))))/(((x)-(0))/((4)*((x)-(x))))),5*x*x*x,2
20,-0.9468793330511132,0.17718299134211726,-0.8533946589419733,0.2998869916864665,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategySkipD|StrategyMutateTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategyReplaceBranchXR|StrategySkipD|StrategyAddToLeafR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD,StrategyAddTreeWithDiv,StrategyReplaceBranchR,18,19,241717.3,241717.3,((((((((7)+(9))/(1))*(x))*(((6)*(x))*(x)))+((7)*(1)))*(x))-(x)),(((((x)*(2))/((5)*((0)*(1))))+((((3)-(9))+(1))+((3)*(x))))/(x)),5*x*x*x,2
21,-0.9495625648442656,0.16098654769187226,-0.8634906254600241,0.2719078515694525,StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddRandomSubTreeR|StrategySubXD,StrategySkipD|StrategySkipD|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategySkipD|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd,StrategyAddTreeWithDiv,StrategySkipD,19,20,934032,934032,((((((5)*((x)*(9)))*(((9)/((1)/(4)))*((6)+(9))))+(((0)/(6))*(5)))*(x))-(x)),(((((x)*(8))/(((x)+(6))/(6)))+(((x)-(6))/((7)*(0))))*(((x)-(x))+((9)+((0)*((x)-((5)*(0))))))),5*x*x*x,2
