gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
32,-0.09999146932144078,0.2740406477314362,0.26675133991168876,0.5203535022881863,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,31,31,27909160.8,27909160.8,((((((((6)*(9))*((x)*(6)))*((((6)-((8)*(6)))+(8))*(x)))+((2)-((x)+(7))))-(x))*(x))*(x)),(((((9)+(5))*((x)*(x)))+((((3)/(6))+((7)/(0)))+((3)*((2)*(1)))))*(((x)-((8)*(6)))-((5)-((x)-((((3)*(4))/((7)/((7)/(2))))*(x)))))),5*x*x*x+2*x+7,2
33,-0.16732947123347094,0.34307546616323925,0.19468241836063846,0.6608048386511307,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,32,32,1727542,1727542,(((((((5)*((8)-(x)))*((x)*((7)+((5)*(8)))))*((2)-(((6)*(2))+(7))))-((x)*(2)))*(x))*(x)),((((((7)*(3))+(9))-((x)*((x)/(6))))*(((3)*((9)*((4)/(8))))*(((0)/(0))*(x))))*((((0)/(x))-((2)+(3)))-((0)-((x)*((x)*(x)))))),5*x*x*x+2*x+7,2
34,-0.14510128912039777,0.350537919573117,0.1795825571294137,0.745452346752342,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,33,33,49755953.4,49755953.4,((((((((9)*(3))*((1)*(1)))*(((2)+(1))*(x)))*(((5)-(x))*(((x)*(x))*(7))))-(x))*(x))*(x)),((((((8)/(5))*(x))-((x)+(x)))*(((6)*(((2)/(7))-(4)))*((7)+((2)/((6)/(7))))))*((((3)/(0))-(1))+(8))),5*x*x*x+2*x+7,2
35,-0.07843034348850646,0.3196640242630157,0.2918320293966426,0.6768573571938485,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,34,34,1939932498.7,1939932498.7,((((((((8)*(5))*(x))*((x)*(x)))*(((x)+(4))*(((5)-((x)*(7)))+(7))))+(x))*((6)*(5)))*(x)),((((((1)/(5))+((1)*(4)))+((4)*((6)/(4))))-(((7)*(5))+((2)*((7)/((5)/(0))))))-((5)*(3))),5*x*x*x+2*x+7,2
36,-0.01921556783501884,0.24324560278264387,0.25775502774488734,0.7568070413866976,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,35,35,41429667,41429667,(((((((5)*((9)*(5)))*(((8)+((3)*(8)))+(x)))*(((5)*(4))*(((5)-(6))+(7))))-(x))*(x))*(x)),(((((5)-(x))+((x)*(x)))+(((2)+(7))*((1)*(9))))-(((5)+(((9)*(5))-(4)))-(((((4)/(3))/(0))/(0))-((7)+((1)/(8)))))),5*x*x*x+2*x+7,2
37,-0.0290411227187685,0.1790682761000047,0.23851856599899607,0.517020964016069,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,36,36,4943794.5,4943794.5,((((((((8)*(7))*((x)*(4)))*((x)*(x)))+((2)*((x)+(((3)-(x))-(0)))))-((4)*(9)))*(x))*(x)),(((((5)*((1)*(1)))*((2)+((5)/(5))))*(((8)+(2))*((6)*(2))))*(((9)+((x)*((0)/((2)/(2)))))*(((2)/(6))*(((9)/(0))-(((6)-(1))-(x)))))),5*x*x*x+2*x+7,2
38,0.06903193717993103,0.2869404817459532,0.6538794855527656,0.5284563279462958,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,37,37,1500160517.5,1500160517.5,(((((((5)*(((7)*(8))*(4)))*(((7)+((6)-(4)))*((8)*(2))))*((2)*((x)+(7))))*(x))*(x))*(x)),((((4)-(3))*(((8)*((x)/(8)))*((3)+(6))))*((((5)+(((6)/(0))/(8)))*(((2)/(0))-(7)))-(((2)/(x))*((3)-(6))))),5*x*x*x+2*x+7,2
39,-0.10487290373936867,0.3497505343001908,0.23246060778564645,0.6585365376936758,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,38,38,21878120.3,21878120.3,((((((((3)-(x))*(x))*((x)*(x)))*(((((3)*(6))*(8))+(6))+((x)+(7))))-((8)*(3)))*(x))*(x)),(((((((x)/(6))+(6))*(3))+((9)-((9)*(4))))+((((4)/(0))-(0))*(((0)/(8))+(7))))*((((7)/(9))+((x)+((6)/(x))))-((3)*((2)*(7))))),5*x*x*x+2*x+7,2
40,-0.07545451457689153,0.3222273162053586,0.1931670386231034,0.5900839493661634,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,39,39,52595852.8,52595852.8,((((((((9)*(3))*(x))*(((7)*(4))*((1)+(7))))*((2)*((x)+((2)*(3)))))-((0)-(9)))*(x))*(x)),(((((5)*((1)/(0)))*(((6)/(1))*((3)/(0))))+((((8)*(8))*(0))*((0)*(x))))-(((7)*((6)*(x)))-((7)-((x)-(((0)/((1)*(6)))+(x)))))),5*x*x*x+2*x+7,2
41,-0.1409110443585143,0.3092716113611096,0.20779230873796734,0.7343740700505823,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,40,39,10807537,10807537,(((((((5)*(x))*(((3)+(((7)*(3))-(6)))+((4)*(6))))*((2)*((x)+(7))))-(x))*((9)*(5)))*(x)),(((((4)+(5))*((4)*(7)))*(((((2)/(1))/(6))+(2))*((x)*(5))))*(((4)+(((7)/(2))*(8)))-(((8)*(4))*(((4)/(0))*(((8)*(2))*((x)-(x))))))),5*x*x*x+2*x+7,2
42,-0.2231938113555471,0.2872094832754343,0.039994679785594664,0.49127068262954143,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,41,41,983268744,983268744,((((((((7)-(((7)*(9))*(8)))*(x))*((x)*(x)))*((2)*((x)+((4)*(x)))))-((6)-(x)))*(x))*(x)),((((((2)*(9))*((4)/(9)))*((4)+(x)))*(((2)*(1))-(((9)/(0))-(x))))*(((2)*((x)+(7)))-(((((3)/(3))/(1))-(9))*((4)-((9)/(7)))))),5*x*x*x+2*x+7,2
43,-0.11102472908787224,0.23317076643484658,0.24170594225228012,0.568016218720237,AddTreeWithMult,AddTreeWithDiv,ReplaceBranchXR|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,42,42,968856489,968856489,(((((((5)*((8)-((5)*(8))))*(((6)*(7))*(x)))*((((9)*(4))-(5))*((x)+(7))))-(x))*(x))*(x)),(((3)+(1))*(((2)*(((2)/(x))+((x)-(7))))*(((x)/(7))-(((0)/(4))*(((x)/(0))*((2)/(2))))))),5*x*x*x+2*x+7,2
44,-0.1729333475840897,0.26237155296424086,0.2889652688343438,0.6532672632684214,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,42,43,7509430.1,7509430.1,(((((((5)*((((9)*(7))-(3))+(8)))*((x)*(x)))+(((7)*(x))-(((7)*(6))+(7))))*(x))*(x))*(x)),((((7)*((0)-(9)))*((((5)/(2))*((9)/(0)))-(((4)/(1))+((7)/(6)))))*((((6)/(2))+((x)*(6)))+((7)+(((8)+(x))*((x)*(x)))))),5*x*x*x+2*x+7,2
45,-0.27479806324884026,0.3233998096158267,-0.049214701918833766,0.619592377164681,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,44,44,7662268.2,7662268.2,((((((5)+(((3)*(5))+((9)-((8)*(7)))))*((x)*(x)))*(((8)*(2))*((x)*(7))))-(x))*(x)),((((((1)/(3))+((0)/(2)))*((2)-((3)/(4))))*((((5)+(9))+(5))*((9)-(8))))*(((((1)-(5))/(9))-(1))+(((0)/(0))-((x)+((x)*(x)))))),5*x*x*x+2*x+7,2
46,-0.08521863385927683,0.3067501149580627,0.43049059257602196,0.6842934563896836,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,45,44,36114555,36114555,(((((((5)+(x))*((x)*(x)))*(((9)+((3)-(0)))*(((3)*(x))+(((5)*(6))*(2)))))-(x))*(x))*(x)),((((7)-(x))*(((9)/(8))/(7)))*(((3)/(3))/(0))),5*x*x*x+2*x+7,2
47,-0.14913766198232487,0.2642884978844742,0.07249681573615051,0.7821405452449228,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,46,46,10267897.9,10267897.9,(((((((((x)*(3))+(2))*((4)*(2)))*((x)*(x)))-((2)*((x)+((1)-(9)))))*((9)*(2)))*(x))*(x)),(((((5)+((2)+(5)))*(((1)/((1)/(6)))*(x)))-(((2)*(9))*((0)+((3)/(1)))))*(((2)+(((1)/(0))+(4)))-((x)*(((9)/(0))-(((5)-(7))*(x)))))),5*x*x*x+2*x+7,2
48,-0.1034868545960204,0.30718954386141706,0.10440992796927637,0.7555392542058021,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,47,47,83118028,83118028,(((((((5)*(x))*((((9)*(9))*(9))*(x)))+(((9)+(4))*((x)+((4)-(8)))))-(x))*((x)*(9)))*(x)),((((((0)/(0))-((4)/(0)))*((3)+(6)))*(((3)+(1))-((x)+(((4)+(0))/(8)))))*((((9)/((5)*((7)/(x))))+((4)+(3)))-((x)*((x)*((8)*(x)))))),5*x*x*x+2*x+7,2
49,-0.12305405523679439,0.3500197660918421,0.16878141853304326,0.6207002402649493,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,48,48,934250.5,934250.5,((((((((7)*(4))*((1)+(7)))*((x)+(x)))-((2)*((x)+((8)-(1)))))-((2)*(9)))*((7)*(x)))*(x)),((((6)/((3)/(0)))-(3))+(((((x)/(5))*(x))+((8)-(7)))-((2)*(((4)-(6))*((x)*((7)/(7))))))),5*x*x*x+2*x+7,2
50,0.12158897303369469,0.5184956878743331,0.16878141853304326,0.6207002402649493,AddTreeWithMult,AddTreeWithDiv,AddTreeWithAdd|MutateNonTerminalR|SubXD|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MultXD|AddTreeWithMult,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv,48,48,934250.5,934250.5,((((((((7)*(4))*((1)+(7)))*((x)+(x)))-((2)*((x)+((8)-(1)))))-((2)*(9)))*((7)*(x)))*(x)),(((((6)/(3))/((0)-(3)))+(((x)/(5))*((x)+(8))))-(((7)-((2)*(4)))-((6)*((x)*((7)/(7)))))),5*x*x*x+2*x+7,2
