gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.019770111111111113,-0.006524792464772448,-0.019466666666666667,0.02,0.05747222222222223,0.8420000000000001,0.13333333333333333,0,0.5327102803738317,1,0.5672978472636738,0.604639844001394,226.9416666666667,2.0421957671957673,535,0,(((x)+((7)-(2)))*((7)*((8)*(x)))),((0)/((0)+(x))),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|MultXD,SkipD|AddTreeWithSub|DeleteNonTerminalR|DivXD|AddXD|DeleteTerminalR,AddTreeWithSub,AddTreeWithSub,0,0,1,1,2
1,(x),20,-10,-0.0196,-0.008909044476200934,-0.0196,0,0.1,2.006,0.1,0.1,0.07407407407407407,1,0.39281840233216037,0.5455758798691672,84,2.509876543209877,270,0,(((6)-((0)-(4)))-((7)*((9)*(x)))),((x)-(0)),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|MultXD,AddXD|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddTreeWithSub,AddXD,1,1,2,2,2
2,(x),20,-10,-0.01779866666666667,-0.011004801058331454,-0.0168,-0.0011320754716981126,0.5503333333333333,0.449,0.8,0.106,0.7967479674796748,0,0.6846259044626518,0.3484417291400719,351.97499999999997,10.416666666666666,1230,5,((((4)-(8))*((5)*(6)))+((3)+((6)*(x)))),(0),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,SkipD|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteTerminalR,AddRandomSubTreeR,SkipD,2,1,3,3,2
3,(x),20,-10,-0.01564,-0.0019485144485144488,-0.0128,0.02,1.09,0.9475,1.8,0,0.7502497502497503,0,0.6298016322815634,0.23422448870925328,299.3333333333333,6.333333333333333,1001,5,((((4)-(2))-((9)+(6)))*((x)*((5)*(x)))),((0)+(0)),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,SkipD|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddRandomSubTreeR,SkipD,3,3,4,4,2
4,(x),20,-10,-0.017898666666666667,-0.010156801990316213,-0.016399999999999998,0.008,0.5253333333333333,0.5063333333333333,0.9,0.06,0.2647058823529412,1,0.46786956107684285,0.41919302131076347,102.91666666666667,4.266666666666667,340,0,((((x)*(4))-((8)+(x)))-((6)*((9)*(x)))),((((4)*(5))+((8)+(4)))-((8)*((0)+((0)+(x))))),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,4,4,5,5,2
5,(x),20,-10,-0.012291333333333335,-0.012795754029849633,-0.0008,0.02,1.9271666666666667,2.2583333333333333,4.8,0,0.7409326424870466,1,0.5799609359988566,0.39496835316262996,250,3.5,965,0,(((6)-((7)*(4)))+((5)*((6)*(x)))),((0)*((0)+(x))),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|MutateTerminalR,AddToLeafR,MutateTerminalR,5,5,6,6,2
6,(x),20,-10,-0.015026666666666666,-0.011493386243386243,-0.0076,0.004,1.2433333333333332,0.82,3.1,0.08,0.609375,1,0.5138748187118751,0.492773646561066,249.36666666666667,5.016666666666667,640,0,(((9)-((9)+(3)))+((5)*((8)*(x)))),((0)-((0)+(x))),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,5,6,7,7,2
7,(x),20,-10,-0.013255221386800332,-0.000012917261839037186,0.007468671679197994,0.02,1.8716666666666666,0.653,7.98,0,0.9312242090784044,1,0.8883960056230513,0.5477225575051661,1005,2.5,3635,0,((((9)+(9))*((8)+(2)))*((8)-((1)*(x)))),(((0)*((4)+(7)))*((0)+(x))),AddXD|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,7,6,8,8,2
8,(x),20,-10,-0.01879493389592124,0.00034013605442176874,-0.014528,0.02,0.30126652601969056,0.23,1.368,0,0.7331910352187834,1,0.7465191646947184,0.408248290463863,262.09999999999997,0.8333333333333334,937,0,((((x)*(7))*((4)+(0)))+((8)-((5)*(x)))),(((0)+(0))-((0)+(x))),AddTreeWithSub|AddTreeWithAdd|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,8,8,9,9,2
9,(x),20,-10,-0.008146122977346279,-0.00018518518518518528,0.01029126213592233,0.02,3.418,0.22,10.3,0,0.8251748251748252,1,0.6167459917832356,0.7027699492564471,362.1666666666667,3,1430,0,(((x)+((8)*(7)))*((5)+((1)*(x)))),((0)-((0)+(x))),AddXD|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,9,9,10,10,2
10,(x),20,-10,-0.013977333333333333,-0.0028146258503401354,-0.00676,0.02,1.505666666666667,1.4733333333333334,3.31,0,0.7191011235955056,1,0.6533108798672188,0.5163977794943223,314.7916666666667,2.6666666666666665,890,0,((((8)-(3))*((5)*(7)))+((5)+((x)*(x)))),(((9)+((0)*(0)))+((0)+(x))),AddXD|AddTreeWithAdd|SkipD|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,10,10,11,11,2
11,(x),20,-10,-0.015262,-0.002918803418803419,-0.0072,0.02,1.1845,0.5851666666666667,3.2,0,0.8607242339832869,1,0.7179792059534175,0.496655480858378,642.8333333333334,2.1666666666666665,1795,0,(((0)+((0)+(5)))*((9)*((8)*(x)))),(((0)-(0))+((0)+(x))),AddXD|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,DivXD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,11,11,12,12,2
12,(x),20,-10,-0.014983333333333333,-0.007808490832934818,-0.008,0,1.2541666666666667,3.330333333333334,3,0.1,0.8498498498498499,1,0.6561052386911659,0.5483509601616505,331.9166666666667,3.2916666666666665,1665,0,((((6)*(2))+((4)*(9)))+((5)+((5)*(x)))),(((4)-(0))*((0)+(x))),AddXD|AddTreeWithAdd|DeleteNonTerminalR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddToLeafR,DeleteNonTerminalR,12,12,13,13,2
13,(x),20,-10,-0.015046666666666668,-0.00040921409214092117,-0.0072,0.02,1.2383333333333333,0.14166666666666666,3.2,0,0.9571917808219178,1,0.7882873090319857,0.5163977794943223,1206.6666666666667,3.3333333333333335,5840,0,((((3)+(6))-((4)*(6)))*((7)*((7)*(x)))),((0)-((0)+(x))),AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,13,12,14,14,2
14,(x),20,-10,-0.017333333333333333,0.0067162698412698415,-0.0132,0.02,0.6666666666666667,1.1533333333333333,1.7,0,0.8309668695064233,1,0.6041323185270413,0.6473799234654427,412.1166666666666,3.1,1479,0,((((x)*(5))*((9)-(x)))+((3)+((6)*(x)))),(((6)+((4)*(2)))-((5)*((0)+(x)))),AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|DeleteTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,13,14,15,15,2
