gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0196,-0.018625345101084056,-0.0196,-0.017058823529411765,0.1,5.224666666666667,0.1,0.68,-0.818,0,0.049248214857664306,0,32.06666666666667,5,45.5,5,(((0)+((4)+(4)))*((8)+(9))),(0),MutateTerminalR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|SkipD,ReplaceBranchR|AddToLeafR|AddTreeWithAdd|FellTreeD|SkipD|SkipD,MutateTerminalR,SkipD,0,0,1,1,1
1,(x),20,-10,-0.018635833333333334,-0.001623397435897436,-0.01492,0.02,0.34104166666666663,4.226666666666667,1.27,0,0.9298442542444226,0,0.7532680474529241,0,644.297619047619,5,3563.5,5,(((9)*((9)*(2)))*((5)-((3)*(9)))),(0),ReplaceBranchR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR,ReplaceBranchR|AddToLeafR|AddTreeWithAdd|FellTreeD|SkipD|SkipD,AddTreeWithMult,SkipD,1,1,2,2,1
2,(x),20,-10,-0.01897779961861472,-0.0192662243206075,-0.016475555555555556,0.02,0.25555009534632034,9.918242039442038,0.881111111111111,0,0.14675767918088736,0,0.45715670821026844,0,100.91666666666667,5,293,5,(((x)+((5)+(6)))*((8)*(6))),(0),MutateTerminalR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult,MultXD|AddToLeafR|AddTreeWithAdd|SubXD|SkipD|SkipD,MutateTerminalR,SkipD,2,2,3,3,1
3,(x),20,-10,-0.019033550945213484,-0.019252009264535817,-0.016705137495837498,0.02,0.241612263696629,41.20099999999999,0.8237156260406259,0,-0.538,0,0.17635154285309404,0,43.083333333333336,5,115.5,5,(((7)*((7)+(6)))*((3)+(8))),(0),MutateTerminalR|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchR,MultXD|AddRandomSubTreeR|AddTreeWithAdd|FellTreeD|SkipD|SkipD,MutateTerminalR,SkipD,2,3,4,4,1
4,(x),20,-10,-0.018704000000000002,-0.016120971314031368,-0.016312,0,0.324,54.117666666666665,0.922,0.1,0.09747292418772563,0,0.4963954395828687,0,101.93333333333334,5,277,5,(((0)+((7)*(5)))*((8)+(x))),(0),AddTreeWithSub|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddRandomSubTreeR|FellTreeD|SkipD|SkipD,AddTreeWithSub,AddRandomSubTreeR,4,4,5,5,1
5,(x),20,-10,-0.016826666666666667,-0.011508745444965295,-0.0132,0.02,0.7933333333333333,34.42483333333334,1.7,0,-0.46,0,0.15376042403687626,0,74.97500000000001,5,135,5,(((9)+((7)+(3)))*((4)*(x))),(0),AddTreeWithSub|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddRandomSubTreeR|FellTreeD|SkipD|SkipD,AddTreeWithSub,SkipD,4,5,6,6,1
6,(x),20,-10,-0.018621333333333333,-0.0029884748131465497,-0.01652,0,0.3446666666666667,0.2005,0.87,0.1,0.23076923076923078,0,0.40063596386546013,0,109.66666666666667,5,325,5,(((0)+((6)*(7)))+((4)*(x))),(0),AddTreeWithSub|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddRandomSubTreeR|FellTreeD|SkipD|SkipD,AddTreeWithSub,AddRandomSubTreeR,6,5,7,7,1
7,(x),20,-10,-0.014332000000000001,0,-0.0024,0,1.4170000000000003,0.1,4.4,0.1,0.17218543046357615,1,0.41860139937481977,0.5013217530831566,131.16666666666666,3.2303827711640216,302,0,(((0)+((x)*(8)))+((1)*(x))),((3)/((0)/(x))),AddTreeWithSub|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddTreeWithAdd|FellTreeD|DivXD|AddTreeWithDiv,AddTreeWithSub,MultXD,6,6,8,8,1
8,(x),20,-10,-0.016733333333333333,0.000678177552366292,-0.013999999999999999,0.02,0.8166666666666668,0.16478597883597884,1.5,0,0.6268656716417911,1,0.566987526043513,0,166.23333333333332,0,670,0,(((0)+((9)*(9)))+((6)*(x))),((0)/((x)+(x))),AddTreeWithSub|AddTreeWithSub|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddTreeWithAdd|FellTreeD|DivXD|AddXD,AddTreeWithSub,MultXD,8,8,9,9,1
9,(x),20,-10,-0.0172,-0.0053754604422041885,-0.0144,0.02,0.7,0.21333333333333332,1.4,0,0.5798319327731093,1,0.6584492862540176,0,240.16666666666666,0,595,0,(((0)+((7)+(8)))*((8)*(x))),((0)/((x)+(x))),AddTreeWithSub|AddToLeafR|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddRandomSubTreeR|AddTreeWithAdd|FellTreeD|DivXD|AddXD,AddToLeafR,DivXD,9,8,10,10,1
