gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.019421189216427315,-0.01944618425465506,-0.018693061224489795,-0.01818181818181818,0.14470269589317206,374.05300000000005,0.326734693877551,1.1,-0.358,0,0.25157556850112983,0.0838794103380684,33.416666666666664,5.3500000000000005,160.5,5,((8)*((5)*(4))),((5)*(0)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|AddToLeafR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchR,0,0,1,1,4
1,(x),20,-10,-0.019148000000000002,-0.009105429770728904,-0.017568,0.012,0.213,0.9176666666666666,0.608,0.04,-0.06,0.6,0.4098124774414106,0.2794754173013069,90.41666666666667,4.75,235,2,((x)*((6)*(8))),((x)+((0)+(2))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddTreeWithSub,ReplaceBranchR,0,1,2,2,4
2,(x),20,-10,-0.01864266666666667,-0.004722082350114695,-0.0168,0.02,0.3393333333333334,0.17766666666666667,0.8,0,-0.194,1,0.3095473512512531,0.5619309630784679,45.03333333333333,2.5666666666666664,201.5,0,((x)*((6)*(x))),((x)-((0)+(0))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddTreeWithSub,ReplaceBranchR,2,2,3,3,4
3,(x),20,-10,-0.019189333333333333,-0.005551721383497085,-0.01864,0.004,0.20266666666666666,0.29266666666666663,0.34,0.08,-0.8556,0,0.04193741368595188,0.008004868440467872,22.183333333333334,5.016666666666667,36.1,5,((2)+((x)*(8))),((0)+(0)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchXR,ReplaceBranchR,2,3,4,4,4
4,(x),20,-10,-0.019526666666666664,-0.002839541410969983,-0.01928,0.02,0.11833333333333335,0.19599999999999998,0.18,0,-0.18,0.2,0.3085289397555222,0.11626916409142417,52.18333333333334,5,205,4,((x)*((7)*(6))),((x)+((0)-(4))),AddTreeWithSub|SubXD|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,SubXD,ReplaceBranchR,4,4,5,5,4
5,(x),20,-10,-0.019397333333333336,-0.0048700326019913654,-0.01892,0,0.15066666666666667,0.25666666666666665,0.27,0.1,0.06890130353817504,1,0.4090968813692316,0.4654836957768797,59.98333333333333,4.75,268.5,0,((x)*((x)*(8))),((x)-(0)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,FellTreeD,ReplaceBranchR,5,5,6,6,4
6,(x),20,-10,-0.019042666666666666,-0.007493698996765347,-0.01796,0.02,0.23933333333333334,0.33366666666666667,0.51,0,-0.806,1,0.08000376657799722,0.4150560504759245,22.78333333333333,4.233333333333333,48.5,0,((7)*((8)-(8))),((0)+(x)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddToLeafR,ReplaceBranchR,6,6,7,7,4
7,(x),20,-10,-0.019522666666666667,-0.0059722222222222225,-0.018784000000000002,0,0.11933333333333332,0.4,0.304,0.1,-0.06,1,0.35160659834536667,0.5004913728474992,57.5,5.1499999999999995,235,0,((x)*((6)*(8))),((x)+(0)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddTreeWithSub,ReplaceBranchR,7,7,8,8,4
8,(x),20,-10,-0.018533333333333336,-0.006440221348478229,-0.013999999999999999,0,0.36666666666666664,0.3,1.5,0.1,-0.098,1,0.37342879731839995,0.4381742005553234,65.43333333333334,4.433333333333334,225.5,0,((9)*((5)*(5))),((x)+((0)*(6))),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddTreeWithSub,ReplaceBranchR,8,8,9,9,4
9,(x),20,-10,-0.0196,-0.004419158361018826,-0.019072,0,0.1,0.18066666666666667,0.23199999999999998,0.1,-0.48,1,0.23630579059063844,0.4637114960248345,46.96666666666667,4.683333333333334,130,0,((3)*((x)*(9))),((x)-(0)),AddTreeWithSub|DeleteMaliciousR|FellTreeD|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|MutateNonTerminalR,AddTreeWithSub,ReplaceBranchR,9,9,10,10,4
