gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
10,(x),20,-10,-0.011745128205128207,0,0.0007692307692307692,0,2.065,0.1,5.2,0.1,0.8963730569948186,0,0.5239372289155103,0,763,5,2412.5,5,(((0)+((8)*(9)))*((x)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|AddTreeWithDiv|FellTreeD|FellTreeD,MultXD,FellTreeD,10,9,11,11,3
11,(x),20,-10,-0.00788,0,-0.0012,0,3.03,0.1,4.7,0.1,0.9078850405305822,0,0.6764748371206779,0,648,5,2714,5,(((0)+((9)*(9)))*((x)*(x))),(0),DeleteMaliciousR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD,MultXD,SkipD,11,10,12,12,3
12,(x),20,-10,-0.012079944082013048,0,0.010680335507921714,0,2.49,0.1,10.73,0.1,0.8963730569948186,0,0.6043250678669569,0,603.5,5,2412.5,5,(((0)+((8)*(9)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD,MultXD,SkipD,12,10,13,13,3
13,(x),20,-10,-0.0046830442199941626,0,0.003443708609271523,0,3.8633333333333333,0.1,6.04,0.1,0.8477466504263094,0,0.6494232709106399,0,655,5,1642,5,(((0)+((7)*(7)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|FellTreeD|FellTreeD,MultXD,FellTreeD,13,12,14,14,3
14,(x),20,-10,-0.009265544935049936,0,0.003388704318936877,0,2.716666666666667,0.1,6.02,0.1,0.8618402873722023,0,0.7462268420483082,0,703.8333333333334,5,1809.5,5,(((0)+((6)*(9)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|AddTreeWithMult|FellTreeD,MultXD,SkipD,13,13,15,15,3
15,(x),20,-10,-0.01732,0,-0.01728,0,0.67,0.1,0.68,0.1,0.8834227092562369,0,0.748161138159214,0,776.8333333333334,5,2144.5,5,(((0)+((8)*(8)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|AddTreeWithDiv|MutateNonTerminalR|FellTreeD,MultXD,SkipD,14,14,16,16,3
16,(x),20,-10,-0.010476995654872747,0,0.0013780260707635008,0,2.385,0.1,5.37,0.1,0.8581560283687943,0,0.519229962686359,0,499.7333333333333,5,1762.5,5,(((0)+((x)*(7)))*((x)*(x))),(0),AddRandomSubTreeR|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,AddRandomSubTreeR,DeleteMaliciousR,16,15,17,17,3
17,(x),20,-10,-0.005259048345501434,0,0.011228070175438596,0,4.476666666666667,0.1,11.4,0.1,0.7666822211852543,0,0.40821441263378916,0,485.4166666666667,5,1071.5,5,(((0)-((8)*(4)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|DivXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,DeleteTerminalR,MutateNonTerminalR,17,16,18,18,3
18,(x),20,-10,-0.013841333333333334,0,-0.00656,0,1.5396666666666667,0.1,3.36,0.1,0.8701635938717216,0,0.3205029987675962,0,915.75,5,1925.5,5,(((x)-((7)*(8)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteTerminalR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,MultXD,18,17,19,19,3
19,(x),20,-10,-0.0030394173660401517,0,0.008950276243093924,0,4.558,0.1,9.05,0.1,0.8842592592592593,0,0.4270166655194595,0,548.3000000000001,5,2160,5,(((x)-((9)*(7)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,SkipD,19,18,20,20,3
20,(x),20,-10,-0.00398957274069374,0,0.008532110091743119,0,4.281333333333333,0.1,8.72,0.1,0.8849781458477111,0,0.4808256037969029,0,719.4166666666666,5,2173.5,5,(((x)-((9)*(x)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,20,19,21,21,3
21,(x),20,-10,-0.0056843468838058695,0,0.002764563943467771,0,3.615,0.1,5.8020000000000005,0.1,0.8963730569948186,0,0.4270497988542501,0,657.1833333333333,5,2412.5,5,(((9)*((8)-(0)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,SkipD,21,19,22,22,3
22,(x),20,-10,-0.013994666666666664,-0.013654183485966191,-0.0036,0,1.5013333333333332,1.2463333333333333,4.1,0.1,0.7333333333333333,0,0.6274955196346704,0,451.45,5,937.5,5,(((0)-((7)*(4)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|FellTreeD,MultXD,SubXD,22,21,23,23,3
23,(x),20,-10,-0.017333333333333333,0,-0.01728,0,0.6666666666666667,0.1,0.68,0.1,0.8445756916381723,0,0.44371472458944694,0,546.9166666666666,5,1608.5,5,(((6)*((8)-(0)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,DeleteMaliciousR,22,22,24,24,3
24,(x),20,-10,-0.01697333333333333,0,-0.013999999999999999,0,0.7566666666666667,0.1,1.5,0.1,0.8200791651673264,0,0.6461988071547636,0,585.5333333333333,5,1389.5,5,(((x)-((5)*(8)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|FellTreeD,SkipD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|FellTreeD,AddRandomSubTreeR,AddRandomSubTreeR,24,23,25,25,3
25,(x),20,-10,-0.019253333333333334,-0.01067561096168771,-0.018911999999999998,0.02,0.18666666666666668,24.651666666666664,0.272,0,0.8133631952220978,0,0.4275005766152836,0,703.4166666666666,5,1339.5,5,(((0)-((8)*(5)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|MultXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,MultXD,25,25,26,26,3
26,(x),20,-10,-0.0009960255076813108,0,0.008950276243093924,0,5.058333333333334,0.1,9.05,0.1,0.8963300850093303,1,0.5060855732080938,0.408248290463863,821.2166666666667,4.166666666666667,2411.5,0,(((0)-((9)*(8)))*((x)*(x))),((((0)*(0))*((x)-(x)))*((x)*((0)+(x)))),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|DeleteMaliciousR,MultXD,DeleteMaliciousR,26,26,27,27,3
27,(x),20,-10,-0.0016568287204087309,-0.01264888888888889,0.009690721649484537,0.02,5.122333333333334,3.341666666666667,9.7,0,0.8842592592592593,0,0.5532277645218809,0,984.3333333333334,5,2160,5,(((x)-((9)*(7)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddTreeWithDiv|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,MultXD,27,26,28,28,3
28,(x),20,-10,-0.013735178070963567,0,0.00013902681231380787,0,1.566246031746032,0.1,5.035000000000001,0.1,0.9644659228199843,0,0.6422126492026032,0,1398.5333333333335,5,7035.5,5,(((6)*((5)*(7)))*((x)*(x))),(0),MutateTerminalR|ReplaceBranchR|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,SkipD|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,SkipD,28,27,29,29,3
29,(x),20,-10,-0.0015570268664032109,0,0.005754985754985755,0,4.717666666666667,0.1,7.02,0.1,0.8589562764456982,0,0.740857567905148,0,806.5,5,1772.5,5,(((0)-((x)*(7)))*((x)*(x))),(0),DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,ReplaceBranchR,29,28,30,30,3
30,(x),20,-10,-0.0077764419398626125,0,0.0075776397515527946,0,3.2783333333333333,0.1,8.05,0.1,0.9587118084227911,0,0.3585846566946939,0,1262.6666666666667,5,6055,5,(((x)*((8)*(3)))-((0)*((x)*(x)))),(0),AddToLeafR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,MultXD,30,29,31,31,3
31,(x),20,-10,0.0018669387093839674,-0.018468318025772295,0.011701244813278009,-0.01701492537313433,6.416333333333333,3.776666666666667,12.05,0.67,0.8833683228364824,0,0.561111458598019,0,541.2333333333333,5,2143.5,5,(((0)-((8)*(8)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,FellTreeD,31,29,32,32,3
32,(x),20,-10,-0.0014196790310441801,0,0.006449864498644986,0,4.875,0.1,7.38,0.1,0.763145428706774,0,0.3497660149086339,0,478.73333333333335,5,1055.5,5,(((5)*((6)-(x)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,FellTreeD,32,31,33,33,3
33,(x),20,-10,-0.009323662321539418,0,0.0013780260707635008,0,2.6733333333333333,0.1,5.37,0.1,0.8860268976521541,0,0.5517215053958373,0,608.6666666666666,5,2193.5,5,(((x)-((8)*(8)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MultXD|MutateNonTerminalR|FellTreeD,MultXD,ReplaceBranchR,33,32,34,34,3
34,(x),20,-10,-0.005228562456907049,0,0.005831680362708982,0,3.813333333333333,0.1,7.058,0.1,0.8897464167585446,0,0.78377942874625,0,789.5666666666666,5,2267.5,5,(((9)*((x)-(0)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|DivXD|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,34,33,35,35,3
35,(x),20,-10,0.00026259483043113466,0,0.010942028985507246,0,5.805,0.1,11.04,0.1,0.8815165876777251,0,0.4768374169201774,0,782.6333333333333,5,2110,5,(((0)-((7)*(9)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|FellTreeD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,34,34,36,36,3
36,(x),20,-10,-0.017378666666666664,0,-0.0148,0,0.6553333333333333,0.1,1.3,0.1,0.7926171712982165,0,0.6192979668566709,0,604.6666666666666,5,1205.5,5,(((0)-((4)*(9)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,MutateNonTerminalR,36,34,37,37,3
37,(x),20,-10,-0.0196,0,-0.0196,0,0.1,0.1,0.1,0.1,0.9868725057760974,0,0.4552705175813118,0,3677.4166666666665,5,19044,5,(((x)-((9)*(7)))*((9)*((x)*(x)))),(0),DeleteTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD,ReplaceBranchR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,AddRandomSubTreeR,MutateNonTerminalR,37,36,38,38,3
38,(x),20,-10,-0.004434131978510137,0,0.0047700274139506555,0,3.986666666666667,0.1,6.566,0.1,0.8701635938717216,0,0.38371924582585115,0,631.75,5,1925.5,5,(((x)-((8)*(7)))*((x)*(x))),(0),DeleteTerminalR|SubXD|DeleteMaliciousR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|MutateNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,MultXD,MutateNonTerminalR,38,36,39,39,3
39,(x),20,-10,-0.014508666666666665,0,-0.00544,0,1.3728333333333333,0.1,3.64,0.1,0.9569151227919,0,0.34216756165302914,0,1989.8333333333333,5,5802.5,5,((((x)*(6))*((3)+(1)))-((x)*((x)*(x)))),(0),AddTreeWithMult|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,AddRandomSubTreeR,MutateNonTerminalR,39,38,40,40,3
40,(x),20,-10,-0.00793980321416858,0,0.0036011807149885196,0,3.048,0.1,6.098,0.1,0.9743550289788172,0,0.4673768682757095,0,2126.5833333333335,5,9748.5,5,((((6)*(6))*((8)-(x)))*((2)*((x)*(x)))),(0),AddTreeWithMult|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,AddRandomSubTreeR,SubXD,40,39,41,41,3
41,(x),20,-10,-0.018186666666666663,0,-0.015600000000000001,0,0.45333333333333337,0.1,1.1,0.1,0.8395378690629012,0,0.4194849541420314,0,742.5,5,1558,5,(((5)*((9)-(x)))*((x)*(x))),(0),AddTreeWithMult|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,DeleteTerminalR|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,MultXD,SubXD,41,40,42,42,3
42,(x),20,-10,0.0027854856469656645,0,0.015258416311047891,0,7.878666666666667,0.1,21.09,0.1,0.8750249950009998,0,0.7288958751778496,0,1142.25,5,2000.4,5,(((x)*((x)-(1)))+((0)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,MultXD,MutateNonTerminalR,41,41,43,43,3
43,(x),20,-10,0.0041219894884764775,0,0.011460290350128095,0,6.999666666666667,0.1,11.71,0.1,0.9716954429663176,0,0.38880771219587845,0,3664.0833333333335,5,8832.5,5,(((x)*((4)*(9)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|AddRandomSubTreeR|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,ReplaceBranchR,43,42,44,44,3
44,(x),20,-10,0.0009514473506253818,0,0.01494183105715731,0,7.087,0.1,19.77,0.1,0.9587118084227911,0,0.0801904437182127,0,3454.1666666666665,5,6055,5,(((5)*((5)*(x)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddXD|SkipD|MultXD|SkipD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithAdd|FellTreeD,SkipD,DeleteMaliciousR,44,43,45,45,3
45,(x),20,-10,-0.0002,0,-0.0002,0,4.95,0.1,4.95,0.1,0.9863761702869723,0,0.3534370978855569,0,4303.016666666667,5,18350.2,5,(((x)*((9)*(x)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|DivXD|FellTreeD,MultXD,ReplaceBranchR,45,44,46,46,3
46,(x),20,-10,0.007430301845583131,0,0.01717577948486218,0,14.701666666666668,0.1,35.408,0.1,0.9824974096166232,0,0.13485825104008603,0,5464.2,5,14283.6,5,(((x)*((7)*(x)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|DivXD|FellTreeD,MultXD,ReplaceBranchR,45,44,47,47,3
47,(x),20,-10,0.005744325054823421,0,0.01760065262248668,0,17.311,0.1,41.678000000000004,0.1,0.9745999491998985,0,0.4629286393953717,0,2562.3166666666666,5,9842.5,5,(((5)*((8)*(x)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,ReplaceBranchR|SubXD|DeleteMaliciousR|MutateNonTerminalR|DivXD|FellTreeD,MultXD,FellTreeD,47,44,48,48,3
48,(x),20,-10,-0.011701981651376148,0,0.008532110091743119,0,2.339,0.1,8.72,0.1,0.9842792013834303,0,0.40386154806937735,0,3265.1666666666665,5,15902.5,5,(((x)*((8)*(8)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|FellTreeD|MultXD|MultXD,MultXD|SubXD|DeleteMaliciousR|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,MultXD,48,47,49,49,3
49,(x),20,-10,0.009027842400511493,0,0.017794928335170893,0,23.55,0.1,45.35,0.1,0.9842792013834303,0,0.40386154806937735,0,3265.1666666666665,5,15902.5,5,(((x)*((8)*(8)))-((x)*((x)*(x)))),(0),MultXD|SubXD|AddRandomSubTreeR|SkipD|MultXD|MultXD,MultXD|SubXD|DeleteMaliciousR|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD,MultXD,MultXD,49,48,49,49,3
