specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
(x),20,-10,ANTAGONIST-NvV,PROTAGONIST-5c1c2c2c1c1c2c1c1c1c2c2c2,-0.5564169969176574,1,0.3394980184940555,1,0.5718978331499786,0,118.16666666666667,0,378.5,0,((6)*((7)*(9))),((0)/(0)),DivXD|DivXD|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|SkipD,DivXD,SkipD,0,0,14,15,15,16,0,0
(x),20,-10,ANTAGONIST-nNv,PROTAGONIST-0c2c1c2c1c1c2c1c2c1c1c1c1c1c1c1c2c2c2c1c1c2c1c2c1c1c1c2c1c1c1c1c1c2c2c1c2c1c1c1c1c1c1c2c1,-0.1556416142160346,1,0.6268656716417911,1,0.7050738820137467,0,295.3666666666667,0,670,0,(((0)+((9)*(6)))+((9)*(x))),((0)+(x)),SubXD|AddTreeWithDiv|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|MultXD,MultXD|AddTreeWithMult|FellTreeD|FellTreeD|SkipD|AddXD,AddTreeWithDiv,FellTreeD,0,0,37,48,38,49,1,1
(x),20,-10,ANTAGONIST-eQk,PROTAGONIST-5c2c1c1c2c1c1c1c2c2c1c1c1c1c2c2c1c1c1c1c1c1c2c1c1c1c1c2c2c2c2c1c1c1c2,0.43163416141501604,1,0.943630214205186,1,0.7043752396885175,0,1790.0333333333335,0,4435,0,((((2)-(0))+((7)*(5)))*((4)*((6)*(x)))),((0)+(x)),ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,SkipD|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddXD|SkipD,AddToLeafR,SkipD,0,0,45,39,46,40,2,2
(x),20,-10,ANTAGONIST-sTw,PROTAGONIST-4c2c1c1c2c2c1c1c2c1c2c1c2c1c1c2c1c1c2c1c2c2c1,0.8897044034918052,0.16666666666666666,0.9587118084227911,1,0.0801904437182127,0.408248290463863,3454.1666666666665,4.166666666666667,6055,0,(((5)*((5)*(x)))-((x)*((x)*(x)))),((((0)*(0))*((x)-(x)))*((x)*((0)+(x)))),MultXD|SubXD|AddXD|SkipD|MultXD|SkipD,SkipD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|MutateNonTerminalR|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,44,26,45,27,3,3
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.7964548882735674,0.7952380952380952,0.9889444125060806,1,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,49,40,49,42,4,4
