gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.019733333333333335,-0.017864176353826096,-0.0196,-0.016923076923076923,0.06666666666666667,1.0241666666666667,0.1,0.65,-0.358,1,0.24241782112707805,0.5601858103435707,37.5,6.8,160.5,0,((8)*((5)*(4))),((7)*((8)/(0))),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithMult,SkipD,MultXD,0,0,1,1,0
1,(x),20,-10,-0.01958683731431967,-0.015586609413055648,-0.019476903450797566,0.02,0.10329067142008318,1.7533333333333334,0.13077413730060788,0,-0.734,1,0.09330566256485545,0.5163977794943223,26.383333333333336,1.6666666666666667,66.5,0,((6)*((4)+(7))),((((x)-(0))-((x)*(4)))/((0)*((x)/(x)))),SubXD|DeleteTerminalR|SkipD|DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteTerminalR,SkipD,1,1,2,2,0
2,(x),20,-10,-0.01944133333333333,-0.005011272141706925,-0.01884,0,0.13966666666666666,0.2808333333333333,0.29,0.1,-0.726,1,0.10066615452408353,0.5163977794943223,18.066666666666666,1.6666666666666667,68.5,0,((4)*((8)+(9))),(((0)*(1))*((2)/(0))),DeleteTerminalR|ReplaceBranchXR|SkipD|DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithMult,ReplaceBranchXR,DeleteTerminalR,2,2,3,3,0
3,(x),20,-10,-0.019223999999999998,0.013628318584070797,-0.01836,0.02,0.19400000000000003,0.18833333333333332,0.41,0,-0.55,1,0.17008774206273652,0.56298847103517,28.849999999999998,2.5625,112.5,0,((2)*((8)*(7))),((x)*((4)/(0))),DeleteTerminalR|ReplaceBranchXR|SkipD|DeleteMaliciousR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithMult,DeleteTerminalR,MultXD,2,2,4,4,0
4,(x),20,-10,-0.019177333333333334,-0.002475884003180461,-0.018600000000000002,0.02,0.20566666666666666,0.3146064814814815,0.35,0,-0.518,1,0.19007749998355933,0.5477225575051661,32.449999999999996,2.5,120.5,0,((4)*((6)*(5))),(((8)*((5)-(0)))*((x)/(0))),MutateTerminalR|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithMult,ReplaceBranchXR,MultXD,4,4,5,5,0
5,(x),20,-10,-0.019222666666666666,-0.0011369509043927645,-0.0176,0.02,0.19433333333333333,0.29366666666666663,0.6,0,-0.3,1,0.27005406866033327,0.5477225575051661,47.35,2.5,175,0,((6)*((x)*(6))),(((2)*(0))*((x)/(0))),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|SkipD,DivXD,SkipD,5,5,6,6,0
6,(x),20,-10,-0.019352,-0.0020767179317110916,-0.019,0.02,0.162,0.465,0.25,0,0.025341130604288498,1,0.394674945573406,0.5163977794943223,55.550000000000004,1.6666666666666667,256.5,0,((4)*((8)*(8))),((3)*((5)/(0))),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult,DivXD,MultXD,6,6,7,7,0
7,(x),20,-10,-0.019134666666666668,0,-0.018520000000000002,0.02,0.21633333333333338,0.1,0.37,0,-0.846,1,0.058299456829945404,0.5163977794943223,23.766666666666666,1.6666666666666667,38.5,0,((9)*((4)+(2))),(((9)*(0))*((x)/(0))),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|SkipD,DivXD,SkipD,6,5,8,8,0
8,(x),20,-10,-0.019338286805786805,-0.0006492675294777012,-0.0172,0,0.16542829855329855,0.10362632275132276,0.7,0.1,-0.78,1,0.07402341971745607,0.5477225575051661,26.166666666666668,2.5,55,0,((9)*((6)-(x))),((0)/(0)),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DeleteNonTerminalR|DeleteTerminalR|SkipD,ReplaceBranchXR,SkipD,6,5,9,9,0
9,(x),20,-10,-0.019213333333333332,0.0026666666666666666,-0.018520000000000002,0.02,0.19666666666666668,0.0875,0.37,0,-0.458,1,0.1921124670603134,0.5163977794943223,41,1.6666666666666667,135.5,0,((3)*((5)*(9))),((0)*((x)/(0))),DivXD|ReplaceBranchXR|SkipD|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,MultXD|SkipD|DivXD|DivXD|DeleteTerminalR|SkipD,DivXD,SkipD,9,9,10,10,0
