specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.9889444125060806,1,22613,0,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,0.9889444125060806,0.07164285714285708,0.14356489960649596,0.5072938066292366,22613,4.641785714285715,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,4
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.6271439224459359,0,670.5,5,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,0.6271439224459359,-0.03225806451612942,0.14356489960649596,0.5072938066292366,670.5,5.166666666666669,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchR,DeleteMaliciousR,1,4
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.6581897730380093,1,731.4,0,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,0.6581897730380093,1,0.14356489960649596,0.5072938066292366,731.4,0,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchR,DeleteMaliciousR,2,4
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.8573466476462197,1,1752.5,0,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,MultXD,DeleteMaliciousR,0,0,0.8573466476462197,1,0.14356489960649596,0.5072938066292366,1752.5,0,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchR,DeleteMaliciousR,3,4
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.742798353909465,0.7714285714285716,972,1.1428571428571423,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,0.742798353909465,1,0.14356489960649596,0.5072938066292366,972,0,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,ReplaceBranchR,DeleteMaliciousR,4,4
(x),20,-10,ANTAGONIST-qnac2,PROTAGONIST-3c2c1c1c2c2c2c1c2c1c1c1c2c1c1c1c2c2c1c1c2c2c2c1c1c1c2c2c1c1c1c1c1c2c1c1,0.9043062200956937,1,2612.5,0,0.14356489960649596,0.4001700318886569,4891.983333333334,1.0238095238095237,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((x)-(x))/((0)/(3)))+((5)*((9)*((1)-(3))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchR,DeleteMaliciousR,0,0,0.9043062200956937,1,0.14356489960649596,0.5072938066292366,2612.5,0,22613,0,(((x)*((3)*(9)))*((5)*((5)*(x)))),((((6)-(5))/((4)*((7)/(0))))-((0)+((8)*((x)*(x))))),ReplaceBranchR|ReplaceBranchR|MultXD|AddToLeafR|MultXD|AddTreeWithMult,DeleteMaliciousR|SkipD|AddToLeafR|AddTreeWithDiv|DeleteMaliciousR|MutateNonTerminalR,MultXD,DeleteMaliciousR,5,4
