gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
68,x*x*x*x,25,-10,-0.04879965690759378,-0.007406109313934881,-0.04879915043785127,0.012280467539257243,NaN,NaN,NaN,237.53199999999998,-0.9599869298130964,0.3691020781597178,0,0.04215108223411081,6122.8,5936.5599999999995,6122.8,5406.24,(((8)*((1)*(x)))*((0)-(x))),(((5)+((8)*(0)))+((x)*(x))),DeleteNonTerminalR|DivXD|SubXD|AddTreeWithMult|DeleteMaliciousR,MutateTerminalR|MutateTerminalR|SkipD|ReplaceBranchR|MultXD,DivXD,MutateTerminalR,68,67,69,69,2
69,x*x*x*x,25,-10,-0.04880033132923801,-0.004676862968426161,-0.048797158541367146,0.01722267864144743,NaN,NaN,184.05880000000002,195.1816,-0.9597746699777807,0.5482850047612824,0.00012292194041615894,0.12442795105749396,6127.860000000001,5425.26,6155.28,3870.8,(((0)-((x)*(5)))*((3)-(x))),((((9)-(5))*((x)*(3)))*((x)+((4)*(x)))),DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddTreeWithSub|SkipD|ReplaceBranchR|MultXD,DeleteTerminalR,MultXD,67,69,70,70,2
70,x*x*x*x,25,-10,-0.038393261011632464,0.00687734578413349,-0.038370461377597705,0.016978359504826637,245.86320000000003,1206.856,249.352,197.2752,-0.9570592079466738,0.53953731538361,0.0014739143779173226,0.12781349907747952,6232.5,5587.34,6570.8,3945.76,(((0)-((x)*(8)))*((x)-(x))),(((7)*((1)*(x)))*((x)*(x))),DeleteNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MultXD,DeleteTerminalR,MutateTerminalR,69,68,71,71,2
71,x*x*x*x,25,-10,-0.03839046660567246,0.008655329465847806,-0.03835387792445432,0.014872565677689195,246.29080000000002,1789.4088000000002,251.88960000000003,215.32,-0.9555953470134624,0.45723248128162525,0.0022908086272638985,0.0005778178362682416,6275.26,6067.92,6794.8,4651.04,((((x)+(x))*((1)*(1)))-((7)*((x)-(x)))),((((x)+(8))*((7)*(0)))-((6)-((0)-((x)*(x))))),AddRandomSubTreeR|DeleteTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,MutateTerminalR,71,70,72,72,2
72,x*x*x*x,25,-10,-0.03850128610639132,0.006327611727693372,-0.03839611292641485,0.013827137442351143,229.3332,561.3258000000001,245.42680000000001,224.2784,-0.9598235524768005,0.47501727131840843,0.00008891749751495296,0.09330961289869338,6127.52,5696.780000000001,6147.8,4498.64,(((x)-((0)*(0)))*((9)-((3)*(9)))),((((x)*(x))*((5)-(8)))+((7)+((x)*(x)))),AddRandomSubTreeR|DeleteTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,AddXD,71,70,73,73,2
73,x*x*x*x,25,-10,-0.035300878135107135,0.006683598968903835,-0.025923387066634263,0.012500326754672594,755.7841999999999,343.25159999999994,2300.9016,235.648,0.2655339897161319,0.32316970704109643,0.6131528555341504,0.014693331341100223,56587.63,5943.360000000001,208341.84,5799.84,((((x)*(6))*((9)*(x)))*((0)+((7)*(x)))),(((8)*((3)*(8)))+((9)+((x)*(x)))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,DeleteNonTerminalR,73,73,74,74,2
74,x*x*x*x,25,-10,-0.03832645863285845,0.004802380731682123,-0.03794114233433538,0.017458035364191427,256.0853,2056.0831999999996,315.0464,193.16479999999996,-0.916615867206901,0.3876524077151447,0.02900866823180228,0.059732323282044475,7442.639999999999,5975.43,12759.44,5247.28,((((x)*(6))*((5)-(0)))*((x)*((x)-(x)))),((((5)*(2))*((x)-((1)+(6))))*((x)+((6)+((3)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,MutateTerminalR,73,74,75,75,2
75,x*x*x*x,25,-10,-0.03843499215788786,0.0072498290386326615,-0.038395882891125346,0.014583201075489669,239.4775,802.0576999999998,245.46200000000002,217.7996,-0.9596405698601491,0.30636518102208865,0.00028547589151980827,0.00878099391261861,6122.55,6053,6175.8,5943.84,(((2)*((4)+(0)))*((x)-((7)*(9)))),((((9)-(0))*((0)*((3)+(1))))*((x)-((x)+((x)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,MutateTerminalR,73,74,76,76,2
76,x*x*x*x,25,-10,-0.038430013070186904,0.010385456948841305,-0.03836165729969939,0.02089516776518476,240.23940000000002,372.81489999999997,250.69920000000002,163.7116,-0.9594981048228989,0.6258752357301567,0.00029273826443013465,0.15910940717504787,6132.88,5207.83,6197.6,3205.92,((((x)-(2))*((8)*(x)))+((5)+((x)-(x)))),((((x)*(7))*((9)+(5)))+((7)+((x)*(x)))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,MutateTerminalR,73,74,77,77,2
77,x*x*x*x,25,-10,-0.03569341850738466,0.005197863062418206,-0.027332610116324665,0.018103375842560263,658.9931,400.15319999999997,1938.3639999999996,187.63479999999998,-0.09164239968631549,0.598455850775809,0.43442917555907967,0.02600725953518179,39282.479999999996,5964.46,138996.88,3440.88,((((x)*(x))-((5)*(8)))*((4)*((x)*(x)))),((((4)+(9))*((x)*(x)))-((0)*((7)+((x)*(x))))),AddRandomSubTreeR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|AddXD|AddRandomSubTreeR|ReplaceBranchR|MultXD,AddRandomSubTreeR,ReplaceBranchR,73,76,78,78,2
