gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
36,x*x*x*x,25,-10,-0.035130731930466605,-0.02117026735235583,-0.02825815187557182,0.01928620960430528,745.0953999999999,76409.18930555556,1796.7376000000002,177.49895555555554,-0.6668289112534309,0.2830820952961851,0.12652464588822507,1.1415410476480925,28925.18,26111.088888888888,50981.84,6143.355555555555,((((x)*(6))+((0)+(8)))*((x)*((7)*(x)))),((((x)/(9))+((3)*((4)-(7))))-(((2)*(x))+((x)*((1)-(8))))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|MultXD,AddXD|AddTreeWithMult|AddTreeWithDiv|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,AddXD,35,36,37,37,3
37,x*x*x*x,25,-10,-0.027077795345817997,-0.024558218216657303,-0.0010240816577459077,0.019560872839529224,2370.2340000000004,12430.107985,7535.608000000002,175.14533333333333,0.5454545454545454,0.5974382433668801,0.7278383953289962,1.259770272739908,95633.84,11360.565999999999,336644,3449.6,((((1)+(8))-((7)*(9)))*((x)*((x)*((x)*(x))))),((((x)*((7)*(4)))*((5)+((3)+(0))))*(((7)/(7))*((0)*((x)+((x)*(x)))))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|MultXD,AddXD|AddTreeWithMult|AddTreeWithDiv|MultXD|DeleteTerminalR,AddRandomSubTreeR,AddXD,35,34,38,38,3
38,x*x*x*x,25,-10,-0.037004534047836886,-0.016349567613983422,-0.03306434714416416,0.015992960770767596,458.36619999999994,14640.233506666666,1061.2936,205.71919999999997,-0.7501555352241537,0.3375655843307132,0.10159059493269952,1.1519135804988032,15055.98,12669.214,38231.2,5676.48,((((x)*(7))-((2)+(6)))*((x)*((9)*(8)))),((x)*((8)*(x))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR,AddXD|FellTreeD|AddTreeWithDiv|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,AddXD,38,37,39,39,3
39,x*x*x*x,25,-10,-0.04004030873450001,-0.011395825317285453,-0.024118882304357377,0.011611087252833432,916.51,511.0133946428572,3060.4407999999994,243.268,0.4680851063829787,0.28684392329667463,0.7143444852555233,0.002685517104722602,76440.79,6127.54,287677.6,6111.12,((((x)*(x))*((2)+(6)))*((x)*((6)*(x)))),((1)*((5)*(x))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR,AddXD|FellTreeD|AddTreeWithSub|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,FellTreeD,38,39,40,40,3
40,x*x*x*x,25,-10,-0.034405716497592075,0.011539691356872122,-0.02241538461538462,0.012145097746326348,856.6258,243.8798,2693.1519999999996,238.69199999999998,0.038461538461538394,0.3427003006142989,0.49923076923076926,0.029272959642945254,44375.799999999996,6007.54,159140.8,5632.48,((((x)*(x))*((x)*(5)))*((0)-((5)*(x)))),(((x)*(9))-((5)*(x))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|MultXD,AddXD|FellTreeD|SubXD|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,SubXD,40,40,41,41,3
41,x*x*x*x,25,-10,-0.03737887727094498,0.011579648785406205,-0.03395199581754019,0.012024291875945257,401.0841999999999,243.5374,925.4656,239.7272,-0.6697174225591426,0.3107810370259724,0.14534887237750754,0.013672067796487344,17178.199999999997,6009.68,50539.84,5906,((((x)*(x))*((0)+(8)))*((x)+((5)-((2)*(x))))),(((4)*(x))-((4)*(x))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|MultXD,AddXD|FellTreeD|SubXD|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,40,40,42,42,3
42,x*x*x*x,25,-10,-0.03785412102993073,0.011561397202980004,-0.03596074238661613,0.012413923483391529,328.36240000000004,243.69380000000004,618.0872,236.3884,-0.7484046529865377,0.3311238493567601,0.10587350827083526,0.024351443434907034,14198,6044.05,38499.12,5731.68,((((x)*(0))-((9)*(5)))*((x)+((7)*(x)))),((7)*((x)*(x))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|MultXD,AddXD|FellTreeD|AddTreeWithSub|MultXD|AddRandomSubTreeR,DeleteTerminalR,AddXD,42,41,43,43,3
43,x*x*x*x,25,-10,-0.03711884982355248,0.01132349646171369,-0.03294486995164031,0.011539994771925242,440.8736,245.7324,1079.576,243.8772,-0.5130037903542021,0.29044289261907885,0.22452598422425596,0.0033951210466897567,22988.88,6119.17,74520.16,6080.28,((((x)*(x))+((2)+(0)))*((x)*((x)*(x)))),(((4)-(3))*((7)*(9))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|MultXD,AddXD|FellTreeD|AddTreeWithSub|MultXD|AddRandomSubTreeR,AddRandomSubTreeR,AddXD,42,43,44,44,3
44,x*x*x*x,25,-10,-0.034891308244227835,0.011490829863509905,-0.0240997408843744,0.01193224041675225,938.709,244.29850000000002,3060.9655999999995,240.516,0.46746415492944016,0.30408723416173433,0.7143367337366117,0.0088970000826479,76287.81999999999,6077.24,287342.16,5963.36,((((x)*(x))*((8)*(9)))*((0)-((7)*(x)))),((5)*((9)*(8))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,44,44,45,45,3
45,x*x*x*x,25,-10,-0.03866747560231778,0.011456287226693057,-0.03837804208600183,0.011566041787254703,203.9028833333333,244.59450000000004,248.192,243.65400000000002,-0.9600000000000001,0.2896493455570701,0.000179062643134121,0.002012333184034353,6105.828333333334,6111.870000000001,6120.8,6087.08,(((4)/((2)-(x)))*((2)*((x)*(0)))),((7)+((x)*(5))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|AddTreeWithDiv,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddToLeafR,DeleteMaliciousR,44,44,46,46,3
46,x*x*x*x,25,-10,-0.0436525107829042,0.011434021229717872,-0.03838424258266893,0.011569776126370036,206.19279999999998,244.78530000000003,247.2432,243.622,-0.9587954515749576,0.29191328864574195,0.0006223693632691032,0.002901675447831293,6162.5,6100.37,6305.12,6067.68,(((x)+((3)*(0)))-((3)*((x)+(x)))),((x)+((6)*(9))),AddRandomSubTreeR|ReplaceBranchXR|AddToLeafR|DeleteTerminalR|AddXD,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,DeleteMaliciousR,45,44,47,47,3
47,x*x*x*x,25,-10,-0.03768785256829173,0.011502149578953267,-0.03596800418245981,0.01210593386485427,353.80479999999994,244.20149999999998,616.9760000000001,239.02759999999998,-0.7696651418115279,0.3182403794088542,0.0890281767080018,0.015821998274892328,15237.359999999999,6043.51,35245.84,5842.08,((((4)-(0))-((6)*(x)))*((1)+((6)*((x)*(x))))),((x)*((x)*(5))),ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|FellTreeD|MultXD,AddXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,ReplaceBranchR,AddXD,46,47,48,48,3
48,x*x*x*x,25,-10,-0.033409254519554815,0.011454081632653063,-0.018029709229702748,0.011554652052952932,1573.3339999999996,244.61339999999996,5621.166400000001,243.7516,0.6835443037974683,0.2951434919805068,0.8286533845110348,0.004847557493866559,123946.2,6101.48,483543.2,6040,((((x)*(x))*((9)*(9)))-((1)*((x)-((0)*(x))))),((x)*((8)*(6))),AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|DeleteTerminalR|MultXD,DeleteMaliciousR|FellTreeD|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR,AddRandomSubTreeR,DeleteMaliciousR,48,48,49,49,3
