gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,0.011809569956708163,0.011452284481953807,0.037014857854658995,0.011475063950557354,43501.519,244.62879999999998,108393.5808,244.4336,0.9690976639029453,0.2872220251321023,0.15881017885975,0.00048675465137647906,2379287.6,6112.13,4951729.2,6107.88,((((x)*(x))*((9)*((9)*(x))))*((4)+((6)*((x)+(x))))),((8)+(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,21,21,22,22,4
22,x*x*x*x,25,-10,0.021376354394191922,0.00503884530575811,0.03858450599713223,0.011482299232593316,79004.8674,43561.2371,181851.55120000002,244.3716,0.9742533557289766,0.2879922325746402,0.07319960762328019,0.0009058208250240547,2617608.06,6112.3099999999995,5943298.8,6101.28,((((x)*(x))*((3)*((9)*(x))))*((x)*((4)*((9)+(x))))),((7)*(4)),MultXD|MultXD|AddXD|AddTreeWithDiv|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,18,20,23,23,4
23,x*x*x*x,25,-10,0.00044395708699468184,0.011440159549638704,0.0189181289670833,0.011462133801370504,95617.08369999999,244.7327,331535.72719999996,244.54440000000002,0.9948116258045523,0.2867972440577329,0.9270755359063726,0.000275750138495235,7849762.96,6114.18,29492861.2,6111.52,((((x)*(x))*((x)*((7)*(x))))*((5)*((x)*((x)+(x))))),((3)+(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,23,23,24,24,4
24,x*x*x*x,25,-10,0.007159040031938589,0.011463160744627223,0.0355422165068911,0.011522443378083164,122679.302,244.5356,332039.5952,244.0276,0.9943408709007813,0.2917032320705044,0.06099265668929046,0.0027357817484881097,10027837.219999999,6103.86,27039496.24,6069.48,((((x)*(x))*((x)*((8)*(6))))*((8)*((x)*((x)+(x))))),((9)*(9)),MultXD|MultXD|AddXD|AddToLeafR|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,24,23,25,25,4
25,x*x*x*x,25,-10,0.022542205466593548,0.011492101872771068,0.03800658089623557,0.011591808727150517,112458.96949999999,244.28760000000003,307151.47199999995,243.43319999999997,0.9926492215236404,0.2917032320705044,0.07753742380852682,0.002947741272097383,7452784.56,6098.639999999999,20816842.8,6069.48,((((9)*(9))*((x)*((7)*(6))))*((x)*((x)*((x)+(x))))),((9)*(9)),MultXD|MultXD|AddXD|AddToLeafR|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,24,25,26,26,4
26,x*x*x*x,25,-10,0.018097609378150824,0.011456287226693057,0.03856424297274783,0.011503538286311782,108110.36819999998,244.5945,290291.136,244.18959999999998,0.9911785472415141,0.2905129114774913,0.09477283518647205,0.0022580532013438616,6092039.779999999,6108.16,17346349.2,6079.68,((((9)*(7))*((x)*((x)*(x))))*((5)*((9)*((x)+(x))))),((8)*(8)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,26,25,27,27,4
27,x*x*x*x,25,-10,0.02950621271577428,0.01145470013256904,0.038272497633452786,0.011553858505890921,156411.19759999998,244.6081,406276.14280000003,243.75840000000005,0.9951494226717463,0.2910730623447916,0.025408005636998854,0.002674638586031354,10956275.6,6108.27,31546760.24,6074.88,((((x)*(x))*((x)*((x)*(7))))*((8)*((8)*((x)+(x))))),((9)*(8)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,DeleteMaliciousR,27,25,28,28,4
28,x*x*x*x,25,-10,0.027941328053570535,0.011442890285116794,0.03839823407408235,0.01151096028530351,165250.34630000003,244.7093,328770.24919999996,244.12600000000003,0.9935141958578574,0.2889724965924156,0.03920124360046508,0.0018173012684852851,12108784.16,6115.33,23593065.2,6092.88,((((x)*(x))*((x)*((x)*(7))))*((x)*((4)*((x)+(x))))),((6)*(7)),MultXD|MultXD|AddXD|ReplaceBranchXR|AddToLeafR,FellTreeD|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR,MultXD,FellTreeD,25,28,29,29,4
29,x*x*x*x,25,-10,-0.011950382701142263,0.011444885822581552,0.0007490516933105273,0.01147744459174338,161082.3332,244.6922,528008.9012000001,244.4132,0.9970530165579811,0.2879222137162276,0.022092481580865585,0.0008747968352666793,15840403.530000001,6111.58,51924282.24,6101.88,((((x)*(x))*((x)*((x)*(x))))*((5)*((x)*((x)+(x))))),((3)*(9)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,29,28,30,30,4
30,x*x*x*x,25,-10,-0.004334015381507921,0.011453556491214972,0.0033271760803156914,0.011491074929514351,63289.31100000001,244.61790000000002,123791.7792,244.2964,0.9844737264565502,0.28771215714099,0.03368886661415264,0.0006562266514787838,5152542.78,6114.56,9855552.24,6103.68,((((7)*(5))*((x)*((x)*(x))))*((x)*((4)*((x)+(x))))),((4)*(6)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|MultXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,FellTreeD,29,28,31,31,4
