gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
55,x*x*x*x,25,-10,0.017735536853721236,-0.022599928580764417,0.03909864607302739,0.012890471833747226,123717.32040000001,642.3208999999999,323642.00480000005,232.30479999999997,0.9886800304783114,0.29224937916612215,0.9548487101609825,0.002552364271069846,5108266.12,6097.42,13517704.24,6064.8,((((x)*(x))*((x)*((x)*(x))))*((8)*((4)*((6)+(x))))),((x)*(x)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,MultXD,FellTreeD,55,55,56,56,4
56,x*x*x*x,25,-10,0.004202512601638394,0.011435013163545383,0.02776975496872772,0.011453451462927351,90835.6449,244.7768,175241.33279999997,244.61879999999996,0.9878903299148325,0.28685325914446297,0.9378334213467905,0.00089571041613309,5764293.42,6116.42,12636182.4,6111.04,((((x)*(x))*((x)*((3)*(5))))*((x)*((x)*((x)+(x))))),((7)+((3)+(x))),MultXD|MultXD|AddXD|MutateTerminalR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,56,56,57,57,4
57,x*x*x*x,25,-10,-0.023466460290816032,0.01145383656664862,0.004409573815170071,0.011477724667177029,3105.1685,244.6155,9096.378,244.4108,0.6343467979035564,0.28981272289336596,0.7971886914552352,0.002043655251290758,109208.08,6102.360000000001,418483.96,6085.68,((((x)*(2))+((4)*((x)*(x))))*((x)*((x)+((9)*(9))))),((9)*(6)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,57,57,58,58,4
58,x*x*x*x,25,-10,0.02324522159935094,0.011461853725936855,0.03887196883409782,0.011514041115073663,87269.1433,244.5468,273882.9008,244.09959999999998,0.9853329400749058,0.2905829303359039,0.09738439829463531,0.002281522715657515,3186069.96,6097.91,10432902.08,6079.08,((((9)*(x))*((x)+((6)*(x))))*((x)*((x)*((x)+(x))))),((5)*((4)+(9))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,56,58,59,59,4
59,x*x*x*x,25,-10,0.023318735667637792,0.011461608659932409,0.03756668284442093,0.011541955299960792,135480.8404,244.5489,359652.44159999996,243.86039999999997,0.9935322842048527,0.2946113486565715,0.41803928110115585,0.004318752154452405,8866519.36,6099.8,23659048.24,6044.56,((((6)*(7))*((8)*((x)*(x))))*((x)*((x)*((x)+(x))))),((x)*((5)*(9))),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR,MultXD,ReplaceBranchR,56,58,60,60,4
60,x*x*x*x,25,-10,-0.013305322883627064,0.011430240211363596,0.00045711743087037626,0.011450417312396141,56172.6,244.8177,132018.3036,244.6448,0.9835104411666701,0.28644248184177606,0.04371300507138191,0.0003640980637451552,3560198.54,6119.24,9279811.64,6114.56,((((9)+(x))*((x)*((x)*(7))))*((x)*((x)*((x)+(x))))),((0)+(8)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,MultXD,FellTreeD,60,58,61,61,4
61,x*x*x*x,25,-10,-0.002056223940079569,0.011430952069757456,0.005904738231592932,0.011438700823421777,70012.06229761905,244.8116,153890.0192,244.7452,0.9889722115586155,0.28635379128778693,0.29065186945348587,0.0003692187150091698,6098956.16,6118.0599999999995,13875855.6,6115.32,((((9)*(9))*((x)*((x)*(x))))*((x)*((7)*((4)+(x))))),((7)+(0)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,MultXD,FellTreeD,60,61,62,62,4
62,x*x*x*x,25,-10,-0.023688488134993184,0.011427112702354502,-0.016568166084517087,0.011430905390518515,62106.603599999995,244.8445,202754.2504,244.812,0.9924329014162827,0.2859476819089942,0.3510214234239193,0.00011669809735423421,6181437.26,6120.3,20221753.2,6118.8,((((x)*(x))*((x)*((x)*(x))))*((6)*((4)*((x)+(x))))),((x)+(0)),MultXD|MultXD|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,MultXD,ReplaceBranchR,60,62,63,63,4
63,x*x*x*x,25,-10,-0.039641162593125084,0.011431465541385815,-0.0327254685662005,0.01143907425733331,437.4592999999999,244.80719999999997,1113.1488,244.74200000000002,-0.6334194222977388,0.2865311723957653,0.16825336502027724,0.00040844334073977806,17530.06,6119.05,56094.16,6113.8,((((x)*(x))*((x)-(9)))*((x)*((x)+((2)+(6))))),((9)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,63,63,64,64,4
64,x*x*x*x,25,-10,-0.03400782326322421,0.011429271617155554,-0.021750532368019066,0.01143407957876655,917.5117999999999,244.826,2794.8891999999996,244.7848,0.03847362243218034,0.2862651007337977,0.49933602400618043,0.0002597312721631864,44353.81999999999,6119.200000000001,159142.8,6116.08,((((x)*(x))*((x)*(6)))+((3)*((x)*((3)+(x))))),((6)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,FellTreeD,64,62,65,65,4
65,x*x*x*x,25,-10,-0.03563998659944681,0.011432480814832797,-0.02773844855436805,0.011448643501316356,667.1822,244.79850000000002,1876.3144,244.66,0.0058012039018437225,0.28644248184177606,0.48033722115697025,0.0003640980637451552,43670.32,6119.24,153912.88,6114.56,((((x)*(x))*((4)*(x)))+((9)*((7)*((x)+(x))))),((8)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|ReplaceBranchR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,AddTreeWithSub,65,62,66,66,4
66,x*x*x*x,25,-10,-0.03241813729015788,0.011430391918890156,-0.004499118236569281,0.011443135351121236,3007.8030000000003,244.8164,11292.650400000002,244.7072,0.8172335460504577,0.28644248184177606,0.883804766651716,0.0003640980637451552,215021.55000000002,6119.24,837243.36,6114.56,((((x)*(x))*((x)*(x)))*((x)*((x)+((4)+(x))))),((8)-(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|ReplaceBranchR|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddXD,ReplaceBranchR,65,62,67,67,4
67,x*x*x*x,25,-10,-0.03369279047333263,0.011431768956438937,-0.019439892778182172,0.011441361540041455,6207.5759,244.8046,24115.894399999994,244.7224,0.9360614345069694,0.28635379128778693,0.9497118864679835,0.0003197527867505878,602515.97,6119.43,2393234.8,6115.32,((((x)*(x))*((7)*(7)))*((x)*((x)*((8)+(x))))),((0)+(7)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddToLeafR,FellTreeD,67,66,68,68,4
68,x*x*x*x,25,-10,-0.04093758397595086,0.011431768956438935,-0.037942485949549076,0.01145041731239614,239.0809,244.8046,314.8408,244.6448,-0.9218679911122728,0.28644248184177606,0.019906370330753643,0.0003197527867505878,7410.46,6119.43,11955.76,6114.56,((((x)-(x))*((3)*(x)))*((x)*((7)+((0)+(x))))),((8)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddXD,AddTreeWithSub,68,66,69,69,4
69,x*x*x*x,25,-10,-0.038288480372935994,0.011430882050899045,-0.037459356946804336,0.011437813917881885,261.8967333333333,244.81219999999996,388.76919999999996,244.75279999999998,-0.8741225983531564,0.2865311723957653,0.048916120470211634,0.00040844334073977806,8174.28,6119.05,19261.76,6113.8,((((x)*(x))*((0)-(3)))*((9)*((x)*((x)+(x))))),((9)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|AddToLeafR,FellTreeD|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR,AddTreeWithMult,AddTreeWithSub,69,69,70,70,4
70,x*x*x*x,25,-10,-0.03407778640657845,0.011430928730137986,-0.0206330185840971,0.011438887540377545,1644.06175,244.8118,5914.914000000001,244.74359999999996,0.7264147799382186,0.28635379128778693,0.8435607772443657,0.0003060725104108918,144338.08000000002,6119.2,559313.84,6115.32,(((x)*((x)*(x)))*((8)*((x)*(x)))),((7)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,FellTreeD,68,70,71,71,4
71,x*x*x*x,25,-10,-0.04013551597285758,0.011427987938084659,-0.03449200104561495,0.01142857142857143,361.8133458333333,244.83700000000002,842.8340000000001,244.832,-0.7999542543458371,0.28571428571428575,0.083703766766202,0,11502.18,6120.8,30611,6120.8,((((x)*(x))*((x)*(x)))*((6)+((5)+(2)))),(0),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|ReplaceBranchR|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,ReplaceBranchR,68,69,72,72,4
72,x*x*x*x,25,-10,-0.03745945803706161,0.011428839834195346,-0.023510338076509818,0.01142964505106709,896.8496857142856,244.82969999999997,3025.4318857142857,244.8228,0.4318181818181818,0.2858216479638517,0.6966306440986038,0.00005368112478296161,71754.01142857142,6120.57,269315.2,6119.88,((((x)*(x))-((0)*(x)))*((x)*((5)*(9)))),((1)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR,ReplaceBranchXR,FellTreeD,72,71,73,73,4
73,x*x*x*x,25,-10,-0.03495542362782839,0.011429283286965292,-0.02144136514260359,0.011431418862146873,1892.3009000000002,244.8259,5791.161599999999,244.80759999999998,0.7264116493783812,0.2859990290718301,0.7992227486033595,0.0001423716787721796,172211.49,6120.1900000000005,559307.44,6118.36,((((x)*(x))*((8)*(x)))*((x)*((x)-(x)))),((3)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,AddTreeWithSub,73,73,74,74,4
74,x*x*x*x,25,-10,-0.03709735067311463,0.011428396381425399,-0.03315612076852699,0.011438887540377545,444.16339999999997,244.8335,1047.2504000000001,244.74360000000001,-0.726591033851784,0.2861764101798085,0.11672711310740329,0.00023106223276136983,15044.84,6119.8099999999995,41837.04,6116.84,(((x)+((9)*(x)))*((x)*((7)*(8)))),((5)+(0)),AddTreeWithDiv|AddTreeWithMult|AddXD|AddTreeWithSub|MutateNonTerminalR,FellTreeD|ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,DeleteMaliciousR,71,74,75,75,4
75,x*x*x*x,25,-10,-0.03643438221583236,0.011427112702354502,-0.031382940792053324,0.01142857142857143,545.6108333333334,244.8445,1318.5824000000002,244.832,-0.3657074892170958,0.28571428571428575,0.28257494341596145,0,34830.83,6120.8,97059.44,6120.8,((((x)*(6))*((x)*(x)))*((5)*((6)-(x)))),(0),AddTreeWithDiv|AddTreeWithMult|AddXD|AddTreeWithSub|MutateNonTerminalR,FellTreeD|ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithDiv,DeleteMaliciousR,71,74,76,76,4
76,x*x*x*x,25,-10,-0.027452825493270962,0.011427241070261591,0.005477088409194902,0.011431418862146873,6657.087225925926,244.84340000000003,25907.378399999998,244.8076,0.900398406374502,0.28571428571428575,0.9325331866617496,0,388138.79555555555,6120.8,1536320.8,6120.8,((((6)*(7))*((6)*(x)))*((x)*((x)*(x)))),(0),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithMult,DeleteMaliciousR,76,74,77,77,4
77,x*x*x*x,25,-10,-0.0406735764803024,0.011425945721380958,-0.03651756446402898,0.01142857142857143,279.47932698412694,244.8545,532.8822857142857,244.832,-0.8807632989151745,0.28571428571428575,0.03975071957342891,0,9121.643333333333,6120.8,18245.6,6120.8,((((x)-(0))*((x)*(4)))*((x)*((x)+(x)))),(0),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteMaliciousR|DeleteNonTerminalR,AddTreeWithMult,ReplaceBranchR,76,75,78,78,4
78,x*x*x*x,25,-10,-0.03770015299120563,0.01142857142857143,-0.03521759769964711,0.01142857142857143,351.92258928571425,244.832,731.8032000000001,244.832,-0.802163900143772,0.28571428571428575,0.08089121810634006,0,11743.681428571428,6120.8,30272.88,6120.8,((((x)*(x))*((4)*(x)))+((8)*((x)+(x)))),((0)*((1)-(7))),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|DeleteNonTerminalR,AddTreeWithMult,AddTreeWithSub,78,77,79,79,4
79,x*x*x*x,25,-10,-0.03803056593909293,0.01144116315327595,-0.03668063521108352,0.011492475306682603,301.3628,244.72409999999996,507.92920000000004,244.28440000000003,-0.7916596523330284,0.29018615680489956,0.08817791785682201,0.002192590901089882,12775.42,6110.61,31880.24,6082.48,((((x)-(0))*((x)*(x)))*((8)*((8)+(x)))),((((x)*(7))*((0)+(3)))+((0)*((7)*(5)))),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,SkipD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddXD,SkipD,78,79,80,80,4
80,x*x*x*x,25,-10,-0.03938035452881976,0.00998370427768546,-0.03325350281009018,0.011499710588718563,477.36815000000007,259.9676,1032.3490000000002,244.22240000000002,-0.5665565285583584,0.2912831189200292,0.18799744472940352,0.0026501953774562175,28481.050000000003,6106.450000000001,66325.52,6073.08,((((x)*(2))-((x)*(x)))*((x)*((x)+(x)))),(((0)+(9))*((5)+(x))),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,SkipD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,SkipD,78,80,81,81,4
81,x*x*x*x,25,-10,-0.04023494815492528,0.0057166780252814785,-0.03485147301006404,0.011448643501316356,346.5982333333333,311.42699999999996,787.8276000000001,244.66,-0.6800130701869037,0.28644248184177606,0.14036329224787625,0.0003640980637451552,16747.15,6119.24,48964.4,6114.56,(((x)*((x)*(9)))*((x)*((x)-(x)))),((8)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,MutateNonTerminalR,FellTreeD,78,80,82,82,4
82,x*x*x*x,25,-10,-0.034322875183308066,0.011429224937916616,-0.011352573982294022,0.011438187351793418,3345.107423809524,244.8264,12759.004266666665,244.7496,0.8637062230837159,0.28644248184177606,1.1907989961308372,0.0004936536425267265,283735.86000000004,6120.24,1122721.84,6114.56,((((x)+(x))*((x)*(x)))*((8)*((x)*(x)))),((8)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,82,81,83,83,4
83,x*x*x*x,25,-10,-0.0396596745523461,0.011434931474877235,-0.034286877532348714,0.011447056407192341,434.62660000000005,244.7775,874.2220000000001,244.6736,-0.7197712717291856,0.2861764101798085,0.5918872030965648,0.0002668076845686657,19197.21,6118.82,42880.6,6116.84,((((x)+(x))*((x)*(x)))*((4)*((x)+(x)))),((5)-(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|DivXD|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,FellTreeD,82,83,84,84,4
84,x*x*x*x,25,-10,-0.04097829462068451,0.005717669959108987,-0.03808160763298915,0.011437813917881887,232.85135714285713,311.4185,293.5524,244.75279999999998,-0.9448673376029277,0.28635379128778693,0.00841904100312178,0.0003015872620838246,6530.26,6119.01,8436.4,6115.32,((((x)-(5))*((3)*(x)))*((x)*((x)-(x)))),((7)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult,AddTreeWithSub,80,82,85,85,4
85,x*x*x*x,25,-10,-0.0384721394806779,0.011426237466624346,-0.0383905032021958,0.01142857142857143,233.7932166666667,244.852,246.2852,244.832,-0.9595535224153706,0.28571428571428575,0.00030232028866639284,0,6133.02,6120.8,6189.12,6120.8,((((x)*(0))*((8)-(7)))-((x)*((x)+(x)))),(0),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|FellTreeD|DeleteNonTerminalR,AddTreeWithDiv,FellTreeD,80,84,86,86,4
86,x*x*x*x,25,-10,-0.03837624235757127,0.011429808428403385,-0.038254864868789845,0.011435853389846333,248.46739444444447,244.82139999999998,267.0405777777778,244.7696,-0.9461031382970999,0.28644248184177606,0.0066016757500324185,0.00041774659002239193,6751.684444444444,6119.74,8247.297777777778,6114.56,((((x)*(7))*((x)*(5)))/((9)-((x)+(x)))),((0)+(8)),AddTreeWithDiv|DeleteNonTerminalR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,ReplaceBranchR,86,86,87,87,4
87,x*x*x*x,25,-10,-0.03750514442556529,0.011433484418470044,-0.034807836884067446,0.011446869690236575,381.7628000000001,244.78990000000002,794.5047999999999,244.67520000000002,-0.6400130701869037,0.2865311723957653,0.16017773367031568,0.00037950154274156607,18331.2,6117.26,55085.2,6113.8,((((x)*(x))*((x)*(1)))-((9)*((x)+(x)))),((0)+(9)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult,AddTreeWithSub,87,86,88,88,4
88,x*x*x*x,25,-10,-0.03578659313944601,0.011427322758929739,-0.018357481469784317,0.011444909162201023,1929.7851714285714,244.8427,6921.736800000001,244.692,0.757059067764739,0.2865311723957653,0.8588390273571117,0.00027540750975596495,161986.19999999998,6119.620000000001,629865.04,6113.8,((((x)*(x))*((x)*(9)))*((x)*((x)+(x)))),((9)-(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,FellTreeD,88,86,89,89,4
89,x*x*x*x,25,-10,-0.038172364614647326,0.011431010418806134,-0.03724143249248464,0.011445282596112554,279.66476666666665,244.81109999999998,422.11600000000004,244.68880000000001,-0.8555535224153705,0.2861764101798085,0.0536728994811157,0.00023106223276136983,9812.676666666666,6119.8099999999995,22103.2,6116.84,((((7)*(8))*((2)*(x)))*((9)/((2)*(x)))),((5)+(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,DeleteTerminalR,89,86,90,90,4
90,x*x*x*x,25,-10,-0.04042772970853484,0.011434931474877235,-0.035294915697294475,0.011453264745971583,317.0988,244.7775,719.972,244.62040000000005,-0.7623615213697555,0.28644248184177606,0.09871960770342242,0.0003439170344099207,13704.580000000002,6118.63,36363.44,6114.56,((((x)*(6))*((3)*(4)))*((x)*((x)-(x)))),((0)+(8)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,90,89,91,91,4
91,x*x*x*x,25,-10,-0.03840758827044084,0.011429283286965292,-0.0379483989021043,0.011431418862146873,243.6708428571429,244.8259,313.936,244.80759999999998,-0.9149313815187556,0.2859990290718301,0.02285446415927001,0.0001423716787721796,7773.35,6120.1900000000005,13017.2,6118.36,((((8)*(7))*((6)+(x)))*((x)*((x)+(x)))),((0)+(3)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithMult,FellTreeD,91,90,92,92,4
92,x*x*x*x,25,-10,-0.0409788721424526,0.011429505013350263,-0.0382036910207816,0.011432305767686765,232.76298476190476,244.82399999999998,274.87120000000004,244.8,-0.9412782642791792,0.28608771962581925,0.009394392675926351,0.00018426970769969294,6829.33,6119.5,8985.6,6117.6,((((x)*(x))*((x)-(8)))+((8)*((x)+(x)))),((4)+(0)),DeleteNonTerminalR|MutateTerminalR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,FellTreeD,92,92,93,93,4
93,x*x*x*x,25,-10,-0.0438675040299743,0.011433099314748774,-0.03840280660480112,0.01144705640719234,173.2945333333333,244.79319999999998,244.40253333333334,244.6736,-0.9601735720820809,0.2861764101798085,0.0007369443198487947,0.00022743857413747693,6010.5599999999995,6119.2,6094.24,6116.84,(((3)*((2)*(x)))+((3)+(x))),((5)-(0)),DeleteNonTerminalR|MutateTerminalR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,FellTreeD,92,93,94,94,4
94,x*x*x*x,25,-10,-0.039168906025356165,0.011430508616987512,-0.030488498235524766,0.011448316746643766,509.724,244.81539999999998,1455.45,244.66279999999998,-0.23039184420337208,0.2861764101798085,0.727796780810006,0.0002188579402518161,32308.45,6119.389999999999,117765.44,6116.84,((((x)-(3))*((x)*(x)))*((x)*((4)*(6)))),((0)+(5)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,MutateNonTerminalR,FellTreeD,90,93,95,95,4
95,x*x*x*x,25,-10,-0.03847725566919357,0.011428618107810372,-0.038298825316952036,0.011436927012341993,233.01033750000002,244.8316,260.31375,244.76039999999998,-0.95782224545811,0.2862651007337977,0.0011912116119552703,0.00027540750975596495,6195.51,6119.620000000001,6454.04,6116.08,((((x)*(x))*((x)-(6)))-((x)+((3)*(1)))),((6)-(0)),AddTreeWithDiv|ReplaceBranchXR|AddXD|DeleteTerminalR|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,ReplaceBranchXR,AddTreeWithSub,95,95,96,96,4
96,x*x*x*x,25,-10,-0.04101241406352111,0.011434126258005493,-0.03837875571820677,0.011443135351121238,227.6304,244.78439999999998,248.0828,244.70719999999997,-0.9578951771010326,0.28635379128778693,0.0010598061506054452,0.0002828238037922599,6199.64,6118.02,6442.88,6115.32,((((x)*(x))*((x)*(2)))*((4)-((9)-(x)))),((7)+(0)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,AddTreeWithSub,96,95,97,97,4
97,x*x*x*x,25,-10,-0.04046308643127882,0.011429551692589206,-0.03630106092574267,0.011434266295722317,311.6885142857143,244.8236,566.0116571428572,244.7832,-0.7513015292118678,0.2859990290718301,0.10080694229972563,0.0001343735223368795,16034.31,6119.96,38055.84,6118.36,(((5)*((5)*(x)))*((x)*((3)*(x)))),((0)+(3)),AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|MutateNonTerminalR,AddRandomSubTreeR|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,ReplaceBranchR,AddRandomSubTreeR,96,96,98,98,4
98,x*x*x*x,25,-10,-0.03743771232518625,0.005714110667139684,-0.03362865507776761,0.011434966484306443,392.08126,311.449,974.9432,244.77719999999997,-0.8100232649326885,0.28635379128778693,0.07760247696571329,0.0003197527867505878,11269.39,6119.43,29070.24,6115.32,((((x)*(9))*((7)-(4)))*((x)*((x)+(x)))),((0)+(7)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddTreeWithDiv,ReplaceBranchR,98,98,99,99,4
99,x*x*x*x,25,-10,-0.03710597176839629,0.011431768956438937,-0.031664953600836494,0.011441361540041455,442.8442,244.8046,1275.4288,244.7224,-0.8100232649326885,0.28635379128778693,0.07760247696571329,0.0003197527867505878,11269.39,6119.43,29070.24,6115.32,((((x)*(9))*((7)-(4)))*((x)*((x)+(x)))),((0)+(7)),AddTreeWithDiv|ReplaceBranchXR|AddXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|ReplaceBranchR|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR,AddXD,ReplaceBranchR,98,98,99,99,4
