gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
14,x*x*x*x,25,-10,-0.0384201574957522,0.011599907575106897,-0.038399934649065486,0.012690217898687383,241.7475,243.36379999999997,244.842,234.02079999999998,-0.9600000000000001,0.33853651250070027,0,0.026172556662608818,6120.8,6004.33,6120.8,5668.16,(((0)*((5)-(5)))+((2)+(2))),((((9)-(0))*((8)-(6)))*((5)*((x)-((9)*(x))))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,12,13,15,15,1
15,x*x*x*x,25,-10,-0.03840021369755588,0.011581994417163025,-0.038400000000000004,0.0120956644322871,244.79930000000002,243.51729999999995,244.832,239.1156,-0.9600000000000001,0.30905390518512993,0,0.01004755989060332,6120.8,6049.48,6120.8,5920.8,(((x)*((0)*(1)))+((1)*((8)-(0)))),(((x)*((x)+(0)))-((5)*((x)*(5)))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,12,13,16,16,1
16,x*x*x*x,25,-10,-0.03843553522415371,0.009536344016817999,-0.038400000000000004,0.01163956158858786,239.39440000000002,271.0516,244.832,243.02399999999997,-0.9600000000000001,0.29747745392759123,0,0.0076121130368091644,6120.8,6105.62,6120.8,6020,(((x)*((0)*(7)))-((0)*(x))),(((x)-((0)-(4)))*((x)+(8))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,15,13,17,17,1
17,x*x*x*x,25,-10,-0.03840635733890995,0.012017114942957971,-0.038400000000000004,0.013958819575405646,243.85920000000002,239.78869999999998,244.832,223.15,-0.9600000000000001,0.4357226879772953,0,0.07589075632985534,6120.8,5810.37,6120.8,4835.36,(((x)*((0)-(2)))*((7)*((x)*(0)))),(((x)*(4))*((x)*(6))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,12,13,18,18,1
18,x*x*x*x,25,-10,-0.038400000000000004,0.011494820938439423,-0.038400000000000004,0.011632419665029784,244.832,244.2643,244.832,243.08520000000001,-0.9600000000000001,0.2940045185503296,0,0.00387190804486796,6120.8,6089.74,6120.8,6049.76,(((0)+(6))+((1)*(0))),((x)*((x)+(8))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR,17,16,19,19,1
19,x*x*x*x,25,-10,-0.038400000000000004,0.011444092275519542,-0.038400000000000004,0.011567815598334488,244.832,244.699,244.832,243.63879999999997,-0.9600000000000001,0.2915865339731502,0,0.0028322834183795924,6120.8,6105.99,6120.8,6070.48,(((0)*(x))*((4)+(8))),((x)+((8)*(7))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR,18,18,20,20,1
20,x*x*x*x,25,-10,-0.038400000000000004,0.00988994998921609,-0.038400000000000004,0.012002212595925838,244.832,264.3955,244.832,239.91639999999998,-0.9600000000000001,0.335184943144687,0,0.021582715410051665,6120.8,5966.72,6120.8,5696.88,(((x)*((0)*(x)))*((9)*(0))),(((x)*((7)*(x)))+((9)-(6))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,19,18,21,21,1
21,x*x*x*x,25,-10,-0.038400000000000004,0.011576369568870553,-0.038400000000000004,0.01195726048882499,244.832,243.56550000000004,244.832,240.3016,-0.9600000000000001,0.29620777862837727,0,0.0045380101490790255,6120.8,6068.15,6120.8,6030.88,(0),((x)*((9)*(6))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|SubXD|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithSub,20,21,22,22,1
22,x*x*x*x,25,-10,-0.038400000000000004,0.012536538174281608,-0.038400000000000004,0.019303639113467896,244.832,235.33769999999996,244.832,177.34959999999998,-0.9600000000000001,0.6764381873517935,0,0.19520389601001062,6120.8,5281.719999999999,6120.8,2772.64,(((0)*(7))*((2)-(8))),(((x)*((x)+(5)))*((7)*((x)+(4)))),AddRandomSubTreeR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|SubXD|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,AddRandomSubTreeR,AddTreeWithMult,21,21,23,23,1
23,x*x*x*x,25,-10,-0.038400000000000004,0.011501507739417818,-0.038400000000000004,0.011773110891200034,244.832,244.20700000000005,244.832,241.87960000000004,-0.9600000000000001,0.2982896726851766,0,0.005909271474368439,6120.8,6088.54,6120.8,6013.04,(((x)*(2))+((4)*(0))),(((x)-(1))*((x)*(2))),DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR,AddTreeWithMult|SubXD|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchXR,DeleteMaliciousR,SubXD,22,21,24,24,1
