generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
37,-0.9551781896848534,0.12487237452360962,-0.8859145375492524,0.19629967135610787,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,36,35,125537.5,125537.5,(((((((5)*(5))+(3))*(x))*(((7)+(9))-(1)))*((x)*(x)))+(0)),(((((((8)-(9))+(0))*(((9)+(0))*(((8)+(1))/((0)*((3)+(2))))))+((x)+(2)))-(x))/(x)),5*x*x*x,9
38,-0.9619071006547383,0.13528461592345548,-0.8482634427327973,0.22256671787051768,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,37,37,100128.5,100128.5,(((((((((1)*(5))+(9))*(6))*(x))*(((x)*(4))*(x)))*(x))+(x))/(x)),(((((((x)+((1)*(6)))*((3)*((x)*(x))))-(((1)/(x))+((x)*(((4)-(4))+(((7)+(x))+((2)+(4)))))))+(x))*(x))/(x)),5*x*x*x,9
39,-0.9434893932468678,0.15165844104891874,-0.829728434374543,0.25043010629902096,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyDivXD,StrategyAddTreeWithAdd,38,38,550556.5,550556.5,(((((((5)*(x))*(((x)*(5))*((x)*((x)*(x)))))*(x))+(x))/(x))+(x)),(((((((x)*((8)-(4)))+(((7)+((7)-(8)))/(x)))*(((1)+(3))/(((1)+(9))*(0))))+(x))-(x))/(x)),5*x*x*x,9
40,-0.9515838202603618,0.1158892464747883,-0.8828179417838458,0.19375342353672592,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,39,39,452669.8,452669.8,((((((((4)*(7))*(x))*((x)*(((7)*(x))-(5))))*(x))*(x))/(x))+(x)),(((((((((8)-(6))+(7))*((0)+(6)))*((((6)+(7))+(3))*(2)))+((x)/((1)*(0))))+(x))-(x))/(x)),5*x*x*x,9
41,-0.9703436749977886,0.1342763717972795,-0.8792956916248587,0.23478105471320093,StrategyAddToLeafR|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyDivXD,StrategyAddTreeWithAdd,40,40,997254.5,997254.5,((((((((5)*(9))*(((x)*(9))-(2)))*((x)*(x)))/(x))*(x))*(x))+(x)),((((((3)+((4)*(x)))-((9)*((9)-((8)*((2)+(9))))))*((((8)+(8))-((x)+((0)-(7))))+((x)/((0)-((4)*(0))))))+(x))/(x)),5*x*x*x,9
42,-0.9683024156392062,0.13044069225847418,-0.7711428170473813,0.20083048122956848,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyMutateTerminalR|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,40,41,1631993,1631993,(((((5)*((x)*(x)))*((x)*((9)*(5))))*((3)*(8)))+(x)),(((((((x)*(((x)+(3))+((9)-(5))))-((0)*(((9)+(9))+(2))))*((x)+((6)+(3))))+(x))*(x))/(x)),5*x*x*x,9
43,-0.9489773368592245,0.1489385038192445,-0.8227683601320808,0.2316190635610235,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,42,42,593543.5,593543.5,((((((x)+(2))*(((x)*((8)*(4)))*(x)))*((7)*(7)))+(x))-(x)),(((((((5)-(((8)+(7))+((5)+(x))))-((4)*((4)*(x))))*((((7)-(3))/(0))*((2)*(4))))+((8)+((0)*(9))))*(x))/(x)),5*x*x*x,9
44,-0.9332188369761608,0.14107616613080481,-0.8150677600028347,0.20985022630470201,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,43,42,252593,252593,((((((x)*(4))*(((7)*(7))-(7)))*(((6)*(x))-(x)))*(x))+(x)),(((((((x)+((3)*(x)))*((x)*((8)*(2))))*((((0)+(7))+((0)+(2)))+((x)/(((4)*(2))+((1)-(9))))))+((4)+(4)))-(x))/(x)),5*x*x*x,9
45,-0.9097335524213452,0.13841290853291402,-0.8186232347827168,0.23076419060737252,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyMultXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,44,44,819243.7,819243.7,((((((((x)*(4))*(3))*(x))*((x)*((9)*(3))))-(x))*(x))+(x)),(((((((x)-(((2)+(7))*(x)))*((x)-((x)*((0)+((4)+(1))))))-(((3)*((7)-(9)))+((7)-((0)/(x)))))+((x)*(7)))*(x))/(x)),5*x*x*x,9
46,-0.9195167373582895,0.12260763131758856,-0.7974637831519501,0.21847179150624402,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,45,45,440154,440154,((((((((x)*(x))*((4)*(5)))*(x))*((x)*(x)))+(x))+(x))+(x)),(((((((9)+((0)*((2)-(1))))*((8)*((x)+((7)+((x)+(3))))))+((((8)+(2))/(0))*((3)-(x))))+((x)*(2)))-(x))/(x)),5*x*x*x,9
47,-0.9134291804372469,0.13673773075093323,-0.8018614659845182,0.20842668787901103,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,46,46,355798.3,355798.3,(((((x)*(3))*(((2)+((x)*(2)))*(x)))*(((6)-(3))*(7)))*(x)),(((((((2)*(3))*((x)+(3)))+((6)/((((3)-(9))+(((6)-(7))+(7)))*((6)+(6)))))+(x))-((1)+(x)))/(x)),5*x*x*x,9
48,-0.9202222492322889,0.11928426289921831,-0.7298154137226243,0.27326512247455825,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,47,47,959458.5,959458.5,(((((5)*(((6)*((8)*((4)+(9))))*(8)))*((x)*(7)))+(x))+(x)),(((((((x)*((4)+((4)+(x))))*(((x)+(7))-(((7)-(7))+(5))))/((1)*((3)*((9)-(9)))))+(x))-(x))/(x)),5*x*x*x,9
49,-0.9317596017704712,0.1209482208042256,-0.8703540143084474,0.20763597254966143,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,48,48,96609.8,96609.8,((((((x)-(6))*(x))*((x)*((6)*((2)*(8)))))*((9)+(2)))+(x)),(((((((6)+(3))-(((1)-(4))*(5)))*(((6)+((8)+(6)))*((6)/(((1)+(2))*(0)))))+(x))-(x))/(x)),5*x*x*x,9
50,-0.9368074586208083,0.11655340570844794,-0.8703540143084474,0.1706995339525933,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategySubXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,49,49,96609.8,96609.8,((((x)-(6))*((x)*((x)*(6))))*(((2)*(8))*((9)+((2)+(x))))),(((((4)+(8))+((0)*(9)))+(((0)*(7))+((6)+(0))))*(((x)+((x)+(0)))-((7)+((x)-((x)-(x)))))),5*x*x*x,9
