generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
27,-0.9448289899734261,0.147272167682654,-0.828281057423822,0.23427719284257073,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,26,26,107557,107557,((((((x)-((7)*(8)))*((5)*((7)*(4))))*((x)*((6)+(9))))/(x))+(x)),(((((x)+((6)+(6)))*(((x)/(((3)+(9))/(0)))+(((2)+(x))+(((6)+(1))+((1)*((x)-(9)))))))+(x))-((0)-(1))),5*x*x*x,9
28,-0.9265848639975267,0.1402862235204691,-0.7340107679240486,0.2818646427161949,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,27,26,244277,244277,((((((4)+((9)*((9)-(1))))*(x))*((((7)+(3))*(9))-(6)))*(x))+(x)),(((((x)*(9))*(((5)/((0)-(0)))+((((4)-(8))+(7))-(((0)/((x)+(4)))+((2)-(6))))))+((1)+(1)))/(x)),5*x*x*x,9
29,-0.9564878951144816,0.14722552729047417,-0.7718049992855944,0.26943886908875814,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyDivXD|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddXD,StrategyAddTreeWithAdd,27,26,684530,684530,((((((((6)*(6))*(x))*((((9)*(6))+((1)+(8)))*(x)))-(x))*(x))+(x))+(x)),(((((((3)/(0))+((4)-(1)))*(((4)+(2))*(((1)+(x))*(8))))*((((3)+(3))/((0)-(3)))+(((5)-(9))/((x)-((x)+(8))))))+((5)-(0)))/(x)),5*x*x*x,9
30,-0.9542939775165221,0.15702711750130202,-0.8738496000999769,0.24647299492349392,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,29,29,150947.5,150947.5,(((((((4)*(5))+((x)*(5)))*((9)*(4)))*((x)*(x)))/(x))*((9)+(5))),((((((0)+((5)+(9)))/((4)*(0)))+((1)+((5)-(4))))-(x))/(x)),5*x*x*x,9
31,-0.9419395813904765,0.13940614533136092,-0.7353627643193772,0.2042012477887279,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithAdd,StrategyAddTreeWithAdd,30,29,238738.5,238738.5,((((((x)+(6))*((8)+((2)+(6))))*(((7)*(6))*((x)*(5))))+(x))+(x)),(((((((x)+(0))/((3)*((0)-(x))))+((x)/(((9)+(1))-((1)+(9)))))+((1)-(5)))-((1)+(9)))/(x)),5*x*x*x,9
32,-0.9659079799979169,0.1497733723465971,-0.8766849573266031,0.2521028425664332,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyDivXD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,31,31,179993,179993,(((((((5)*((x)*(6)))*((((5)*(1))*(4))*(x)))*(x))*(x))/(x))+(x)),((((x)-(2))+(((1)+((1)+(9)))/((((3)-(4))-(x))+((1)+(x)))))/(x)),5*x*x*x,9
33,-0.9281418842071911,0.11485736108238609,-0.8182193093214659,0.19755595782065222,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,32,32,1958687.5,1958687.5,(((((5)*(x))*((((3)*(3))*(4))*(((6)*(2))*(3))))*(x))*(x)),((((((((2)+((7)-(6)))*(2))*((((6)+(2))+(2))-((3)-(6))))/(((5)+(5))*(0)))+(x))-(x))/(x)),5*x*x*x,9
34,-0.9383314556560635,0.13043796507620786,-0.7531003497418638,0.2397278242710949,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,33,32,426879.8,426879.8,(((((5)*(x))*((((3)*(9))*(4))*((x)*((x)-(6)))))*(x))+(x)),(((((((((x)-(0))+(3))+((0)+(3)))*((6)*((8)*(5))))+(((2)*(5))-((((6)+(6))-(0))/((x)-(x)))))+(x))-(x))/(x)),5*x*x*x,9
35,-0.9500070923342978,0.1273729162820573,-0.811582614917314,0.20363673761870968,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddToLeafR,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddToLeafR|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyMutateNonTerminalR,StrategyAddTreeWithAdd,34,34,67138.5,67138.5,(((((5)*((x)+(6)))*(((8)*(4))*((4)+(2))))*(x))+((7)+(4))),(((((((0)-(3))+(((9)+(((3)-(5))+((0)+(3))))*((4)*(x))))*(((x)+((1)+(0)))*((x)+((x)/(x)))))+(x))-(x))/(x)),5*x*x*x,9
36,-0.9455276945338122,0.11816625405020409,-0.7935536137298393,0.2686621326396908,StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategySkipD|StrategyMutateNonTerminalR|StrategyAddXD,StrategyAddXD|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyMultXD|StrategyAddTreeWithSub|StrategySubXD|StrategyAddTreeWithAdd|StrategyDivXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,35,35,130988,130988,(((((((1)*(6))*((x)-((0)*(5))))*((x)*(x)))*(x))*(x))+(x)),(((((((((4)+(8))*((4)*(1)))*((1)-(9)))-(((x)+(x))/((x)*(((1)-(1))/(x)))))+((2)+(6)))*(x))-((x)+(2)))/(x)),5*x*x*x,9
