generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
14,-0.8349568954000193,0.1499130064840384,-0.4558274820798947,0.2516811769207224,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,12,13,178521.5,178521.5,(((((((5)*(7))*(x))*(((3)+((2)*(7)))*(x)))+(x))*(x))+((3)+(5))),((((((8)+(x))*((7)+((1)+(0))))*(((5)*(4))/((x)*(0))))+((5)+(x)))+(x)),5*x*x*x,8
15,-0.8990127335391991,0.16494393542559838,-0.6560935293742026,0.22900260772626382,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,14,14,150991.5,150991.5,(((((((2)*(7))*(x))*((((9)*(3))+(9))*(x)))+(x))*(x))+(x)),((((x)*(7))*(((1)+((7)+((8)+(6))))/((8)*((3)*(0)))))+(x)),5*x*x*x,8
16,-0.8853582630544266,0.15900704353202344,-0.6676397305149069,0.2541519572943127,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,14,15,124943.5,124943.5,((((((5)*(x))*((x)*(x)))+((5)+(6)))*((2)+((9)*(9))))+(x)),(((((2)-((3)*(1)))/((0)*((8)-(1))))*(((x)-(4))-(((x)+(9))*(4))))+(x)),5*x*x*x,8
17,-0.8969504593750095,0.13291689082366623,-0.7007538650381369,0.2640354683195592,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,14,15,123981,123981,(((((((2)+(7))*(x))*((x)*(x)))+(x))*(((9)*(5))+(1)))+(x)),((((((5)*(x))*(x))*((9)+(((2)-(0))-(3))))/((x)-(x)))+(x)),5*x*x*x,8
18,-0.9340932600409646,0.17603668988764462,-0.6436877018178535,0.26497937261180293,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,17,17,261994.7,261994.7,((((((((9)+(4))*(8))*(x))*((x)*(x)))+(x))*(x))+(x)),(((((((4)*(8))*(x))*((5)*(8)))*(((x)/(0))*((4)+(((7)*(0))*(0)))))+(x))+(x)),5*x*x*x,8
19,-0.9182729541965653,0.13275304438890148,-0.6498839385367571,0.2406116513066241,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,18,17,122314.5,122314.5,((((((((4)+(3))+(9))*((4)-(9)))*((x)*(x)))+(x))*((5)*(x)))+(x)),((((((4)-(5))+((7)*(6)))/((2)-(2)))+(x))*(x)),5*x*x*x,8
20,-0.9486723293051256,0.14536534548909727,-0.8054207287523513,0.2979846985103921,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,19,18,114955.5,114955.5,(((((((6)*(7))*((x)/(2)))*(((9)+(7))*((6)+(3))))+(x))*(x))+(x)),((((((8)-(x))*(((6)*(0))-((8)+(1))))/((0)*(9)))+(x))*(x)),5*x*x*x,8
21,-0.9539307219758781,0.14325958208223738,-0.8341719834710745,0.24653397439855204,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyAddRandomSubTreeR,20,20,39974,39974,((((((5)*(x))*((5)*(x)))+(x))*(((8)+(x))+((3)*(9))))+(x)),(((((8)+(((x)-(8))+(9)))/((0)*(6)))+((8)*(5)))*(x)),5*x*x*x,8
22,-0.9506164804597976,0.16603019560281834,-0.7383091418968168,0.3034137239247482,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyAddTreeWithMult|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyAddTreeWithMult,21,21,157536.5,157536.5,((((((5)*(x))*(((6)+((2)*((8)*(7))))*(x)))+(x))*(7))+(x)),(((((1)*(5))/((0)/((9)+(x))))+((0)*(0)))*(x)),5*x*x*x,8
23,-0.965592989576893,0.16456883908315878,-0.8923428472386201,0.2986585135021086,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,22,22,49467,49467,(((((((7)+((8)/(x)))*(x))*((x)*((7)*(3))))+(x))*(x))+(x)),(((((((4)+(9))+((7)+(8)))*((x)+(4)))+(x))+((4)*(2)))*(x)),5*x*x*x,8
