gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038399930074500065,-0.00567523853091099,-0.03839908508691675,0.01168068599809549,244.8427,444.3439,244.972,242.67160000000004,-0.9599542543458373,0.2958903598035738,0.000024694468618048457,0.005021918186617195,6122.38,6090.2,6127.8,6033.6,((1)-(8)),(((2)*((8)*(7)))+((2)+((7)+(x)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteMaliciousR,AddRandomSubTreeR,11,11,12,12,3
12,x*x*x*x,25,-10,-0.03840025225460724,-0.011430870381089307,-0.03839901450790746,0.011543542394084809,244.79340000000005,511.31370000000004,244.98280000000003,243.8468,-0.9599738596261927,0.29100771141027326,0.00002200454372571248,1.1439407257483851,6121.52,12768.45,6124.8,6075.44,((0)-(4)),((((4)*(x))*((3)+(0)))+((1)+((x)*(9)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,12,12,13,13,3
13,x*x*x*x,25,-10,-0.03839970657430401,-0.011318606811434546,-0.038399019735982226,0.01197873293873817,244.87689999999998,510.3517,244.982,240.11759999999998,-0.9599607894392891,0.29216535653602704,0.000021395088207946146,0.0031520007035993826,6123.57,6099.13,6126.8,6065.52,((2)-(8)),((((4)*(9))*((2)+(6)))*((3)*((1)+(0)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteMaliciousR,AddTreeWithDiv,13,13,14,14,3
14,x*x*x*x,25,-10,-0.03839974382433669,0.01191424816343128,-0.03839908508691675,0.013822842952368509,244.8712,240.67017777777778,244.972,224.31519999999998,-0.9599738596261927,0.43595608417200377,0.000012513751245008957,0.07394790181842022,6123.3,5782.889999999999,6124.8,4833.36,((3)-(7)),(((x)*((x)+(0)))*((4)*((6)+(x)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,AddTreeWithDiv,14,14,15,15,3
15,x*x*x*x,25,-10,-0.03839971049536008,-0.005536694549732059,-0.03839921578878578,0.01208931605579103,244.8763,443.1567,244.952,239.17,-0.9599477192523854,0.3168306663928152,0.000021592196664471372,0.015184799237301826,6125.05,6048.36,6128.8,5854.16,((1)-(9)),(((4)*((5)*(9)))*((5)+(x))),DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03839997516664488,0.005631908527363371,-0.03839921578878578,0.011615755176727603,244.8358,312.1534,244.952,243.22800000000004,-0.9599738596261927,0.2905549227925389,0.000012144025444329985,0.0022130833452134284,6122.23,6107.74,6124.8,6079.32,((4)-(8)),((((4)*(5))-((6)+(7)))+((x)*((2)*(7)))),DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,AddTreeWithSub,AddRandomSubTreeR,16,16,17,17,3
17,x*x*x*x,25,-10,-0.0383997150699255,0.0058127438990234715,-0.03839915043785126,0.011948204716470304,244.87559999999996,310.60380000000004,244.96200000000002,240.37919999999997,-0.9599477192523854,0.30432063035644275,0.00003298550252354465,0.00984193240391727,6123.75,6081.38,6128.8,5961.36,((1)-(9)),(((9)*((8)+(6)))*((5)+((2)+(x)))),DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteMaliciousR,AddRandomSubTreeR,17,17,18,18,3
18,x*x*x*x,25,-10,-0.038400215658083915,0.011504016748510934,-0.038399085086916744,0.011654872378960736,244.799,244.1855,244.972,242.8928,-0.9599803947196446,0.30091304591369944,0.000024733638050826907,0.006998892024683222,6120.68,6080.18,6123.8,5990.56,((x)-(5)),((((2)*(x))*((5)+(x)))-((5)+((3)+(x)))),DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,AddTreeWithSub,AddRandomSubTreeR,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03840003071493923,0.01144389388875404,-0.03839932557835577,0.011921690908751427,244.82730000000004,244.70069999999998,244.9352,240.6064,-0.9599542543458373,0.2943219373751331,0.00001799624410953489,0.0034490682862791497,6125.05,6090.08,6127.8,6047.04,((x)-(9)),((((3)*(0))+((5)*(8)))+((9)+((0)+(3)))),DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,19,19,20,20,3
20,x*x*x*x,25,-10,-0.038399671284799375,0.011444617416957636,-0.03839830087570253,0.01156730212670613,244.88229999999996,244.6945,245.092,243.6432,-0.9599411841589336,0.28967268517654093,0.00003850924539613472,0.0012376095943651352,6124.0599999999995,6099.21,6129.8,6086.88,((0)-(9)),((((5)+(0))*((6)+(7)))+((5)*((0)+(8)))),DeleteTerminalR|DeleteMaliciousR|MutateTerminalR|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,20,20,21,21,3
