A,P,AFinal,PFinal,AGen,PGen,count,run
AddToLeafR,DivXD,FellTreeD,AddTreeWithMult,0,0,0,4
ReplaceBranchR,ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,0,0,1,4
MultXD,AddTreeWithMult,SubXD,AddTreeWithMult,0,0,2,4
AddXD,ReplaceBranchXR,AddXD,ReplaceBranchXR,0,0,3,4
DeleteTerminalR,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,0,0,4,4
,MutateTerminalR,,FellTreeD,0,0,5,4
,FellTreeD,,FellTreeD,0,0,6,4
,MutateTerminalR,,MutateTerminalR,0,0,7,4
,ReplaceBranchXR,,ReplaceBranchXR,0,0,8,4
,DeleteNonTerminalR,,DeleteNonTerminalR,0,0,9,4
,DeleteMaliciousR,,DeleteMaliciousR,0,0,10,4
,SubXD,,SubXD,0,0,11,4
,FellTreeD,,MutateNonTerminalR,0,0,12,4
,AddTreeWithSub,,AddTreeWithSub,0,0,13,4
,ReplaceBranchXR,,ReplaceBranchXR,0,0,14,4
,DeleteMaliciousR,,DeleteMaliciousR,0,0,15,4
,ReplaceBranchR,,ReplaceBranchR,0,0,16,4
,AddTreeWithMult,,AddTreeWithMult,0,0,17,4
,AddXD,,SubXD,0,0,18,4
,MultXD,,MultXD,0,0,19,4
