gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03841600313684486,0.011432504154452268,-0.03839986929813097,0.011450697387829792,242.3832,244.79829999999998,244.852,244.64239999999998,-0.9599869298130964,0.2865871874824954,0.000012513751245008957,0.00041249544844306065,6121.3,6118.43,6122.8,6113.32,(((x)*((x)*(0)))*((x)-(x))),((0)+((7)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,ReplaceBranchXR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.03840535485557443,0.011434254625912582,-0.03839973859626193,0.011446029463935622,244.01260000000002,244.78329999999997,244.872,244.68239999999997,-0.9599869298130964,0.2865871874824954,0.000006535093451831564,0.0003751488395102275,6122.3,6117.93,6122.8,6113.32,((0)*((x)-(x))),((7)-((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,ReplaceBranchXR,12,12,13,13,4
13,x*x*x*x,25,-10,-0.041005289504639914,0.011442458502156583,-0.038399607894392895,0.011467035121459381,228.7206,244.713,244.892,244.50239999999997,-0.9599869298130964,0.2867645685904737,0.000016204220723854304,0.0004035437530076165,6120.32,6116.9400000000005,6122.8,6111.8,((0)*((x)-(x))),((0)+((9)+(x))),FellTreeD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,AddXD,ReplaceBranchXR,13,13,14,14,4
14,x*x*x*x,25,-10,-0.03840022219317736,0.011435573314412684,-0.03839960789439289,0.011437907276359769,244.79800000000003,244.77200000000002,244.892,244.752,-0.9599869298130964,0.2859476819089942,0.000007546075927188628,0,6121.8,6118.8,6122.8,6118.8,((0)*((x)-(x))),((0)+(x)),FellTreeD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,14,14,15,15,4
15,x*x*x*x,25,-10,-0.038400125473794275,0.011434978154116178,-0.03839960789439289,0.011442528521014995,244.81279999999998,244.7771,244.892,244.71239999999997,-0.9599869298130964,0.2864098063745169,0.000006535093451831564,0.000291521096933312,6121.3,6118.3099999999995,6122.8,6114.84,((0)*((x)-(x))),((5)-((0)+(x))),FellTreeD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchXR,15,15,16,16,4
16,x*x*x*x,25,-10,-0.038399964710495366,0.011439716096868757,-0.03839947719252386,0.011454245009989358,244.8374,244.73649999999998,244.912,244.612,-0.9599869298130964,0.2867645685904737,0.000007546075927188628,0.0005009416768428834,6121.8,6117,6122.8,6111.8,((0)*((x)-(x))),((9)+((0)+(x))),DeleteNonTerminalR|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddXD|AddXD|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchXR,16,16,17,17,4
17,x*x*x*x,25,-10,-0.03839993203502811,0.011428629777620108,-0.03839947719252386,0.01144070803069627,244.84240000000003,244.8315,244.912,244.72800000000004,-0.9599869298130964,0.2859476819089942,0.000007546075927188628,0.00011669809735423421,6121.8,6119.3,6122.8,6118.8,((0)*((x)-(x))),((0)*((6)+(x))),FellTreeD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,AddTreeWithMult,17,17,18,18,4
18,x*x*x*x,25,-10,-0.038400253561625936,0.011431733947009727,-0.03839960789439289,0.01143986780439532,244.79319999999998,244.80489999999998,244.892,244.7352,-0.9599869298130964,0.2859476819089942,0.000006535093451831564,0.00011669809735423421,6121.3,6119.3,6122.8,6118.8,((0)*((x)-(x))),((0)+(x)),FellTreeD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,AddTreeWithMult,18,18,19,19,4
19,x*x*x*x,25,-10,-0.03839956476277611,0.011439751106297963,-0.03839607894392891,0.011453731538361003,244.89860000000002,244.7362,245.43200000000002,244.6164,-0.9596340347666973,0.28667587803648453,0.00019379045839306843,0.000422586783188108,6132.34,6116.9400000000005,6176.8,6112.56,((0)-((x)*(x))),((8)+((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddTreeWithAdd|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,ReplaceBranchXR,19,19,20,20,4
20,x*x*x*x,25,-10,-0.03839672722519932,0.011439447691244845,-0.03839268069533395,0.011467035121459381,245.3328,244.7388,245.952,244.50239999999997,-0.9596340347666973,0.2865871874824954,0.00021883620188859843,0.00045851908620502376,6147.8,6117.44,6176.8,6113.32,((0)-((x)*(x))),((7)-((0)+(x))),FellTreeD|DeleteNonTerminalR|SubXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,FellTreeD,AddTreeWithMult,20,20,21,21,4
