gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x,25,-10,-0.028899600299728462,0.011452086095188307,-0.002959232462800927,0.011730586104524154,3590.6953999999996,244.63050000000004,13236.4272,242.24400000000003,0.7972186380110707,0.29832701607632994,0.8386056339352985,0.005806458282752256,204514.99999999997,6087.08,754605.84,6012.72,((((3)*(2))*((9)*((x)*(x))))+((x)*((4)*((5)*(x))))),(((6)*(5))*((7)-(0))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,SubXD,21,21,22,22,1
22,x*x*x*x,25,-10,-0.02387407467934596,0.011458457811303849,0.005678245786602574,0.011561373863360536,7335.735,244.5759,26462.26880000001,243.69400000000002,0.892197821942307,0.29130645853950005,0.8324428805669555,0.003155774336542015,385448.86,6110.08,1419451.84,6072.88,((((x)*(2))+((7)*((7)*(3))))*((9)+((8)*((x)*(x))))),(((x)+(4))+((4)*(9))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,22,22,23,23,1
23,x*x*x*x,25,-10,-0.026015239460699363,0.01205117911757567,0.005759896947426049,0.016216087532908863,3194.1766000000002,239.4968,11219.093599999998,203.80720000000002,0.7632955447710807,0.48025468192766585,0.8129798784383327,0.09686154128364105,185770.30000000002,5698.73,646460.16,4453.76,((((1)-(8))*((8)*((2)*(1))))+((8)*((x)*((x)*(x))))),(((x)*(8))*((4)*(x))),SubXD|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,23,23,24,24,1
24,x*x*x*x,25,-10,-0.027256139300888726,0.011384646264727303,-0.007904238290994469,0.011546763261571787,2456.6189,245.20840000000004,6937.5068,243.81920000000002,0.6191975405665859,0.28649849692850615,0.6728383227620192,0.0006537135349543469,151179.37,6120.870000000001,401835.64,6114.08,((((x)*(9))+((5)*((x)*(8))))*((x)+((9)-((1)*(x))))),(((x)+(6))+((0)*(4))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,24,24,25,25,1
25,x*x*x*x,25,-10,-0.017104921350112073,0.011444524058479753,0.028879804862262465,0.011595356349310087,8123.057199999999,244.69529999999997,29018.596799999996,243.40279999999998,0.8539843474884735,0.2879268816401218,0.8576703087369857,0.0005070000737193855,294770.66,6105.650000000001,1047969.84,6101.84,((((x)*(9))*((3)*(8)))+((2)*((x)*((x)*(8))))),((x)*((5)*(2))),MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,MutateNonTerminalR,MutateTerminalR,25,25,26,26,1
26,x*x*x*x,25,-10,-0.026995630933943436,0.011644953040685626,-0.0032974978760529575,0.012669165561924682,2152.4588,242.9778,6245.432,234.2012,0.339033660473228,0.3457811303844503,0.6940235951489039,0.037760530404742476,103438.14,5955.91,231509.52,5606.08,((((x)*(6))*((3)*(x)))*((3)+((x)+((x)*(x))))),(((x)*(x))+((6)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,26,26,27,27,1
27,x*x*x*x,25,-10,-0.024199869910717063,0.011666250443452772,0.0038586774607783304,0.012437029706667664,2771.7138,242.7953,8127.166399999999,236.1904,0.5122887179395649,0.3177082360849189,0.6694602766242215,0.01609466330120637,129306.96,6053.13,313751.2,5846.64,((((x)*(6))*((8)*((7)*(3))))+((7)*((1)*((2)*(x))))),(((x)*(4))*((8)*(9))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,27,27,28,28,1
28,x*x*x*x,25,-10,-0.01433814265586964,0.011451199189648414,0.022868247058767645,0.011516701831693336,13930.5538,244.63810000000004,46600.7256,244.0768,0.9579345638850654,0.2889724965924156,0.9733142945284884,0.0013440507154695387,1063241.94,6108.25,3637665.84,6092.88,((((x)*(9))*((8)+((8)*(5))))*((8)+((7)*((x)*(x))))),(((6)*(7))+((5)*(0))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,28,28,29,29,1
29,x*x*x*x,25,-10,-0.028155200189846723,0.011432819239315127,-0.01482632846099329,0.011939242302593502,2819.6526,244.79559999999998,7299.4872000000005,240.456,0.7501942353279355,0.3087925014470565,0.8762551344560561,0.011096875523515518,231026.18,6057.24,612555.92,5923.04,((((x)*(x))+((5)*((x)*(1))))+((4)*((8)+((8)*(x))))),(((4)*(7))*((6)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MultXD|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd,MutateTerminalR,29,29,30,30,1
30,x*x*x*x,25,-10,-0.032846634278395015,0.011438969229045692,-0.01726821009750373,0.011523003528950465,2099.6566000000003,244.74290000000002,7498.6128,244.02280000000002,0.7727251933603319,0.29114308120320415,0.8490495033898097,0.002330837014018536,177287.58000000002,6100.18,673281.84,6074.28,((((4)+(4))*((6)+((9)*(2))))*((9)*((7)*((7)*(x))))),(((9)-(0))*((8)+(1))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MultXD|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,30,30,31,31,1
31,x*x*x*x,25,-10,-0.02437474205912048,0.011493607278226937,0.015104173836449708,0.011901432119050733,5037.285,244.27470000000002,19017.2728,240.78,0.8604624221710055,0.3021360419739717,0.9148432930377207,0.008180039074858555,277704.6,6084.8,1096622.16,5980.08,((((6)*(9))*((6)*((x)*(2))))-((8)+((0)*((x)*(x))))),(((x)*(2))*((x)+(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,31,31,32,32,1
32,x*x*x*x,25,-10,-0.01927836888718184,0.01161471656366115,0.00922904699734504,0.01219467109808242,12763.3708,243.2369,45903.21599999999,238.2672,0.96274217585693,0.32305767686763637,0.8949224442663365,0.015956943085628995,1048209.84,5993,4107056.8,5800.8,((((7)+(0))*((x)*((8)*(x))))*((3)+((9)*((x)*(x))))),((x)*((x)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|MultXD|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|MutateNonTerminalR,MultXD,MutateTerminalR,32,32,33,33,1
33,x*x*x*x,25,-10,-0.021625486835011268,0.011549960789439291,0.002283466889447331,0.012041749911309449,4951.5056,243.7918,14346.707199999999,239.57760000000002,0.7860604828909344,0.3064398678043954,0.9251264904907995,0.009570772511166437,256080.76,6061.52,715248.88,5943.2,((((x)*(5))+((9)*((x)+(1))))*((x)*((0)+((8)*(x))))),(((9)*(4))+((2)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,33,33,34,34,1
34,x*x*x*x,25,-10,-0.02823867357262442,0.011777545418899494,-0.0030178049949807473,0.012870586477958069,22501.683699999998,241.8416,88466.87759999999,232.47519999999997,0.9821740162515005,0.3528763747035869,0.8924741933276074,0.031687810239324814,2170954.76,5862.799999999999,8584098.48,5545.28,((((1)+(x))*((9)*((x)+(9))))*((x)*((x)*((x)*(x))))),(((x)*(9))*((x)+(6))),AddTreeWithMult|AddXD|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,34,34,35,35,1
35,x*x*x*x,25,-10,-0.023304557267561893,0.011573988927684527,0.012334232045946397,0.012275892973840956,6272.620199999999,243.58590000000004,22879.7184,237.57120000000003,0.8867070582435593,0.30278021547136696,0.8869799419668561,0.010442673322531806,351902.82,6053.52,1350657.84,5974.56,((((5)+(7))*((9)*((5)+(2))))*((x)*((5)*((7)*(8))))),(((5)*(1))*((8)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|FellTreeD|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,FellTreeD,35,35,36,36,1
36,x*x*x*x,25,-10,-0.021858456194479205,0.01146349916910955,-0.00002601628886064411,0.01158060570980451,12767.841600000003,244.5327,45014.9168,243.52919999999997,0.9587420749301295,0.2902328360438412,0.9066907039280376,0.002221953021075512,953564.2200000001,6110.26,3708863.2,6082.08,((((4)+(9))*((9)*((1)+(8))))*((x)*((7)*((9)*(x))))),(((4)*(6))+((9)*(4))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,36,36,37,37,1
37,x*x*x*x,25,-10,-0.013300720963661982,0.011846222249192451,0.023771161410904077,0.013063371734787237,11157.942,241.2531,31849.941600000002,230.82319999999999,0.9119425836642133,0.4357226879772953,1.0155135496582028,0.07445025872021356,655549.72,5792.15,1737729.84,4835.36,((((9)*(5))*((x)*((5)+(9))))*((9)*((4)*((5)+(7))))),(((4)*(x))*((6)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,37,37,38,38,1
38,x*x*x*x,25,-10,-0.03130671985693407,0.011555784024497267,-0.012250452816835754,0.011843549862763042,9182.5308,243.7419,35655.376000000004,241.27599999999998,0.9555193503906635,0.311378531284426,0.9268539371711045,0.012653690159585437,872109.92,6063.38,3440147.6,5900.88,((((9)*(4))+((x)*((x)*(6))))*((8)*((5)+((7)*(x))))),(((x)+(9))*((8)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,38,38,39,39,1
39,x*x*x*x,25,-10,-0.02826520544153091,0.011515896614821594,-0.00934974608974145,0.012029800026140377,2066.1091999999994,244.0837,5771.905599999999,239.68,0.558612111715961,0.3115372406968277,0.7427973266695862,0.012392396992838471,123187.01999999999,6056.8,346679.2,5899.52,((((1)*(x))+((x)*((9)*(x))))*((1)+((9)*((7)*(5))))),(((5)+(9))*((6)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|SubXD|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,39,39,40,40,1
40,x*x*x*x,25,-10,-0.021440695867074165,0.011458411132064906,0.007327615172403907,0.01178856171928973,4047.416,244.57630000000006,12071.956800000002,241.74720000000002,0.6713651725257677,0.30078234404466275,0.6034663777993999,0.0069775728891707306,181406.26,6080.17,465623.2,5991.68,((((9)*(x))*((x)*(7)))+((6)*((8)*((9)+(0))))),(((x)*(2))*((7)*(6))),AddTreeWithMult|SubXD|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,40,40,41,41,1
41,x*x*x*x,25,-10,-0.026619744361308227,0.012077786283772431,-0.0090007979395594,0.013778030882984486,2482.938,239.26879999999997,5885.7304,224.69920000000002,0.47101294763394624,0.4357226879772953,0.8074449381705691,0.07331552739552086,148314.4,5776.2,289269.84,4835.36,((((9)*(2))+((3)*(9)))*((x)*((2)*((x)*(x))))),(((8)*(x))*((3)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,41,41,42,42,1
42,x*x*x*x,25,-10,-0.028959670713563396,0.01161614028044887,-0.010577132730086822,0.012393711372929779,1877.4906000000003,243.2247,5254.6848,236.5616,0.49721235762783594,0.3157570438971564,0.6323502318098605,0.010531723487229758,108112.26000000001,6046.969999999999,304343.2,5863.36,((((x)*(x))*((7)+(4)))*((5)+((4)*((7)*(8))))),(((x)*(9))*((9)*(6))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,AddRandomSubTreeR,42,42,43,43,1
43,x*x*x*x,25,-10,-0.02594968031151308,0.011452891312060051,-0.006772544275721628,0.011572436842989715,5218.380999999999,244.6236,17358.069600000003,243.5992,0.8991946640498475,0.28757211942416494,0.7161586975557,0.0014707460792872616,443005.31999999995,6111.93,1517975.2,6104.88,((((6)+(8))*((3)*(x)))*((9)*((8)*((9)*(x))))),(((6)+(5))*((2)-(0))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,43,43,44,44,1
44,x*x*x*x,25,-10,-0.031874902627107564,0.011685774035140133,-0.018402859756894527,0.01313973896969584,1287.0224,242.62800000000004,3479.6744,230.1688,0.2857142857142857,0.3998730324700786,0.579702388548428,0.056027764738080674,76527.64,5862.58,214228,5142.56,((((x)*(x))*((0)*(x)))+((6)*((x)*((x)*(6))))),(((x)*(x))*((6)*(3))),AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd,MutateTerminalR,44,44,45,45,1
45,x*x*x*x,25,-10,-0.027775804978862936,0.01147009261161006,-0.010892863099349257,0.011605158989487836,2231.4526,244.47620000000003,5897.599200000001,243.31880000000004,0.6080729895030564,0.29401385439811795,0.7381739627921471,0.003955180469426026,119720.64,6097.67,390429.84,6049.68,((((3)+(6))+((4)*(6)))*((9)*((x)*((x)*(x))))),((6)*((7)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,45,45,46,46,1
46,x*x*x*x,25,-10,-0.029882400792927324,0.012042088335791776,-0.014735233808227405,0.013722856022555407,1583.6946000000003,239.5747,4008.0128000000004,225.172,-0.10122964318389756,0.48025468192766585,0.48895838138259123,0.09486845985001718,72814.98,5670.969999999999,137529.84,4453.76,((((x)*(x))*((1)*(7)))*((x)*((6)+((6)*(5))))),(((x)*(4))*((x)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,46,46,47,47,1
47,x*x*x*x,25,-10,-0.036997236962488564,0.011503666654218871,-0.03268069533394328,0.011707899994398495,459.48280000000005,244.18849999999998,1120,242.4384,-0.5979009279832702,0.2946113486565715,0.1813501129828543,0.003252140712219993,19904.36,6072.74,61529.2,6044.56,((((x)*(3))*((5)*(x)))+((3)*((1)-((7)*(x))))),(((5)*(8))+((5)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,47,47,48,48,1
48,x*x*x*x,25,-10,-0.033156857814394335,0.011549027204660459,-0.02153960744369679,0.012120917900554553,1055.5801000000001,243.79980000000003,2858.5791999999997,238.89919999999998,0.13793103448275867,0.30582370185036517,0.5126563505059456,0.00993151463217427,59730.11,6075.84,177503.2,5948.48,((((x)*(x))*((6)*(3)))+((6)+((6)*((x)*(x))))),(((x)*(5))*((8)*(3))),AddTreeWithMult|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,48,48,49,49,1
49,x*x*x*x,25,-10,-0.030103424802228895,0.011488239165748646,-0.005960934864385452,0.011812461489627876,1518.6521,244.3207,5225.7704,241.5424,0.09720157266990458,0.30078234404466275,0.5284122355910763,0.008474164152373405,47007.74,6066.05,169495.2,5991.68,((((x)*(7))*((8)*(7)))*((0)+((2)+((6)*(x))))),(((x)*(9))+((3)*(7))),AddTreeWithMult|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithMult|SkipD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|MutateTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|FellTreeD|DeleteTerminalR|MutateNonTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,49,49,50,50,1
