gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.0278780401092523,0.011444570737718693,-0.005849078486937296,0.011632653061224492,2528.6369999999997,244.6949,7920.7127999999975,243.0832,0.7120854855109494,0.29200664712362534,0.7337275660190116,0.0023521766850977113,161334.52,6095.84,531477.2,6066.88,((((x)*(8))*((x)*((6)*(2))))+((3)*((8)*((5)-(x))))),((x)*((x)-(1))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|DeleteMaliciousR|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.030093777525465618,0.011472928375375769,-0.012288690026055397,0.011580092238176153,1571.0868,244.4519,4461.3312,243.5336,0.3145898916566482,0.29224937916612215,0.6166854831326533,0.002686325311707254,66036.8,6093.43,223253.2,6064.8,((((8)+(0))*((8)+((0)*(x))))*((8)*((x)*((8)-(x))))),((0)+((x)*(x))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|DeleteMaliciousR|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.02867282165559753,0.01151085525701589,-0.009115137099451935,0.01205201934387662,2346.6776,244.12689999999998,7179.5728,239.4896,0.6951241379914933,0.3105383049834756,0.788644366653476,0.01281063861885085,144203.52,6070.99,501909.2,5908.08,((((6)*(2))*((x)*((8)+(4))))*((7)*((9)*((x)-(x))))),(((6)*(4))*((x)*(7))),AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd,DeleteMaliciousR,13,13,14,14,1
14,x*x*x*x,25,-10,-0.03141786041040387,0.011471049536008367,-0.01894358384524899,0.011740388744701909,1313.239,244.468,3222.0527999999995,242.16,-0.41915305188864205,0.29832701607632994,0.3012552537518019,0.0075416407026113515,48548.92,6086.43,88881.2,6012.72,((((1)+(x))*((7)*((9)*(2))))*((x)*((6)+((7)-(x))))),(((9)+(6))*((2)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,14,14,15,15,1
15,x*x*x*x,25,-10,-0.03545055809698079,0.01149974559814777,-0.027669089007972814,0.011663087925014476,696.1555999999999,244.22209999999998,1886.876,242.82240000000002,-0.494252777414717,0.29301491868476587,0.22052160271580418,0.003625744092062546,28295.620000000003,6094.04,77389.44,6058.24,((((x)*(x))*((x)*((5)*(9))))+((8)+((6)*((2)-(x))))),(((x)*(9))*((3)+(1))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,15,15,16,16,1
16,x*x*x*x,25,-10,-0.03009339999993637,0.011500935918740782,-0.011990936295654522,0.01169945105215005,3962.2164000000007,244.21189999999999,14071.180799999998,242.51080000000002,0.8791377127427427,0.3047034001157646,0.9021820905030109,0.010072550909850844,325465.52,6084.5,1266069.04,5958.08,((((x)*(5))+((1)*((8)*(7))))*((8)*((x)*((x)-(x))))),(((x)*(4))*((4)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,16,16,17,17,1
17,x*x*x*x,25,-10,-0.02867523705493572,0.011427836230558097,-0.010237306865671503,0.011486827118770658,1763.1763999999998,244.8383,4675.332,244.3328,0.2444695486962138,0.28854304759415206,0.5754715151826751,0.0010203970236788817,62286.16,6107.25,202533.2,6096.56,((((x)*(9))+((1)+((4)*(9))))*((9)*((9)*((x)-(x))))),((x)*((6)+(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,17,17,18,18,1
18,x*x*x*x,25,-10,-0.026939144016540465,0.011360081315234239,-0.007156936803320389,0.011583079709468418,2626.9784000000004,245.4189,7539.2704,243.50799999999998,0.5750334985357513,0.28834232686670286,0.6995973662677584,0.0011566188569326664,126647.56,6109.02,360075.44,6098.28,((((9)*(x))*((8)*(8)))+((1)*((x)*((x)-(x))))),(((1)*(5))+((7)*(4))),AddTreeWithMult|AddRandomSubTreeR|DeleteTerminalR|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,SubXD,18,18,19,19,1
19,x*x*x*x,25,-10,-0.02104940658145792,0.01147604421457513,0.006816931564946381,0.011591715368672633,5670.4115,244.42520000000002,17746.0304,243.43400000000003,0.8760499786704224,0.2883656664861737,0.9486404432548998,0.0008358364938330384,379021.84,6102.379999999999,1234529.84,6098.08,((((4)+(8))*((8)*((x)*(6))))*((8)*((7)*((6)-(x))))),((x)+((5)*(6))),MutateTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|SkipD|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,MutateTerminalR,MutateTerminalR,19,19,20,20,1
20,x*x*x*x,25,-10,-0.02244771494543059,0.011440754709935212,0.012114088591039377,0.01160744627219598,19558.3106,244.72760000000002,75464.33760000001,243.29919999999998,0.9779346866725508,0.29165655283156267,0.9259433934812122,0.0011952255364117133,1751467.5,6112.92,6934866.4,6069.88,((((9)+(9))*((x)*((x)*(x))))*((7)*((5)+((4)*(x))))),(((x)+(7))+((4)*(7))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,FellTreeD,20,20,21,21,1
