gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
10,x*x*x*x,25,-10,-0.03840057508822376,0.011439797785536908,-0.038400261403738076,0.011450604029351908,244.74400000000003,244.7358,244.792,244.6432,-0.9600000000000001,0.2861717422559143,0.000025356162593082043,0.00011203017346003709,6118.860000000001,6117.360000000001,6120.8,6116.88,(0),((x)-((0)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,ReplaceBranchR,DeleteMaliciousR,10,10,11,11,0
11,x*x*x*x,25,-10,-0.03840037838191086,0.011445796067740915,-0.03840013070186904,0.011457512556715278,244.7741,244.68439999999998,244.812,244.584,-0.9600000000000001,0.2867645685904737,0,0.00042661521649129124,6120.8,6115.68,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,AddXD,11,11,12,12,0
12,x*x*x*x,25,-10,-0.038400000000000004,0.011437358795302206,-0.038400000000000004,0.011458726216927761,244.832,244.7567,244.832,244.5736,-0.9600000000000001,0.2867645685904737,0,0.00043003209289496766,6120.8,6116.46,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|MultXD|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,12,12,13,13,0
13,x*x*x*x,25,-10,-0.038400000000000004,0.011445982784696683,-0.038400000000000004,0.011472776667849209,244.832,244.68280000000001,244.832,244.4532,-0.9600000000000001,0.28706798364359476,0,0.0005299738447868583,6120.8,6115.41,6120.8,6109.2,(0),(((x)*(5))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,FellTreeD,DeleteMaliciousR,13,13,14,14,0
14,x*x*x*x,25,-10,-0.038400000000000004,0.011448491793789794,-0.038400000000000004,0.01146096682039696,244.832,244.6613,244.832,244.55440000000002,-0.9600000000000001,0.2867645685904737,0,0.0002520678902851181,6120.8,6115.8,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,AddXD,14,14,15,15,0
15,x*x*x*x,25,-10,-0.038400000000000004,0.011440918087271507,-0.038400000000000004,0.01146143361278638,244.832,244.72619999999998,244.832,244.5504,-0.9600000000000001,0.28667587803648453,0,0.0003114593296415386,6120.8,6115.8,6120.8,6112.56,(0),((0)+((8)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,AddTreeWithAdd,DeleteMaliciousR,15,15,16,16,0
16,x*x*x*x,25,-10,-0.038400000000000004,0.011442248445581345,-0.038400000000000004,0.011449110293705773,244.832,244.71480000000003,244.832,244.65600000000003,-0.9600000000000001,0.2861717422559143,0,0.00011203017346003709,6120.8,6117.360000000001,6120.8,6116.88,(0),(((x)*(1))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddRandomSubTreeR|DeleteNonTerminalR,FellTreeD|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,FellTreeD,16,16,17,17,0
17,x*x*x*x,25,-10,-0.038400000000000004,0.01144259853987341,-0.038400000000000004,0.011456859047370095,244.832,244.7118,244.832,244.5896,-0.9600000000000001,0.2863958026028344,0,0.0001906576929104432,6120.8,6117.110000000001,6120.8,6114.96,(0),(((x)-(0))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|AddTreeWithAdd,FellTreeD|AddXD|DeleteTerminalR|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,AddTreeWithAdd,FellTreeD,17,17,18,18,0
18,x*x*x*x,25,-10,-0.038400000000000004,0.011458329443396758,-0.038400000000000004,0.011518522322012064,244.832,244.57699999999997,244.832,244.0612,-0.9600000000000001,0.2924734395130422,0,0.0031152963092274132,6120.8,6102.9,6120.8,6062.88,(0),(((x)*(x))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,FellTreeD,DeleteMaliciousR,18,18,19,19,0
19,x*x*x*x,25,-10,-0.038400000000000004,0.011441664955094575,-0.038400000000000004,0.011463580857777697,244.832,244.71980000000002,244.832,244.532,-0.9600000000000001,0.28649849692850615,0,0.00022681499361907223,6120.8,6116.66,6120.8,6114.08,(0),((0)+((6)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|DeleteMaliciousR|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,AddXD,19,19,20,20,0
