A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,SkipD,0,0,0,0
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,SkipD,0,0,1,0
SkipD,SkipD,SkipD,AddTreeWithDiv,0,0,2,0
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,AddTreeWithAdd,0,0,3,0
SkipD,SkipD,SkipD,MultXD,0,0,4,0
SkipD,SkipD,SkipD,DivXD,0,0,5,0
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,AddXD,0,0,6,0
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,MultXD,0,0,7,0
SkipD,SkipD,SkipD,AddXD,0,0,8,0
MultXD,MultXD,MultXD,SubXD,0,0,9,0
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,MutateTerminalR,0,0,10,0
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,ReplaceBranchXR,0,0,11,0
MutateTerminalR,MutateTerminalR,MutateTerminalR,MultXD,0,0,12,0
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,13,0
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,AddRandomSubTreeR,0,0,14,0
