gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
12,-0.3140853870518862,0.2268444369158449,0.0029789043259612256,0.30724384459670995,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,11,9,3197978.7625,0,((((((((((x)+(7))*((x)*(x)))+((x)-(6)))*(x))*(x))-(x))*(x))+((1)/(8)))*(x)),((((((((((6)*(4))+(1))*(((5)/(1))*((x)-(1))))*((1)-((0)/(((7)+(3))*((3)/((0)/(4)))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
13,-0.5160666938172075,0.3761825297583732,-0.12041120809799949,0.582419950573524,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,11,9,21109051.233333338,0,((((((((((5)*(x))*(((x)/(3))*((x)*(7))))+((x)-(2)))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((2)*(0))-(((8)*(2))*(((1)/(7))-((5)*(x)))))*(((x)*((5)-((8)/(0))))*((5)/((9)+(((x)*(3))*(x))))))/((1)/(5)))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
14,-0.6212233976238676,0.3311819310311226,-0.3145662081544843,0.7219195098369857,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,13,9,363315,0,(((((((((((x)-(6))*(x))*((6)+(9)))+((x)*(6)))*(x))*((9)/(3)))-(x))*(x))+(x))*(x)),((((((((((x)+(5))-((x)*((3)/(0))))+(((7)+(8))*(((x)-(8))+((7)*(1)))))*(((x)*((x)-(x)))*(((3)*((8)*(5)))/((4)+((x)*(x))))))/(x))*(x))/((3)/(9)))/(x))/(x)),5*x*x*x+2*x+7,5
15,-0.5265565816739762,0.40783191619510534,-0.2568132308361563,0.5819258856306905,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,14,9,1400822.1,0,((((((((((x)*(7))*((x)-(0)))+(((8)/(4))+(5)))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((x)+(8))*((8)-(1)))*(((x)*(3))+((x)+(((((x)/(2))-(7))-(9))*(x)))))/(x))*(x))/(x))/((0)/(6)))/(x)),5*x*x*x+2*x+7,5
16,-0.5601056703952026,0.39243891565886146,-0.27365258121911745,0.5809055397470027,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|ReplaceBranchXR|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,15,9,3136259.1,0,((((((((((x)+(1))*((x)*((x)+(5))))+(((7)/(x))*((x)+(7))))*(x))*(x))-(x))*(x))+(x))*(x)),((((((((7)-(7))+(((1)-((x)*((8)*((x)/(2)))))-((x)*(x))))/(x))*(x))/((0)/(2)))/(x))/(x)),5*x*x*x+2*x+7,5
17,-0.5433828849748741,0.33026849837410827,0.019967590031060318,0.44622040917371714,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,16,9,1190652.5,0,((((((((((x)*(9))*((x)*(x)))+(((x)+(9))*((x)-(7))))*(x))*((4)/(6)))-(x))*(x))+(x))*(x)),(((((((((x)+((x)+((6)/(x))))+(((4)*(5))+((7)*(x))))*(((((x)+(0))*((9)/(0)))-(x))*(((0)+(7))/((6)*((x)*(x))))))/(x))*(x))/((0)/(9)))/(x))/(x)),5*x*x*x+2*x+7,5
18,-0.3697692166429795,0.3681050898201413,0.2560085633489188,0.5833483026794376,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,16,9,7189838,0,(((((((((((3)-(7))*(x))*((x)*(x)))+((2)*((x)-(0))))*(x))*(x))-(x))*(x))+((0)/(7)))*(x)),((((((x)+((7)/(3)))*(x))/(x))/((7)/(0)))/(x)),5*x*x*x+2*x+7,5
19,-0.2774195983377578,0.4205521697841404,0.2506325975327335,0.7222193156227309,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,18,9,11154562.25,0,((((((((((8)*(7))*((x)*(x)))+((x)*((7)/(2))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((x)*((1)*(2)))*((x)+(2)))*(((((2)/(1))*((7)*(4)))*((2)/(0)))-((5)*(((9)*(4))+((x)*(x))))))/(((5)/(8))*(5)))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
20,-0.29124309608163296,0.4127036323453351,0.20405313651051818,0.7221387891257036,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,18,18,55529729.1,0,((((((((((5)*(x))*(((x)-(4))*(x)))*(((6)/(9))*((x)+(7))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((x)+(0))/(((7)/(2))/(0)))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
21,0.03356059408790627,0.42005993296023325,0.6233422172372064,0.4642672141841186,SkipD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,20,20,24014149.619999997,0,(((((((((((x)+(4))*(x))*((x)*(x)))+((3)*((7)/(5))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((1)/((4)*(7)))-((1)*((x)/(1))))-(((9)/((x)*(1)))*((x)+((x)*(x)))))/(x))*(x))/(x))/((0)/(6)))/(x)),5*x*x*x+2*x+7,5
22,-0.11432720211999087,0.2717312613806474,0.39637501317409757,0.5815668800966285,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,19,18,9906877.9,0,((((((((((5)*((7)+(3)))*((x)*(x)))+(((4)/(7))+(6)))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((5)*((x)-(x)))*((x)-(2)))*((((5)/(2))*((x)-(((2)*(5))/((0)*(6)))))*(((3)/(9))+((x)*(((8)-(3))/(x))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
23,-0.39196194574338744,0.22564758414896416,-0.02839776364097159,0.4446175961594024,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,19,22,6373946.771428572,0,(((((((((((5)-(1))*(x))*((x)*(8)))+((2)+((x)+(7))))*(x))*(x))-(x))*(x))+((2)/(7)))*(x)),(((((((((x)-(8))*(((8)-(4))-(x)))*(((x)+(5))/((1)*(x))))/((0)*(4)))*(x))/(((6)/(5))/(1)))/(x))/(x)),5*x*x*x+2*x+7,5
24,-0.23177589446092614,0.5061607778090481,0.5493671033031986,0.7224147994010591,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,23,23,1977758.5833333333,0,((((((((((5)*(x))*((x)+(x)))+(((6)+((x)/(6)))-((6)+(1))))*(x))*(x))-(x))*(x))+(x))*(x)),((((((((((x)+((3)*((1)/(0))))*((1)+(x)))/(((2)-((1)/(2)))+((x)*(x))))*(((7)*((x)+(3)))-(((2)+(3))*((x)+((2)-((8)/(2)))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
25,-0.17852410450580902,0.38745938584969825,0.22115630125953664,0.5835054285470723,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,22,24,23469219.6,0,(((((((((((5)+(8))*(x))*((x)*(x)))+(((4)/(x))-((x)+(5))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((x)+((9)/(9)))/(x))*(x))/(x))/((0)/(1)))/(x)),5*x*x*x+2*x+7,5
26,-0.08644055400118668,0.32520344138205853,0.6328827658881141,0.44682709120119424,SkipD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,21,25,37442847.58571428,0,((((((((((5)*(6))*((x)*((x)-(6))))*(((8)/(7))*((x)+(7))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((((9)*(1))+(x))*((7)+(x)))-((((3)*(((5)/(0))*(9)))+(2))*((x)+((3)/(2)))))*(((x)-((x)+(1)))*(((x)-(1))/((x)+(((x)/(5))*(x))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
27,-0.2824256500115176,0.19976632383958237,0.11278977329636036,0.4194246302399675,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,21,22,1117018.4875,0,((((((((((5)*(x))*((x)*(x)))-((2)*((x)+(9))))*(x))*((x)/(8)))-(x))*(x))+(x))*(x)),(((((((((x)+(((4)/(7))-(7)))*((5)/(1)))-((x)*(((4)/(0))*(0))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
28,-0.34217586088781154,0.41987564228575375,0.5139297129500374,0.5832852615432664,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,27,22,9842174.25,0,((((((((((5)*(x))*(((x)+((2)/(4)))*(x)))+((2)*((x)*(7))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((x)-(6))/(((1)/(3))/(0)))/(x))/(x)),5*x*x*x+2*x+7,5
29,-0.08262816225095498,0.31981618942923623,0.44023984923861853,0.4424696567925084,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,21,22,9053141.333333334,0,((((((((((5)*(x))*((x)*(x)))+((x)*((2)/(3))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((((x)+(4))+(((2)+(3))+((x)+(8))))*(((x)*(((6)*((3)-(8)))-(5)))/(((7)/((0)/(3)))*((x)+((x)*((9)/(x)))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
30,-0.24420914103701494,0.2798974359303321,0.4589750208222896,0.445534167413639,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|AddXD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddXD|DivXD,28,28,1628345,0,(((((((((((9)+(x))-((x)*(x)))+(((x)*(9))*((x)+((0)/(4)))))*(x))+(x))*(x))-(x))*(x))+(x))*(x)),(((((((((((x)-((x)+(7)))/((9)*(0)))+(((8)*(x))-((2)*(x))))+(((x)*(0))*((3)-(5))))-((3)/(2)))*(x))/(x))/(x))+(x))/(x)),5*x*x*x+2*x+7,5
31,-0.11445949421498074,0.3525151959391075,0.05153208274270867,0.6171989121551122,MultXD,DivXD,MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,29,29,1028980.4857142856,0,((((((((((x)*(9))*((x)*(x)))+((x)*(9)))*(x))*(x))-(x))*((4)/(7)))+(x))*(x)),((((((((((x)+(7))*(((7)/(2))/(x)))+(((x)+(2))+((0)*(x))))+(((7)*((x)-(1)))-(((3)-(8))*(((9)/(1))+((x)*(x))))))/((0)/(7)))*((9)-(x)))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
32,-0.5147308204699541,0.2584930960578784,0.0045883616827678275,0.44528510513175235,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,31,31,1660010.7,0,((((((((((5)*(x))*((x)+(6)))+((2)+((3)-(1))))*(x))*(x))-((8)/(1)))*(x))+(x))*(x)),(((((((((2)/((8)*(((x)+(5))*(3))))/(((5)*(((x)/(5))/(0)))*((x)+(x))))+(((3)*(((4)/(6))*(x)))-((x)*((x)+((x)*((7)-(1)))))))/(x))*(x))/(x))/(x))/(x)),5*x*x*x+2*x+7,5
33,-0.16407633200629104,0.37263212196459383,0.04692248838020768,0.4400345874721223,MultXD,DivXD,MutateNonTerminalR|AddTreeWithAdd|ReplaceBranchR|MultXD|SkipD|SkipD|ReplaceBranchXR|MultXD|SkipD|SkipD|SubXD|MultXD|AddXD|MultXD|AddTreeWithDiv,AddTreeWithDiv|MutateTerminalR|AddToLeafR|DivXD|AddTreeWithMult|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|DivXD|AddTreeWithDiv|AddTreeWithDiv|DivXD,31,32,2256961.45,0,((((((((((5)+(x))*((x)*(7)))+(((9)/(4))*((x)+((3)+(6)))))*(x))*(x))-(x))*(x))+(x))*(x)),(((((((x)-(6))/((x)*(0)))*((x)/(2)))/((5)/(6)))/(x))/(x)),5*x*x*x+2*x+7,5
