gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
22,-0.3619665542958563,0.0006537962094205318,-0.0481581309905602,0.214909922452916,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,21,21,1633113.5,1633113.5,((((((5)*((6)+(2)))*((x)*(((9)*((1)+(4)))*(3))))+((2)*((x)+(7))))*(x))*(x)),(((((((4)-(1))+((0)*((x)*(x))))*(((x)*(9))-((x)+((6)-(5)))))+((9)/(0)))+(x))+(x)),5*x*x*x+2*x+7,4
23,-0.36233170532961906,0.0059947784291773335,0.0036758312814216152,0.27531528237996705,AddTreeWithMult,MutateTerminalR,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,22,21,708552.5,708552.5,(((((((5)*(8))*(x))*((x)*((6)+(1))))+((2)*((x)+((6)+((2)-(6))))))*(x))*(x)),(((((((5)*((x)*((1)/(0))))+(((x)*(7))-((2)+(2))))-(((x)-(0))*((0)+((7)*((x)*((6)-(7)))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
24,-0.25955200207456625,-0.08839800909422084,0.32503846000837255,0.2230182182889892,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,22,23,16199332.2,16199332.2,(((((((5)*(x))*(((9)*(x))*((8)*(2))))+(((x)*(7))*((8)+(9))))*(x))*(x))*(x)),((((((((1)/(0))*((9)*(x)))-((8)*((5)*(5))))+(((2)*(x))+((x)-((x)-((5)-(0))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
25,-0.28235421498515756,-0.07394963926902631,0.1309536571638441,0.1063486784933807,SkipD,AddXD,AddToLeafR|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,24,24,2836150.5,2836150.5,(((((((8)*(5))*(x))*((x)*((4)*((9)-(2)))))+((2)*((9)-(4))))*(x))*(x)),((((((x)*(2))*((5)*(x)))+((6)-(1)))+((6)/(6)))+(x)),5*x*x*x+2*x+7,4
26,-0.3048797137937006,0.00723435357183339,0.3196832397826096,0.29672896259305925,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,25,24,22056439.5,22056439.5,(((((((5)*(x))*((((6)*(2))*(9))*((9)*(3))))+((2)*((x)+(7))))*((9)-(4)))*(x))*(x)),((((((((x)/(0))-((3)*(8)))*((0)*((1)+(2))))*(((0)-(9))*((7)+((x)+((2)-(7))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
27,-0.18704937397126506,-0.012893430693552099,0.5145367794765868,0.2538131716116917,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,26,25,6130760.2,6130760.2,((((((((3)-(9))*((8)*(6)))*((x)*(x)))+(((x)*(7))*(((9)-(3))+(7))))*(x))*(x))*(x)),(((((((9)/(8))+((x)*(6)))*((x)*((9)-(1))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
28,-0.1848611509281718,-0.0678318986033706,0.09244240333968266,0.18835410176351167,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,27,26,16270853,16270853,((((((((9)*(x))*(x))*((x)*(x)))+(((0)*(0))*(((7)-(x))+(((6)-(5))+(x)))))*(x))*(x))*(x)),(((((((5)*((4)*(7)))*(((x)*(2))*((x)+(6))))*((((5)-(x))*((x)+((4)/(0))))+((9)*((x)*((x)+(2))))))+(x))+(5))+(x)),5*x*x*x+2*x+7,4
29,-0.028158104126898502,-0.06164151455718207,0.30952265384457445,0.15903352981938546,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,28,28,3351727.1,3351727.1,(((((((5)*((5)+((0)+(6))))*(((8)*(3))*(x)))+((2)*((x)+(7))))*(x))*(x))*(x)),(((((((4)-((9)*(x)))*(((x)*(x))+((x)*(9))))+(((3)-(4))*((7)*((9)*(((0)/(0))*((1)-(8)))))))+(x))+(3))+(x)),5*x*x*x+2*x+7,4
30,-0.10647609952009773,-0.017847972330063792,0.27053815992537394,0.16336910095731466,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,28,29,2423652.9,2423652.9,(((((((5)*((4)*(7)))*((x)*((x)-(2))))+((2)*(((8)*(8))+(7))))*(x))*(x))*(x)),(((((((5)*((x)+(x)))*(((x)*(6))*((x)*(6))))+(((2)*(x))+((7)*((6)*(((8)/(0))*(x))))))+(x))+((2)-(6)))+(4)),5*x*x*x+2*x+7,4
31,-0.011832996803629347,-0.00890512555580274,0.39741603020827143,0.3772928351747809,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|SkipD|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,30,30,8942129.5,8942129.5,(((((((5)*(x))*((x)*(x)))+(((9)-(4))*((4)-(1))))*((9)*(x)))*(x))*(x)),(((((((x)+(1))-(((x)+(9))*((0)*(6))))-((((2)/(0))-(6))+(((7)-(0))*((x)*((x)*(x))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
32,-0.0021172597892845702,-0.041750161433055266,0.3542623122862344,0.19198419263138974,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,30,31,2759387,2759387,(((((((5)*(x))*((x)*(((3)-((4)-(2)))*((5)*(5)))))+((2)*(((1)-(7))+(7))))*(x))*(x))*(x)),(((((((((0)-(3))*(1))-((5)*(5)))*((((4)/(0))*(4))*((x)*(3))))-(((2)+((5)*(x)))+((7)*((x)*(9)))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
33,-0.03846160719051623,-0.14934556087265455,0.35878262337041034,0.10272935601388919,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,32,32,21487160.9,21487160.9,((((((((x)*((7)-(4)))*(((x)-(0))*(4)))*((9)*(9)))+((2)*(((4)*(x))+(7))))*(x))*(x))*(x)),(((((((5)*((2)*(x)))*(((0)+(6))*((0)*(6))))-((((4)-(0))+((x)*(9)))-((4)*((x)*((x)*(x))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
34,-0.05881917201480937,-0.059578851506345475,0.20672629702462503,0.23827187487482582,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,33,33,4237824.6,4237824.6,((((((((3)*(x))*(x))*((x)*(x)))+((2)*((1)+(4))))*((x)-(2)))*(x))*(x)),(((((((8)-(x))+((0)*(((9)/((3)-(3)))*(2))))+((1)*((x)*((x)*(4)))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
35,-0.05154451991146506,-0.00202589572280939,0.3487805669503051,0.16040854549531494,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,34,32,13689377.5,13689377.5,(((((((5)*(x))*((((6)*(5))*(9))*(x)))+((2)*((9)*(4))))*(x))*((7)-(3)))*(x)),(((((((4)+((8)*(3)))+(((x)-(8))+((2)*((9)/((9)-(9))))))*(((7)+((8)-(4)))*((4)*((0)-((2)*(x))))))+(8))+(x))+(x)),5*x*x*x+2*x+7,4
36,0.039267142615910675,0.03939000808321134,0.3840436043412494,0.39829498607675673,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,35,32,5957719.5,5957719.5,(((((((5)*((x)*(3)))*(((6)*(3))*(x)))+(((7)-(9))*(((1)-(4))+((9)-(1)))))*(x))*(x))*(x)),((((((((5)*(x))*((5)-(1)))+((x)-(0)))-(((1)-((3)+(3)))*(((9)-(1))*((x)*((x)*(x))))))+(x))+((5)/(0)))+(x)),5*x*x*x+2*x+7,4
37,-0.047837291486861715,-0.025032675645372336,0.34733358935879693,0.2033346195789208,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,36,36,2211786.1,2211786.1,(((((((5)*(x))*((x)*((4)*(5))))+((2)*((x)+(((2)*(0))*((5)-(6))))))*(x))*(x))*(x)),(((((((x)-((x)*(x)))*(((x)*(x))+((1)-(5))))*(((2)-(((8)-(5))*((5)/(0))))+((7)*((x)-(x)))))+(5))+(x))+(x)),5*x*x*x+2*x+7,4
38,-0.17018874824029356,-0.010572412869885634,0.13508968098319962,0.21204114001997731,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|AddTreeWithSub|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,37,36,16776478.8,16776478.8,((((((((x)*(((5)-(x))-(5)))*(x))*((x)*(x)))+((2)*(((6)-(9))+((4)-(4)))))*(x))*(x))*(x)),((((((7)+(9))*(((1)/(0))*((6)-(4))))+((9)-(6)))+(x))+(x)),5*x*x*x+2*x+7,4
39,-0.0858675575569495,-0.040784805497681084,0.4086141314326617,0.17018214791972935,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|AddXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,38,38,4279123,4279123,(((((((5)*((x)-(((4)-(x))*(6))))*((x)*(x)))+((x)*(2)))*(x))*(x))*(x)),((((((((0)-(0))*((2)*(3)))*(((5)+((4)-(5)))*(((2)/(0))*(x))))+(((8)*((4)*(7)))*((5)*((x)*((x)*(3))))))+(x))+(x))+(x)),5*x*x*x+2*x+7,4
40,-0.005157910306393776,-0.141352454739667,0.36660010775644103,0.07037289172505169,MultXD,MutateTerminalR,AddToLeafR|AddTreeWithMult|MultXD|AddTreeWithMult|AddTreeWithSub|SkipD|MultXD|AddTreeWithSub|MultXD|ReplaceBranchR,MutateTerminalR|SubXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|AddXD|MutateTerminalR,39,39,24692246.3,24692246.3,((((((((((2)*(8))*(4))-(6))*(x))*(((7)-(1))*((4)*(7))))+((2)*((x)+(7))))*(x))*(x))*(x)),((((((((9)*(3))*((x)*(0)))-(((8)-(x))+((x)+(8))))-(((0)*(((8)/(0))*(5)))+((7)*(((8)-(4))*((0)*(x))))))-(x))+(x))+(x)),5*x*x*x+2*x+7,4
