A,P,AFinal,PFinal,AGen,PGen,count,run
SubXD,MultXD,AddToLeafR,DeleteTerminalR,0,0,0,3
MultXD,AddTreeWithSub,MultXD,AddRandomSubTreeR,0,0,1,3
MultXD,AddTreeWithDiv,DeleteTerminalR,AddTreeWithDiv,0,0,2,3
AddToLeafR,AddTreeWithMult,AddToLeafR,AddTreeWithMult,0,0,3,3
AddTreeWithAdd,AddTreeWithSub,AddTreeWithDiv,AddToLeafR,0,0,4,3
ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,DeleteTerminalR,0,0,5,3
DeleteMaliciousR,MultXD,DeleteMaliciousR,AddTreeWithMult,0,0,6,3
ReplaceBranchXR,SubXD,ReplaceBranchXR,SubXD,0,0,7,3
AddTreeWithMult,DivXD,AddTreeWithMult,DivXD,0,0,8,3
AddTreeWithSub,MutateNonTerminalR,AddTreeWithSub,MutateNonTerminalR,0,0,9,3
AddTreeWithMult,MutateTerminalR,AddTreeWithMult,AddRandomSubTreeR,0,0,10,3
AddToLeafR,MutateNonTerminalR,AddToLeafR,DivXD,0,0,11,3
AddTreeWithDiv,DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,0,0,12,3
AddRandomSubTreeR,AddXD,AddRandomSubTreeR,AddXD,0,0,13,3
ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchXR,AddTreeWithSub,0,0,14,3
