gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,-0.005890910378557803,-0.006092524294579089,0.014010900161705695,0.02,5.085583242308112,0.22933333333333333,16.697,0,0.9889750360516321,1,0.9753478100209283,0.5241639384219368,4582.690740740742,3.3833333333333333,22675.811111111114,0,((((x)+(9))*((8)*((x)*(6))))*(((8)/(5))-((2)/((9)*(x))))),((x)-(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,11,10,12,12,0
12,(x),20,-10,-0.014379219874271001,-0.002774481137484233,0.009775051124744376,0.02,1.7945679012345679,0.229,9.78,0,0.9971610319459612,1,0.9785952662605096,0.5096907660874993,15189.736111111111,5.3,88060.16666666667,0,((((5)-(x))*((x)*((x)*(5))))/(((3)-(8))*((5)-((x)*(x))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|AddToLeafR,MultXD,MutateTerminalR,5,12,13,13,0
13,(x),20,-10,-0.016742095238095236,-0.005506796758804579,-0.006,0.02,0.8144761904761906,14.819097648878898,3.5,0,0.9861155464226705,1,0.7809415598963456,0.46280291884308994,3020.685466269841,4.7,18005.75,0,((((8)+(5))*((7)*((x)*(2))))-(((7)/(1))*((x)*((5)/(2))))),((x)-(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,MutateTerminalR,13,9,14,14,0
14,(x),20,-10,-0.015240619047619048,-0.007428300734904508,-0.00471,0.02,1.189845238095238,0.259,3.8225,0,0.9932646325857075,1,0.9316528847074471,0.5555973676678065,8563.738095238095,3.6,37117.5,0,((((0)-(1))*((7)*((7)*(3))))/(((1)*(x))*((x)-((x)*(x))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,5,11,15,15,0
15,(x),20,-10,-0.01808063492063492,-0.008774439881606887,-0.01592380952380952,-0.00039215686274509667,0.4798412698412699,0.21900000000000003,1.019047619047619,0.102,0.9843854561677449,0.2,0.8505776984605092,0.19579054762073228,5915.385790519752,6.866666666666667,16010.714285714286,4,((((2)/((7)+(5)))*((x)*((x)*(6))))-(((3)-(9))-((0)*((8)*(x))))),((x)+((0)+(4))),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,10,11,16,16,0
16,(x),20,-10,-0.011487652403212274,-0.0031497750615397673,0.018202085580726356,0.004,9.806333333333333,0.17733333333333334,55.62,0.08,0.9838371822390028,1,0.9396517094075499,0.5356426008413379,4409.983333333334,3.466666666666667,15467.6,0,((((x)+(7))-((5)*((1)/(1))))*((8)*((x)*((x)*(x))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,16,13,17,17,0
17,(x),20,-10,-0.010652300305720104,-0.004949271327094679,0.01103299856527977,0,2.9025499833499833,0.199,11.152000000000001,0.1,0.9862061355109247,1,1.0003544307261854,0.45700409282444654,3407.5833333333335,4.183333333333334,18124,0,((((0)-((8)/(2)))-((4)/((5)*(9))))*(((6)-(3))*((x)+((x)*(x))))),((0)+((x)-(0))),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,10,13,18,18,0
18,(x),20,-10,-0.012386498349834983,-0.00400653041675936,0.0100990099009901,0.02,2.3325833333333335,0.1403333333333333,10.1,0,0.94058229352347,1,0.8934771240950138,0.5848457878928635,1185.627192982456,3.8333333333333335,4207.5,0,((((1)+(x))*((x)*((1)-(9))))-((x)-((8)-((x)*(x))))),((0)+((x)+(0))),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,5,18,19,19,0
19,(x),20,-10,-0.0029542928443031242,-0.017629391369215142,0.017477550196751082,0.02,9.311444444444446,0.9133333333333333,39.644,0,0.9919321005582986,1,0.8701521368737517,0.5472471131694164,5266.222222222222,3.1,30987,0,((((x)+(x))*((7)*((3)*(7))))-(((5)*(4))-((9)-((x)*(x))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,AddRandomSubTreeR,19,16,20,20,0
20,(x),20,-10,-0.0054961582529517005,-0.010499403389122633,0.014516040581299699,0.02,5.656166666666667,0.262,18.235,0,0.9743307664099743,1,0.6753535725423261,0.47867428325010686,1809.697619047619,4.9,9739.285714285714,0,((((x)-(0))*((5)*((6)*(9))))*((x)/((7)-((x)*(x))))),((x)-(0)),DeleteNonTerminalR|SkipD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,20,16,21,21,0
21,(x),20,-10,-0.010663350794869606,-0.007017336498670649,0.01360122856411569,0.02,3.5387777777777774,0.25066666666666665,15.628,0,0.984441803008333,1,0.9326368652550526,0.5471012044321931,5678.283333333333,3.3333333333333335,16068.7,0,((((x)*(x))-((8)/(2)))-((0)*((x)*((x)*(x))))),((x)+(0)),DeleteNonTerminalR|SkipD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,AddRandomSubTreeR,21,16,22,22,0
22,(x),20,-10,-0.010786426245645917,-0.004518361581920904,0.004375,0.012,2.3620833333333335,0.2316666666666667,6.4,0.04,0.9831155235876136,1,0.9011597833433043,0.5499158184735256,2847.509259259259,2.8333333333333335,14806.5,0,((((9)*(0))/((4)-((4)+(3))))*(((9)*(7))*((x)-((x)*(x))))),((x)+(0)),DeleteNonTerminalR|SkipD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddRandomSubTreeR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithSub|AddXD|FellTreeD|AddTreeWithSub|FellTreeD|AddToLeafR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,FellTreeD,21,20,23,23,0
