A,P,AFinal,PFinal,AGen,PGen,count,run
DeleteNonTerminalR,MutateTerminalR,DeleteNonTerminalR,MutateTerminalR,0,0,0,0
SkipD,ReplaceBranchR,SkipD,ReplaceBranchR,0,0,1,0
AddTreeWithDiv,AddRandomSubTreeR,ReplaceBranchR,AddRandomSubTreeR,0,0,2,0
DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,DeleteTerminalR,0,0,3,0
MultXD,AddTreeWithAdd,MultXD,AddTreeWithAdd,0,0,4,0
ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,AddTreeWithSub,0,0,5,0
MultXD,SubXD,MultXD,AddXD,0,0,6,0
AddTreeWithDiv,FellTreeD,AddTreeWithDiv,FellTreeD,0,0,7,0
MutateTerminalR,AddTreeWithSub,ReplaceBranchXR,AddTreeWithSub,0,0,8,0
AddTreeWithSub,FellTreeD,AddTreeWithSub,FellTreeD,0,0,9,0
AddTreeWithMult,MutateTerminalR,AddTreeWithMult,MutateTerminalR,0,0,10,0
MutateNonTerminalR,DeleteNonTerminalR,MutateNonTerminalR,DeleteNonTerminalR,0,0,11,0
AddTreeWithMult,ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,0,0,12,0
MultXD,MutateTerminalR,MultXD,MutateTerminalR,0,0,13,0
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,14,0
