gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,-0.019635,-0.005239030148751547,-0.01928,0.02,0.09125,13.073785714285714,0.18,0,0.59845807902345,1,0.7776056312602901,0.7586349726292959,219.83333333333334,3.5583333333333336,622.6,0,(((5)*((2)*(8)))*((x)+(8))),(((((x)+(6))/((0)*(7)))-(((0)+(8))*((6)-(1))))+(((6)*((x)/(x)))+((x)-((x)-((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,11,9,12,12,3
12,(x),20,-10,-0.017428958337958336,-0.008920204222707789,-0.013872,0.02,0.6427604155104154,20.49150357142857,1.5319999999999998,0,0.7382198952879581,1,0.6906153507443716,0.3723654678762071,170.83333333333334,1.4204166666666669,955,0,(((x)*(4))*((6)*(8))),((((1)+((1)*(3)))+(((0)*(3))*((4)+(x))))*(((5)*((0)*(8)))*((x)-((x)/((0)+(x)))))),MultXD|FellTreeD|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|DeleteMaliciousR,AddTreeWithDiv,MutateNonTerminalR,11,10,13,13,3
13,(x),20,-10,-0.018916885714285715,-0.004431796573250668,-0.0174,0.02,0.2707785714285714,5.097571428571428,0.65,0,0.8407643312101911,1,0.7306997171514197,0.6333564491624304,272.8833333333333,2.6095171957671957,1570,0,(((x)*(7))*((5)*(9))),((((8)*((x)*(0)))+(((0)*(5))+((3)*(0))))*(((x)-((9)*(x)))*((0)*((x)/((x)+(x)))))),MultXD|FellTreeD|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,11,12,14,14,3
14,(x),20,-10,-0.017977333333333335,-0.010181050150789248,-0.014159999999999999,0.02,0.5056666666666666,19.9804626984127,1.46,0,0.9072356215213359,1,0.9149994552624349,0.662123622641919,647.3333333333334,10.545833333333333,2695,0,(((4)*((3)*(9)))*((x)*(5))),(((((9)-(0))*((1)*(0)))*(((7)*(2))/((7)-(x))))*(((6)/((9)-(x)))*((x)*((x)/((0)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,DeleteMaliciousR,MutateNonTerminalR,12,13,15,15,3
15,(x),20,-10,-0.018806666666666666,-0.004949591042725795,-0.01452,0.02,0.29833333333333334,5740.987537037037,1.37,0,0.5636236690521906,1,0.6120035796066668,0.5874903181042331,121.33333333333333,2.02172619047619,572.9,0,(((x)+((0)+(7)))*((9)*(9))),(((((5)*(9))/((0)+(3)))-(((x)/(9))*((5)*(2))))-(((5)*((7)*(0)))*(((8)*(x))-((x)*((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,13,15,16,16,3
16,(x),20,-10,-0.018997037037037038,-0.004763331771610309,-0.0176,0.02,0.25074074074074076,5.360454545454545,0.6,0,0.7674418604651163,1,0.783044486658527,0.408248290463863,273.0541666666667,0.8333333333333334,1075,0,(((1)+((8)*(4)))*((x)*(6))),(((((9)*(4))*((2)/(0)))/(((3)*(5))*((6)*(5))))+(((4)+((7)*(9)))*(((1)*(x))-((x)+((0)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddToLeafR|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,13,16,17,17,3
17,(x),20,-10,-0.0194,0.00014712284674788022,-0.0192,0.02,0.15,481.3384191919193,0.2,0,0.3045897079276773,1,0.4677582185745965,0.4826635070520324,155.86666666666667,1.7749999999999997,359.5,0,(((x)*(8))-((5)*(9))),((((5)-(4))+((8)-(6)))*((x)+((x)/((0)+(x))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,16,15,18,18,3
18,(x),20,-10,-0.018481333333333332,-0.01434021453229682,-0.01584,0.02,0.3796666666666667,2038.2614047619045,1.04,0,0.7206703910614525,1,0.6872272661471305,0.24169540059063319,157.33333333333334,0.6583333333333333,895,0,(((9)*(4))*((x)*(5))),((((5)-((2)/(0)))-((4)*((0)*(2))))*(((5)+(0))*((x)*((x)+((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,16,18,19,19,3
19,(x),20,-10,-0.017050392857142854,-0.005540112809640269,-0.0092,0.02,0.7374017857142857,451.95200000000006,2.7,0,0.49474535165723527,1,0.5862667414847473,0.8352974890411935,95.16666666666667,5.533333333333334,494.8,0,(((x)+((7)*(7)))+((3)*(7))),(((((x)+(0))*((8)/(0)))*(((5)-(2))-((7)*((1)+(0)))))+(((9)/((0)*(x)))*(((x)*(6))*((x)/((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,DeleteMaliciousR,MutateNonTerminalR,18,18,20,20,3
20,(x),20,-10,-0.018000000000000002,-0.0005023831910135353,-0.0132,0.02,0.5,73.09430769085411,1.7,0,0.6323529411764706,1,0.6039399915100705,0.9174272166978993,229.9277734071484,9.283333333333333,680,0,(((9)*((6)-(9)))*((x)*(5))),(((((0)*(0))+((9)+(7)))*(((0)/(0))*((4)*(7))))*(((9)*((x)*(x)))-((x)/((0)-((x)+(x)))))),SubXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,19,18,21,21,3
