gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),20,-10,-0.019344,0.002386511109309676,-0.017984,0.02,0.16400000000000003,51.165,0.504,0,-0.07679999999999995,1,0.38662913840871677,0.522438356875425,69.93333333333334,2.610714285714286,230.8,0,(((7)*(6))*((x)-(3))),(((((0)-(0))+((9)*(8)))+(((0)+(7))*((8)*((1)*(0)))))/(((0)*((0)-(7)))*(((x)-(x))+((x)-((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,21,18,22,22,3
22,(x),20,-10,-0.019330666666666666,-0.0032656536435423174,-0.017184,0.02,0.16733333333333333,54.966666666666676,0.7040000000000001,0,0.8407643312101911,1,0.7446578231562735,0.6868408650820363,265.1666666666667,3.1670634920634924,1570,0,(((7)*((5)*(x)))*((1)*((3)*(3)))),((((9)*((5)/(6)))+((1)*((0)-(3))))-(((0)*(x))-((x)+((x)+((x)+(x)))))),SubXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithDiv,MultXD,19,20,23,23,3
23,(x),20,-10,-0.019606666666666665,-0.008881708168014117,-0.0192,0.02,0.09833333333333334,95.36316666666667,0.2,0,0.42660550458715596,1,0.5588915225794414,0.6628348210527265,88.36666666666667,2.4916666666666667,436,0,((((x)*(7))/((5)-(0)))*((7)*((3)+(6)))),(((((6)-(5))*((0)-(0)))/(((0)+(6))*((2)*(0))))*(((2)/((2)*(x)))*(((x)-(x))+((x)-((x)+(x)))))),SubXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchXR,AddXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,22,23,24,24,3
24,(x),20,-10,-0.019306666666666666,-0.009361894817481993,-0.0176,0.02,0.1733333333333333,48.59954761904762,0.6,0,0.8658798283261803,1,0.7737764661543111,0.547740635350368,354.1666666666667,2.5,1864,0,((((0)-(4))*((2)*(x)))+((5)*((x)*(x)))),(((((0)-(1))*((5)-((x)*(0))))+(((0)/(5))*((1)/((0)*(7)))))+((((x)-(0))*((7)*(5)))*(((x)-(0))+((x)-((x)+(x)))))),SubXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,24,21,25,25,3
25,(x),20,-10,-0.019448,-0.006371853933041568,-0.0184,0.02,0.13799999999999998,51.11127988662131,0.4,0,0.9416909620991254,1,0.7834798590062316,0.9747013703314803,719.2916666666666,116.382208994709,4287.5,0,(((x)-((0)*(8)))+((9)*((x)*(x)))),(((((8)-(2))*((0)-(5)))*(((5)*(6))*((0)/(7))))*(((0)+((0)*(x)))*(((x)-(x))/((x)-((x)+(x)))))),SubXD|MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,AddXD|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|SubXD|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,25,23,26,26,3
26,(x),20,-10,-0.019473333333333336,-0.0035523066678852704,-0.018808000000000002,0.02,0.13166666666666665,118.79849999999999,0.298,0,0.9132727398876015,1,0.9257219639782491,0.753774443581971,667.9119066350316,16.46289637548141,2882.6,0,(((9)*((8)*(x)))*((x)-(6))),((((6)+((7)*(5)))*((0)-((4)-(9))))-(((9)*(0))-((1)-((x)/((0)+(x)))))),SubXD|MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|AddXD|AddXD|AddTreeWithSub,ReplaceBranchXR,AddXD,25,23,27,27,3
27,(x),20,-10,-0.01848,0.005903473334329782,-0.016256,0.02,0.38,9.437999999999999,0.9359999999999999,0,0.9253842710043277,1,0.7684558552091391,0.6914401956781745,568.3333333333334,4.092592592592593,3350.5,0,((((9)-(4))*((5)+(0)))*((x)*((4)*(x)))),(((((6)+(9))*((0)*(5)))+(((5)-(x))/((9)-(7))))*(((6)/((4)-(5)))*((x)-((x)*((0)+(x)))))),SubXD|MultXD|MultXD|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|AddXD|AddXD|AddTreeWithSub,DeleteTerminalR,MultXD,26,23,28,28,3
28,(x),20,-10,-0.019586666666666665,-0.0026486389226048953,-0.018799999999999997,0.02,0.10333333333333333,8.272833333333335,0.3,0,0.40828402366863903,1,0.5772963831833899,0.7080713377126897,115.75,4.6945767195767205,422.5,0,((((x)+(9))*((x)+(9)))*((3)*((8)/(6)))),((((x)*((3)*(5)))/(((3)*(0))+((x)-(6))))*(((0)*(9))*((x)-((x)+((x)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|AddXD|AddXD|AddTreeWithSub,AddTreeWithDiv,MutateNonTerminalR,28,23,29,29,3
29,(x),20,-10,-0.01897566666666667,-0.003226170421241233,-0.016752,0.02,0.25608333333333333,3985.3921018518513,0.812,0,0.9381953028430161,0.8099999999999999,0.8488279418031985,0.7496157459675358,823.6999999999999,8.010304894179894,4045,0.95,((((5)*(3))*((6)*(5)))/((5)*((0)+((x)*(9))))),((((x)*((2)*(2)))*(((7)/(8))-((2)-(1))))+(((4)*(9))*((0)-((x)/((x)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithDiv,MultXD,28,29,30,30,3
30,(x),20,-10,-0.017621333333333336,0.0005521627329083342,-0.006768,0.02,0.5946666666666667,32.72188235294117,3.3080000000000003,0,0.9952685477659029,1,0.8058871253174831,0.6340785868219843,8811.02037037037,2.6399140211640213,52837.9,0,((((x)+(9))*((8)*(8)))*((6)*((8)*(2)))),(((4)*((2)-(x)))-((x)*((0)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithDiv,AddRandomSubTreeR,30,29,31,31,3
31,(x),20,-10,-0.016136666666666667,-0.0014935060048752032,-0.007752,0.02,0.9658333333333333,98.09112037037038,3.062,0,0.9766464269033162,1,0.7836912485989893,0.5884249102775232,1797.0873015873015,1.4916666666666665,10705,0,((((x)*(7))*((0)+(9)))*((x)+((2)+((3)*(7))))),(((((8)*(x))-((1)-(x)))/(((9)*(0))/((1)*((2)*(0)))))*(((7)*((2)*(x)))*(((0)-(2))-((x)+((x)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|FellTreeD|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithMult,AddRandomSubTreeR,28,28,32,32,3
32,(x),20,-10,-0.018966666666666666,-0.0028265489732638145,-0.016200000000000003,0.02,0.2583333333333333,5.802954497354498,0.95,0,0.9868938401048493,1,0.7898149251709007,0.7372028964563923,3190.328807634165,4.991666666666666,19075,0,((((9)*(2))*((x)*(4)))*((x)+((6)*(9)))),((((7)*((1)+(6)))-((x)/((8)-(7))))+(((7)*(0))*((x)*((x)*((x)+(x)))))),SubXD|MultXD|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|DivXD|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithDiv,MutateNonTerminalR,30,32,33,33,3
33,(x),20,-10,-0.019373333333333333,0.004037974153528633,-0.018000000000000002,0.02,0.15666666666666665,8.720551455026454,0.5,0,0.972482113373693,1,0.9006017504436828,0.8093521677422887,1728.7779459429457,11.11,9085,0,(((4)*((9)*(x)))*((x)*(x))),((((0)*((0)*(1)))*(((7)*(8))*((7)/(0))))/(((5)*((x)*(5)))-((x)/((x)+((8)-(8)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|DivXD|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithMult,MultXD,28,32,34,34,3
34,(x),20,-10,-0.019146666666666666,-0.003025062515998189,-0.0168,0.02,0.21333333333333332,38.04800000000001,0.8,0,0.9901744236316903,1,0.8157056113200085,0.4757227799651261,4283.566666666667,1.1849999999999998,25443.8,0,((((3)*(7))-((x)*(x)))+((2)*((5)*((x)*(x))))),((((5)*(0))*((x)*(5)))-((8)/((x)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|FellTreeD|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddToLeafR,AddRandomSubTreeR,28,28,35,35,3
35,(x),20,-10,-0.019341796026196026,0.01010710259895849,-0.01808,0.02,0.16455099345099344,26.82130818318318,0.48,0,0.822380106571936,1,0.7399081534281355,0.4950936125020869,290.4666666666667,1.443988095238095,1407.5,0,(((x)*((6)*(8)))-((1)*((x)/(1)))),((((6)/((0)*(5)))-((8)-((x)/(3))))*(((x)+(9))-((x)-((x)/((x)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|FellTreeD|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,AddTreeWithMult,35,28,36,36,3
36,(x),20,-10,-0.01607,-0.01024969605894658,-0.0096,0.02,0.9825,0.8047142857142857,2.6,0,0.9855282199710564,1,0.8956806028065141,0.7485763290686991,3024.133333333333,9.65797619047619,17275,0,(((6)*((9)*(8)))*((x)*(8))),((((2)-(5))-((5)-(0)))-((5)*((0)+(x)))),SubXD|SubXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|FellTreeD|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithMult,MutateNonTerminalR,35,28,37,37,3
37,(x),20,-10,-0.017918666666666666,0.006061013415041447,-0.011559999999999999,0.02,0.5203333333333333,25.2325,2.11,0,0.9995184737544119,1,0.7682376284630856,0.7430850603608445,86610.35347222222,3.8114197530864202,519182.5,0,((((0)-(x))*((8)*((5)-(x))))*((x)*((7)*((6)*(9))))),((((7)-((2)*(x)))*(((6)/(0))*((5)-(7))))/(((6)*((8)+(0)))-((x)/((6)-((9)+(x)))))),SubXD|SubXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,SubXD,AddRandomSubTreeR,35,36,38,38,3
38,(x),20,-10,-0.014558195704057279,-0.006560472372264026,0.008066825775656324,0.02,1.5876666666666668,506.8213312570409,8.38,0,0.9869144203088197,1,0.7623751991982554,0.3771558278994486,3564.1,1.2122222222222223,19105,0,((((x)*((1)-(0)))/((1)-((x)-(6))))*(((x)*(7))*((7)*((6)+(7))))),(((((1)+(7))*((2)+(6)))*(((3)-(7))-((7)*(2))))*(((0)*((8)-(8)))+((x)-((x)/((0)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|ReplaceBranchXR|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,AddRandomSubTreeR,35,38,39,39,3
39,(x),20,-10,-0.018900510822510822,-0.003580408509094069,-0.017083064935064937,0.02,0.2748722943722943,23.91167037037037,0.7292337662337662,0,0.9915654520917678,1,0.8790392662581625,0.7508900685931252,5087.433333333333,74.08888888888889,29640,0,((((x)*(7))*((8)-((0)+(8))))*(((5)*(3))-((7)*((7)*(1))))),(((5)-((4)*(0)))*((1)-((6)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|ReplaceBranchXR|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,DeleteTerminalR,39,38,40,40,3
40,(x),20,-10,-0.019226666666666666,-0.005241862638631553,-0.01728,0.02,0.19333333333333333,9991.199090109802,0.68,0,0.992591582852774,1,0.9716245272770834,0.9834925627972366,10866.18,156.44950066137565,33745.4,0,((((3)-(7))*((2)+((6)*(x))))-((9)*((3)*((x)*(x))))),(((3)-((4)-(2)))-((x)/((0)+(x)))),SubXD|MultXD|MultXD|FellTreeD|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,DeleteTerminalR,40,36,41,41,3
41,(x),20,-10,-0.0157475,-0.0022622883053658505,-0.011408,0.02,1.063125,22704.437454125273,2.148,0,0.999015062064879,1,1.0053046041885065,0.40129182694967447,51057.493253968256,1.101376322751323,253823.10000000003,0,((((4)/(5))-((2)*((x)+(x))))*(((x)*(5))*((8)*((6)*(8))))),((((9)+(1))-((4)-(x)))/((x)/((0)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,AddRandomSubTreeR,39,40,42,42,3
42,(x),20,-10,-0.015950666666666665,0.009584084150017495,-0.00988,0.02,1.0123333333333333,57.554361026969445,2.53,0,0.9919002105945245,1,0.985322182299254,0.791912912304694,9334.34413580247,7.574704603590173,30865,0,((((x)*(7))*((7)*(9)))*((7)-((x)-(6)))),(((((x)*(x))*((0)-((8)+(5))))-(((3)+(1))*((9)/((1)*(4)))))/((((0)+(1))+((6)-(0)))*(((3)*(x))-((x)/((x)/((0)+(x))))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,AddTreeWithMult,39,40,43,43,3
43,(x),20,-10,-0.019026666666666667,0.006408033530056852,-0.015600000000000001,0.02,0.24333333333333332,35.86833585034015,1.1,0,0.9864093503669475,1,0.9452750798869873,0.1630351034558133,3872.316666666666,0.4525462962962963,18395,0,((((6)*(5))*((4)-(5)))*((x)+((0)*((8)*(4))))),(((((1)+(0))/((x)-((2)-(1))))*(((9)*(x))+((8)-((7)+(7)))))*((((6)*(7))-((5)*(6)))*(((0)-(x))/((0)/((3)-((7)+(x))))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DivXD|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR,DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,DeleteTerminalR,43,42,44,44,3
44,(x),20,-10,-0.011689073482428116,-0.003464732409507823,0.00402555910543131,0.02,2.12,60.75505786873896,6.26,0,0.9995120923995511,1,0.9070383485207839,0.7983251287255367,85941.84999999999,58.425734103363574,512392.1,0,((((x)*(x))*((6)*((x)+(x))))*((5)+((2)*((x)*(3))))),(((0)+((1)/(0)))/((0)-((3)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR,DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,ReplaceBranchXR,DeleteTerminalR,44,42,45,45,3
45,(x),20,-10,-0.012911333333333335,0.004912016475013483,-0.00032,0.02,1.7721666666666667,84.10160679894179,4.92,0,0.9910740426018094,1,1.0454516777142961,0.052348946551057325,6585.390476190477,0.15353835978835975,28008.2,0,((((8)-((6)-(x)))*((x)-((9)*(x))))-(((9)*(1))+((6)*((4)*(2))))),(((((4)-(3))-((7)+((9)-(0))))/(((0)*((4)*(6)))*((1)*((x)/(3)))))+((((7)-(4))*((9)+((0)-(7))))*(((0)*(x))-((x)/((x)/((x)+(x))))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR,DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithMult,DeleteTerminalR,44,42,46,46,3
46,(x),20,-10,-0.00564082396463747,-0.010977687259308191,0.016807355852116724,0.02,7.341722222222221,19.47410488194969,31.322,0,0.9982822001580376,1,0.7877476785367687,0.557993293817913,24593.766666666666,5.038003636253884,145535,0,((((x)*(2))-((8)*((x)+(1))))*((7)*((x)*((7)*(2))))),(((((5)*(2))*((9)*(0)))*(((8)*(7))+((4)*((0)*(1)))))+((((7)-(7))+((5)*(8)))/(((2)*(x))/((x)/((x)+(x)))))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|MultXD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR,DeleteTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,MultXD,DeleteTerminalR,43,42,47,47,3
47,(x),20,-10,-0.01022645475474662,-0.01912025190137878,0.015937271471520274,0.02,5.048333333333333,30.204172844500686,24.614,0,0.9959147055891729,1,0.8204733327584902,0.7323054793200517,10495.55,3.880883792097086,61195.1,0,((((5)*((4)*(5)))-((0)*((5)*(x))))-(((1)*(8))*((3)+((0)*(4))))),(((8)*((0)/(x)))/((9)-((1)+(x)))),SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|AddTreeWithMult|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|AddXD|AddTreeWithSub,AddTreeWithMult,AddTreeWithMult,46,47,48,48,3
