A,P,AFinal,PFinal,AGen,PGen,count,run
ReplaceBranchR,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,0,6
DeleteTerminalR,MutateTerminalR,DeleteTerminalR,MutateTerminalR,0,0,1,6
DeleteTerminalR,FellTreeD,DeleteTerminalR,FellTreeD,0,0,2,6
MultXD,AddTreeWithDiv,MutateTerminalR,AddTreeWithDiv,0,0,3,6
ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,AddToLeafR,0,0,4,6
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,5,6
AddXD,DeleteMaliciousR,AddXD,DeleteMaliciousR,0,0,6,6
MultXD,AddTreeWithSub,MultXD,AddTreeWithSub,0,0,7,6
AddTreeWithMult,SubXD,AddTreeWithMult,SubXD,0,0,8,6
MutateTerminalR,DeleteMaliciousR,MutateTerminalR,DeleteMaliciousR,0,0,9,6
MultXD,FellTreeD,MultXD,AddTreeWithSub,0,0,10,6
AddTreeWithDiv,AddXD,AddTreeWithAdd,AddXD,0,0,11,6
AddTreeWithMult,SkipD,AddTreeWithMult,SkipD,0,0,12,6
AddTreeWithDiv,AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,0,0,13,6
AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,0,0,14,6
