A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,MutateTerminalR,MutateTerminalR,MutateTerminalR,0,0,0,8
DeleteMaliciousR,SubXD,DeleteMaliciousR,SubXD,0,0,1,8
AddToLeafR,AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,0,0,2,8
AddRandomSubTreeR,DeleteNonTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,0,0,3,8
MutateTerminalR,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,0,0,4,8
MultXD,FellTreeD,ReplaceBranchR,FellTreeD,0,0,5,8
AddToLeafR,AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,0,0,6,8
ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,0,0,7,8
ReplaceBranchR,AddToLeafR,ReplaceBranchR,AddToLeafR,0,0,8,8
MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv,0,0,9,8
SkipD,AddTreeWithSub,SkipD,AddTreeWithSub,0,0,10,8
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,11,8
MultXD,DivXD,MultXD,DivXD,0,0,12,8
AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,DeleteTerminalR,0,0,13,8
AddToLeafR,FellTreeD,AddToLeafR,AddTreeWithAdd,0,0,14,8
