gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,-0.029787294737614534,0.18590683097917748,0.38884852994298574,0.4,1869.7495401276083,3.0583478108144018,24149.356666666667,0,0.9989803312133935,1,0.7147223308084283,0.47119329323660003,20791.023333333334,2.4553831453174513,400456.8333333333,0,((((9)+(5))*((5)*((5)*(6))))+((6)+((8)*((x)*(x))))),(((((9)+(4))*((0)+(1)))/(((5)*(0))/((1)*(x))))-(((5)/((9)+(3)))/((8)-((8)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|AddToLeafR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,AddTreeWithDiv,11,11,12,12,5
12,(x),30,-10,-0.015685653951915596,0.18245935644969768,0.3872398544033985,0.4,2487.339504707792,13.975229257496762,27184.800583333326,0,0.999022607760686,1,0.8123583277010491,0.478568313222428,42946.185000000005,2.762674002937338,417778.36666666664,0,((((7)+(0))+((4)*((7)*(x))))*((x)-((7)*((x)*(x))))),((((2)/((9)+(7)))*(((9)*(x))+((4)*(1))))/(((3)-((9)/(0)))/((x)*((4)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|AddTreeWithMult|AddTreeWithSub,AddRandomSubTreeR,DivXD,12,12,13,13,5
13,(x),30,-10,0.0030730698342130436,0.20047330886646889,0.3929293266930558,0.4,3218.2223670723347,1.9213299827371415,46938.557333333345,0,0.9996063209114457,1,0.7988861698803844,0.4065334739005383,56042.13537225036,1.6175956128476094,1037223.8333333334,0,((((9)+(9))*((8)*((9)*(6))))*(((7)*(3))*((7)/((9)*(x))))),(((((7)/(6))-((0)*(x)))-(((2)/(9))/((6)*(x))))*(((3)-((5)/(9)))*((0)/((x)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|AddTreeWithDiv|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|DivXD,AddRandomSubTreeR,DivXD,13,13,14,14,5
14,(x),30,-10,0.02120723834808312,0.18272995686553803,0.3828484527780315,0.4,2545.948878229412,2.1078165028991545,31420.30358730158,0,0.9990929564178517,1,0.7153493381936556,0.4922730510723364,31898.49351831519,2.580701766395664,450180.5,0,((((5)+((3)/(1)))*((4)*((1)+(4))))*(((5)-(x))*((6)*((x)*(x))))),(((((x)*(1))-((1)*(x)))*(((2)*(5))+((3)*(4))))/(((6)*((0)-(0)))/(((0)/(x))/((x)/((x)/(x)))))),AddRandomSubTreeR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,14,14,15,15,5
15,(x),30,-10,0.03941672259983257,0.2098671451902921,0.38872496810589086,0.4,10821.067294240886,12.953488375942193,133059.98841666666,0,0.9998668793047905,1,0.7775000501835999,0.4357409183767294,272879.82166666666,1.7519740699188695,3067391.8333333335,0,((((7)*(3))*((x)*((x)*(2))))*(((1)*(7))*((5)+((3)*(x))))),(((((2)+(0))*((2)+(2)))*(((8)/(0))/((x)+((9)/(0)))))*((((x)*(5))/((x)*(8)))/(((0)/(x))/((x)/((3)-(x)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|ReplaceBranchXR|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub,AddRandomSubTreeR,DivXD,15,15,16,16,5
16,(x),30,-10,0.05499326948414633,0.20753391439759422,0.3936722604490081,0.4,11678.43386337028,2.77954666285206,166033.0033333333,0,0.9998694275892043,1,0.6872749458101833,0.4401698503082487,167535.91416666668,1.7632656790661394,3127255.8333333335,0,((((6)-((5)*(9)))*((7)*((9)*(3))))+(((x)*(7))*((6)+((2)*((4)*(x)))))),(((((3)*(8))+((0)*(8)))/(((0)/(3))*((x)*((0)+(x)))))*(((7)*((x)/(x)))/(((x)/(9))/((2)-((0)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddXD|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|MultXD,AddRandomSubTreeR|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,ReplaceBranchR,DivXD,16,16,17,17,5
17,(x),30,-10,0.07831731342140472,0.20973504310123228,0.3939471056990291,0.4,6385.530832758187,46.11837111582907,70274.07233333333,0,0.9996587660182544,1,0.8417459414648829,0.40716702504398644,109515.08546350736,1.6204619838363818,1196637.3666666667,0,((((4)*(3))-((4)*((x)*(2))))-((6)*((x)*((x)*(x))))),(((((9)*(0))*((9)*(2)))-(((8)-(2))-((x)*(7))))/(((1)/((x)-(4)))/(((x)/(x))/((x)/((7)-(7)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|DeleteMaliciousR|MultXD|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub,AddRandomSubTreeR,DivXD,17,17,18,18,5
18,(x),30,-10,0.08755454220312392,0.20470837164724323,0.39758048621926156,0.4,17365.85513016915,3.6465346504431984,294658.98333333334,0,0.9999204096777025,1,0.8309361790106519,0.464892399611552,265664.6609259259,2.420005024089966,5130439.5,0,((((6)*(6))+((9)*((1)-(4))))*(((5)*(6))*((5)*((x)*(x))))),(((((x)+(3))*((8)/(1)))/(((4)*(1))*((9)*((1)-(3)))))/(((0)*((x)/(7)))*(((4)/(x))/((x)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|DivXD|AddTreeWithSub,AddRandomSubTreeR,DivXD,17,18,19,19,5
19,(x),30,-10,0.13190679685740772,0.19038435319188532,0.39746937682119254,0.4,7644.02254286038,14.122569536358135,97446.50917460315,0,0.9997263564427366,1,0.6913660591615898,0.5017437241254105,98760.09573695592,2.9333684706829217,1492208.8333333333,0,((((5)*(5))+((9)*(4)))*((8)*((7)*((x)*(x))))),(((((x)/(0))*((0)+(0)))+(((x)*(0))*((x)+((5)/(7)))))-(((5)*((5)*(0)))/(((x)/(0))-((8)/((x)/(x)))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|MutateTerminalR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|ReplaceBranchXR|DivXD|SkipD|AddTreeWithSub,AddRandomSubTreeR,DivXD,19,18,20,20,5
20,(x),30,-10,0.09668207020537252,0.1871592170097306,0.39113894896318635,0.4,19797.716617857375,8.78139550968383,320300.0487534392,0,0.9999454273425542,1,0.7843911408766203,0.4678085078797946,393003.0763340788,2.1658200051484044,7482379.5,0,((((9)*(4))*((8)*((7)*(3))))*(((9)+(5))-((1)*((x)*(x))))),(((((6)+(9))/((x)+((x)/(x))))-(((9)-(x))*((8)/((4)*(9)))))*((((0)*(6))-((7)-(1)))/(((x)/(8))/((0)/((x)/((x)/(x))))))),DeleteTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|ReplaceBranchR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|MultXD,AddTreeWithDiv|DivXD|DivXD|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddTreeWithMult|DeleteTerminalR|DivXD|AddTreeWithDiv|ReplaceBranchXR|DivXD|DivXD|AddXD,AddRandomSubTreeR,DivXD,20,20,21,21,5
