A,P,AFinal,PFinal,AGen,PGen,count,run
DeleteNonTerminalR,AddXD,DeleteNonTerminalR,AddXD,0,0,0,3
DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,0,0,1,3
ReplaceBranchXR,SkipD,ReplaceBranchXR,SkipD,0,0,2,3
AddRandomSubTreeR,SkipD,AddRandomSubTreeR,SkipD,0,0,3,3
MutateTerminalR,AddTreeWithAdd,MutateTerminalR,AddTreeWithAdd,0,0,4,3
MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,0,0,5,3
MutateTerminalR,AddToLeafR,MutateTerminalR,AddToLeafR,0,0,6,3
AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,AddToLeafR,0,0,7,3
AddTreeWithSub,DivXD,AddTreeWithSub,DivXD,0,0,8,3
AddTreeWithAdd,AddXD,AddTreeWithAdd,AddXD,0,0,9,3
AddTreeWithMult,ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,0,0,10,3
MutateNonTerminalR,MutateTerminalR,MutateNonTerminalR,MutateTerminalR,0,0,11,3
MutateTerminalR,ReplaceBranchR,MutateTerminalR,ReplaceBranchR,0,0,12,3
SkipD,SkipD,SkipD,SkipD,0,0,13,3
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,14,3
