A,P,AFinal,PFinal,AGen,PGen,count,run
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,0,0,0,9
SubXD,AddXD,SubXD,AddXD,0,0,1,9
SkipD,ReplaceBranchXR,SkipD,ReplaceBranchXR,0,0,2,9
AddTreeWithMult,AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,0,0,3,9
AddToLeafR,DeleteMaliciousR,AddToLeafR,DeleteMaliciousR,0,0,4,9
AddRandomSubTreeR,DeleteMaliciousR,AddRandomSubTreeR,DeleteMaliciousR,0,0,5,9
AddTreeWithSub,AddTreeWithMult,AddTreeWithSub,AddTreeWithMult,0,0,6,9
MultXD,DivXD,MultXD,DivXD,0,0,7,9
DivXD,AddXD,DivXD,AddXD,0,0,8,9
AddXD,DeleteNonTerminalR,AddXD,DeleteNonTerminalR,0,0,9,9
AddTreeWithAdd,SkipD,AddTreeWithAdd,SkipD,0,0,10,9
SubXD,AddTreeWithDiv,SubXD,AddTreeWithDiv,0,0,11,9
DeleteMaliciousR,DeleteTerminalR,DeleteMaliciousR,DeleteTerminalR,0,0,12,9
MultXD,AddTreeWithSub,MultXD,AddTreeWithSub,0,0,13,9
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,14,9
