gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.2113948988654117,0.27745709532713114,0.39701975074681534,0.4,290807.39530206355,23.2761686359847,3474501.2879452384,0,0.9999895392270012,1,0.8151470563741678,0.032232670968982885,3706838.7709060847,0.08410673027263545,39034718.88571429,0,((((x)*((2)+(8)))-(((x)*(3))+((x)+(x))))*(((x)*(x))*((x)/((7)/((5)*(x)))))),(((8)/((x)*(1)))/((0)+(x))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,11,11,12,12,4
12,(x),30,-10,0.25290260462085373,0.34002459409582614,0.39730127768479967,0.4,233293.2289862483,3.364613112025231,3549608.429637566,0,0.9999972798978206,1,0.6115843017100733,0.007972532317877023,7768983.45043651,0.015771983153911474,150116909.74166667,0,((((x)*((x)-(5)))*(((x)+(4))+((8)-(3))))*(((x)*(x))*((x)/((4)/((7)*(x)))))),((((2)*((x)/(x)))-((8)/((6)/(0))))/(((x)/(9))/((5)/((x)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|MutateTerminalR|SkipD|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithDiv,AddToLeafR|ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,11,10,13,13,4
13,(x),30,-10,0.28793322940913607,0.35645045037220735,0.3993642237361268,0.4,122749.31876077225,0.8277655283039258,683538.9093333333,0,0.9999818306252308,1,0.024818778721201456,0,4531548.83462963,0,22473714.066666666,0,((((x)*((8)+(1)))*(((x)+(4))*((8)*(1))))-(((x)*(x))*((x)*((x)/((x)*(x)))))),((((x)/((0)-(2)))/((0)/((6)/(9))))/(((4)/(0))/((8)/((x)+(x))))),MultXD|AddXD|MultXD|AddTreeWithMult|DeleteTerminalR|SubXD|MutateTerminalR|SkipD|MultXD|MultXD|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,13,13,14,14,4
14,(x),30,-10,0.3633815819200795,0.38266298946857275,0.3994675676357846,0.4,78191.09726407316,0.6098986130327865,607780.9795894179,0,0.9999740966842972,1,0.01059895725365096,0,1506187.67675,0,15763747.7,0,((((x)*((x)+(4)))*(((5)-(8))*((x)+(0))))+(((3)*(x))*((x)/((0)+((2)*(x)))))),((((0)/((2)/(2)))/((6)/((0)-(6))))/(((5)/(0))/((4)/((x)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|AddTreeWithMult|SkipD|MultXD|MutateTerminalR|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,12,14,15,15,4
15,(x),30,-10,0.3383981411025178,0.3930850615102201,0.39901034513150824,0.4,90719.92705434283,0.1857674485559222,845743.5424212121,0,0.9999830617038568,1,0.4557763324633842,0,1718366.046904762,0,24107107.933333334,0,((((x)*((x)-(2)))+(((9)*(x))*((9)+(x))))*(((9)*(8))*((x)/((4)+((4)*(x)))))),((((5)/((3)/(9)))-((6)*((4)/(0))))/(((1)/(1))/((6)/((x)/((x)+(x)))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SkipD|AddTreeWithMult|SkipD|MultXD|MutateTerminalR|AddToLeafR|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,15,15,16,16,4
16,(x),30,-10,0.3280837298975115,0.3931596595448039,0.39613721554474585,0.4,76839.05409054496,0.07417388196768565,295430.798229082,0,0.9999372100489188,1,0.0008400574791608999,0,1933372.4033884336,0,6503163.743589743,0,((((x)*((x)-(0)))+(((9)*(x))+((x)-(8))))*(((x)*(x))*((x)/((4)+((9)*(x)))))),((((1)/((7)/(9)))/((5)/((4)-(6))))/(((7)/(6))/((x)/((0)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SubXD|MutateTerminalR|SkipD|MultXD|MultXD|SkipD|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,16,16,17,17,4
17,(x),30,-10,0.36150571506449536,0.38878521114457476,0.3982449353340606,0.4,345639.8477554608,0.4390580146223381,1403014.7582611325,0,0.9999751510059272,1,0.0004636898626625842,0,4627740.209380953,0,16432590.073333334,0,((((x)*((x)-(x)))*(((x)+(x))-((1)+(1))))-(((x)*((x)*(x)))*((x)/((5)+((0)*(x)))))),((((7)/((1)/(8)))-((0)/((0)/(5))))/(((1)/(5))/((6)/((4)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SubXD|AddToLeafR|SkipD|MultXD|MultXD|SkipD|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,17,17,18,18,4
18,(x),30,-10,0.3586394970324969,0.3929011980879678,0.3996674719668824,0.4,667527.405412298,0.10708556073597712,2449473.9425753974,0,0.9999845886131639,1,0.0008563878363946456,0,4512077.940208334,0,26495560.566666666,0,((((9)*((9)*(x)))-(((9)+(2))*((x)+(x))))-(((x)*((x)+(1)))*((x)*((x)/((x)*(x)))))),((((3)/((3)/(4)))+((0)/((8)-(2))))/(((6)/(4))/((x)/((0)+(x))))),AddRandomSubTreeR|SubXD|MultXD|AddXD|AddTreeWithAdd|SubXD|AddToLeafR|SkipD|MultXD|MultXD|SkipD|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,18,18,19,19,4
19,(x),30,-10,0.37569738145719556,0.3962800724458935,0.39982322696396105,0.4,1015551.7107747133,0.030379408358536607,4887797.0507373735,0,0.9999900500272769,1,0.45196204107179533,0,4765001.455,0,41038638.46666667,0,((((x)*((x)*(x)))-(((x)*(4))+((4)+(x))))-(((1)+((5)*(x)))*((x)*((x)/((x)*(x)))))),((((6)/((4)/(0)))-((7)/((7)/(6))))/(((0)/(3))/((x)/((0)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SubXD|AddToLeafR|SkipD|MultXD|MultXD|SkipD|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,19,19,20,20,4
20,(x),30,-10,0.38030686862784757,0.3979734225696703,0.3998740809339411,0.4,1263861.6465285344,0.016550382347692974,10117266.113960078,0,0.9999981497039382,1,0.0004977244107195661,0,14933642.690952381,0,220685403.68571427,0,((((x)*((x)*(x)))+(((9)-(x))*((x)+(x))))-(((x)*((x)*(x)))*((x)/((5)+((2)*(x)))))),((((5)/((6)/(3)))/((x)-((3)/(0))))/(((0)/(9))/((x)/((0)+(x))))),MultXD|SubXD|MultXD|AddXD|AddTreeWithAdd|SubXD|AddToLeafR|SkipD|MultXD|MultXD|SkipD|MultXD|DivXD|MultXD|AddTreeWithAdd,AddToLeafR|FellTreeD|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DivXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|AddXD,MultXD,AddTreeWithDiv,20,19,21,21,4
