gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03841763298915175,0,-0.03830743170827343,0,242.13379999999998,244.832,258.9968,244.832,-0.955608417200366,0,0.002230853230143126,0,6280.9,6120.8,6792.8,6120.8,(((3)-((0)-(9)))*((x)*((x)+(x)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,8,8,12,12,3
12,x*x*x*x,25,-10,-0.038395799241929165,0,-0.03837145993987714,0,245.4748,244.832,249.1992,244.832,-0.9572521239053718,0,0.001384802456582835,0,6298.42,6120.8,6541.28,6120.8,(((x)*((8)-(1)))*((0)-((2)-(x)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|FellTreeD,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,10,11,13,13,3
13,x*x*x*x,25,-10,-0.038220258789700694,0,-0.037321976212259834,0,272.336,244.832,409.7912,244.832,-0.8557171611554045,0,0.05526392539144536,0,9512.66,6120.8,22078.16,6120.8,(((x)*((0)-(8)))*((x)*((x)*(4)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,13,12,14,14,3
14,x*x*x*x,25,-10,-0.038437887857796366,0,-0.0383540975035943,0,239.03440000000003,244.832,251.85600000000002,244.832,-0.9584315775715594,0,0.0009346297064413761,0,6180.84,6120.8,6360.8,6120.8,(((x)+((0)-(1)))-((9)*((x)*(x)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteNonTerminalR,14,13,15,15,3
15,x*x*x*x,25,-10,-0.04360426349496798,0,-0.0383960789439289,0,213.5756,244.832,245.43200000000002,244.832,-0.9596078943928898,0,0.0003469780897578403,0,6129.54,6120.8,6180.8,6120.8,(((x)*((5)-(6)))*((x)+((2)-(0)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|FellTreeD,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|SkipD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithDiv|FellTreeD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,10,14,16,16,3
16,x*x*x*x,25,-10,-0.038430562018036865,0,-0.03823618873349889,0,240.15540000000001,244.832,269.8984,244.832,-0.9516110312377466,0,0.004319131712437804,0,6415.82,6120.8,7404.48,6120.8,(((x)*((x)*(0)))-((1)*((4)*(x)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|FellTreeD,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,SkipD,DeleteMaliciousR,10,12,17,17,3
17,x*x*x*x,25,-10,-0.038203059730754156,0,-0.03743385178408051,0,274.9678,244.832,392.672,244.832,-0.8809515096065874,0,0.039515278488653376,0,9146.86,6120.8,18216.8,6120.8,(((3)*((8)*(x)))*((x)*((0)-(9)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|SubXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,17,16,18,18,3
18,x*x*x*x,25,-10,-0.038186010978957,0,-0.037148419814403345,0,277.5766,244.832,436.34880000000004,244.832,-0.8524062214089662,0,0.05710106473297358,0,9676.9,6120.8,22584.8,6120.8,(((x)*((0)-(6)))*((7)*((7)*(x)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|FellTreeD,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,10,12,19,19,3
19,x*x*x*x,25,-10,-0.03858735590118939,0,-0.03840075807084042,0,216.16279999999998,244.832,244.71599999999998,244.832,-0.9600000000000001,0,0.0010456149522938274,0,6040.8,6120.8,6120.8,6120.8,(((0)*(0))*((x)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,19,18,20,20,3
20,x*x*x*x,25,-10,-0.03837820677035682,0,-0.038349810482289894,0,248.1668,244.832,252.512,244.832,-0.9549810482289898,0,0.0027865351897573623,0,6454.280000000001,6120.8,6888.8,6120.8,(((x)*((x)+(8)))*((0)-((x)-(0)))),(0),AddToLeafR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|SubXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,20,16,21,21,3
