gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
31,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((0)*(x)))*((3)-(2))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,30,30,32,32,3
32,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,30,31,33,33,3
33,x*x*x*x,25,-10,-0.038415671154097504,0,-0.038400000000000004,0,242.43400000000003,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((1)*((0)*(x)))*((x)*(0))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|DivXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|FellTreeD,SkipD,DivXD,31,30,34,34,3
34,x*x*x*x,25,-10,-0.03837366880146386,0,-0.038294675205855444,0,248.8612,244.832,260.94879999999995,244.832,-0.9494675205855443,0,0.005266239707227893,0,6523.719999999999,6120.8,7732.48,6120.8,(((x)*((0)-(5)))*((x)*(x))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,34,32,35,35,3
35,x*x*x*x,25,-10,-0.038500000000000006,0,-0.038400000000000004,0,229.53,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((8)-((7)*(0)))*((0)*(x))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,34,34,36,36,3
36,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((0)*(0)))*((7)*(x))),(0),AddToLeafR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteNonTerminalR,DeleteMaliciousR,35,35,37,37,3
37,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((x)*(0)))+((4)*(0))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,34,35,38,38,3
38,x*x*x*x,25,-10,-0.038401469089007975,0,-0.038400000000000004,0,244.6072,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*(0))*((0)*(0))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,34,34,39,39,3
39,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,36,38,40,40,3
40,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((x)*(0)))*((7)*(8))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,39,38,41,41,3
41,x*x*x*x,25,-10,-0.038500000000000006,0,-0.038400000000000004,0,229.53,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(0))+((7)*(x))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|FellTreeD,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,40,40,42,42,3
42,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*((5)+(0)))*((x)*(0))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|FellTreeD,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,40,40,43,43,3
43,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((0)+(0)))*((x)*(0))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,42,42,44,44,3
44,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*((0)+(0)))*((x)*(0))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,43,43,45,45,3
45,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*((x)*(1)))*((0)-(5))),(0),AddToLeafR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,43,44,46,46,3
46,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,43,43,47,47,3
47,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(0))+((8)+(0))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,43,46,48,48,3
48,x*x*x*x,25,-10,-0.03840841589334728,0,-0.038400000000000004,0,243.54420000000002,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)+(0))*((x)*(x))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteNonTerminalR,DeleteMaliciousR,47,47,49,49,3
49,x*x*x*x,25,-10,-0.03840823813880539,0,-0.038400000000000004,0,243.57139999999998,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,47,48,50,50,3
50,x*x*x*x,25,-10,-0.038400101947457854,0,-0.038400000000000004,0,244.8164,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(0))*((x)*(x))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,49,48,51,51,3
51,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|MutateTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,50,50,52,52,3
52,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|MutateTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,51,50,53,53,3
53,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(0))*((0)-(2))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,52,51,54,54,3
54,x*x*x*x,25,-10,-0.03840363220494053,0,-0.03839954254345837,0,244.2762,244.832,244.90200000000002,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,((7)*((3)*(0))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,54,53,55,55,3
55,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|SubXD|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,54,54,56,56,3
56,x*x*x*x,25,-10,-0.03840375375767874,0,-0.038400000000000004,0,244.25760000000002,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,55,55,57,57,3
57,x*x*x*x,25,-10,-0.038401154097503595,0,-0.038400000000000004,0,244.65540000000001,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,SkipD,DeleteMaliciousR,57,56,58,58,3
58,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|MultXD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,57,56,59,59,3
59,x*x*x*x,25,-10,-0.03840091491308326,0,-0.038400000000000004,0,244.692,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*(0))*((0)*(x))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|MultXD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,57,58,60,60,3
60,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,((x)-((3)*(0))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteNonTerminalR,DeleteMaliciousR,59,59,61,61,3
61,x*x*x*x,25,-10,-0.038409100771141035,0,-0.03839526336426611,0,243.43940000000003,244.832,245.5568,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)-(0))*((x)*(x))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,AddToLeafR,DeleteMaliciousR,59,59,62,62,3
62,x*x*x*x,25,-10,-0.038400079728140114,0,-0.038400000000000004,0,244.8198,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,DeleteTerminalR,DeleteMaliciousR,61,61,63,63,3
63,x*x*x*x,25,-10,-0.03840001503071494,0,-0.038400000000000004,0,244.8297,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((7)-(x))+((6)*(0))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,ReplaceBranchR,DeleteMaliciousR,62,62,64,64,3
64,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),MultXD|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,MultXD,DeleteMaliciousR,63,63,65,65,3
65,x*x*x*x,25,-10,-0.03839268069533394,0,-0.03837072278133578,0,245.952,244.832,249.312,244.832,-0.9570722781335774,0,0.001463860933211325,0,6232.8,6120.8,6568.8,6120.8,(((x)*(x))*((0)-(8))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|AddTreeWithDiv|FellTreeD,ReplaceBranchR,DeleteTerminalR,64,64,66,66,3
66,x*x*x*x,25,-10,-0.03840001503071494,0,-0.038400000000000004,0,244.8297,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|AddTreeWithDiv|FellTreeD,ReplaceBranchR,DeleteTerminalR,64,64,67,67,3
67,x*x*x*x,25,-10,-0.038400000000000004,0,-0.038400000000000004,0,244.832,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((x)*(0))*((0)+(9))),(0),ReplaceBranchR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|DivXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,SkipD,DeleteMaliciousR,64,66,68,68,3
68,x*x*x*x,25,-10,-0.03840548817148086,0,-0.038400000000000004,0,243.99220000000003,244.832,244.832,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*((0)*(x)))*((x)*(x))),(0),MultXD|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|MutateNonTerminalR|DivXD|DeleteTerminalR|SubXD|DeleteMaliciousR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD|DivXD|SkipD|FellTreeD|AddTreeWithAdd|SkipD|DeleteMaliciousR|FellTreeD,MultXD,DeleteMaliciousR,67,67,69,69,3
