A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithAdd,AddRandomSubTreeR,AddTreeWithAdd,DeleteTerminalR,0,0,0,3
AddTreeWithDiv,FellTreeD,AddTreeWithDiv,AddTreeWithDiv,0,0,1,3
MultXD,ReplaceBranchXR,MultXD,DeleteNonTerminalR,0,0,2,3
SkipD,AddTreeWithMult,SkipD,DeleteMaliciousR,0,0,3,3
SubXD,DeleteMaliciousR,SubXD,DeleteMaliciousR,0,0,4,3
,AddTreeWithDiv,,DivXD,0,0,5,3
,MultXD,,FellTreeD,0,0,6,3
,SkipD,,DivXD,0,0,7,3
,MultXD,,DeleteMaliciousR,0,0,8,3
,AddXD,,DeleteMaliciousR,0,0,9,3
,AddRandomSubTreeR,,DeleteTerminalR,0,0,10,3
,ReplaceBranchR,,ReplaceBranchXR,0,0,11,3
,DeleteMaliciousR,,MultXD,0,0,12,3
,AddRandomSubTreeR,,DivXD,0,0,13,3
,DeleteMaliciousR,,SkipD,0,0,14,3
,SkipD,,AddTreeWithMult,0,0,15,3
,DeleteMaliciousR,,AddTreeWithAdd,0,0,16,3
,DeleteTerminalR,,AddTreeWithSub,0,0,17,3
,AddTreeWithDiv,,DeleteMaliciousR,0,0,18,3
,MutateNonTerminalR,,FellTreeD,0,0,19,3
