gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
34,x*x*x*x,25,-10,-0.0337501228597569,0.00008933552798965587,-0.02827097111488694,0.00024650372500326914,956.3562,244.2852,1794.776,243.32319999999999,-0.43267599006665797,0.0130440465298654,0.2377572551869534,0.007003397045119132,39765.5,6083.96,86811.92,6040.96,((((x)*(x))*((x)+(5)))*((x)-((x)+((x)*(x))))),((((9)-(0))+((2)-((0)-(0))))-(((0)+(x))*((x)+((x)+(x))))),MutateTerminalR|SubXD|AddTreeWithAdd|AddXD|SubXD,SkipD|SubXD|DeleteNonTerminalR|ReplaceBranchR|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,SubXD,AddXD,34,34,35,35,0
35,x*x*x*x,25,-10,-0.032577988498235524,0.00008384691588502,-0.024796852698993597,0.0002774800679649721,1135.7161999999998,244.31879999999998,2326.3856,243.1336,-0.4884637302313423,0.01827212129133449,0.19254475505313137,0.009088216248603951,42680.659999999996,6092.13,78275.28,6008.96,((((9)*(x))*((x)*(9)))+((x)-((x)+((x)*(x))))),(((0)+((0)+(x)))+((x)*(x))),MutateTerminalR|SubXD|AddTreeWithAdd|AddXD|SubXD,SkipD|SubXD|DeleteNonTerminalR|ReplaceBranchR|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,SubXD,AddXD,34,34,36,36,0
36,x*x*x*x,25,-10,-0.030246878839367403,0.000015720483094464594,-0.023300222193177365,0.00023336818716507672,1492.4225999999999,244.7399,2555.4,243.4036,-0.4796340347666972,0.020402561756633138,0.05259996875501291,0.010324963017259697,70189.95999999999,6090.58,79626.4,5995.92,((((x)*(x))*((x)*((8)+(6))))+((x)-((x)+((x)*(x))))),(((0)+((7)+(x)))+((x)*(x))),AddRandomSubTreeR|SubXD|AddTreeWithAdd|AddXD|MultXD,SkipD|SubXD|DeleteNonTerminalR|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,AddRandomSubTreeR,AddXD,36,36,37,37,0
37,x*x*x*x,25,-10,-0.03470296039733368,0.000034844878873472344,-0.029889279832701607,0.00016605672461116245,810.5529999999999,244.61949999999996,1547.1424,243.81560000000002,-0.64,0.009149130832570905,0.14212884390218394,0.004500740694209066,32284.12,6105.8099999999995,55087.2,6064.8,((((x)*(x))*((2)+(8)))*((x)-((x)+((x)*(x))))),(((0)-(0))+((x)*(x))),MutateTerminalR|SubXD|AddTreeWithAdd|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|AddTreeWithMult|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,37,37,38,38,0
38,x*x*x*x,25,-10,-0.03490828257744086,0.0000904177253708168,-0.031171407659129527,0.00039367402953862247,779.1346000000001,244.2805,1350.9512,242.4224,-0.72,0.027395111750098074,0.09835410095248338,0.013589510644805087,26987.56,6077.88,42845.6,5953.12,((((x)*(8))*((x)*(x)))-((x)+((x)*(x)))),((((x)*(0))-((x)*((0)-(0))))-(((0)+(x))+((x)+((x)*(x))))),MutateTerminalR|SubXD|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,36,38,39,39,0
39,x*x*x*x,25,-10,-0.036677282708142724,-0.0000521265079388495,-0.03274422167036989,0.00024179845771794535,508.4422,245.16459999999998,1110.2792,243.35200000000003,-0.5665152267677428,0.009149130832570905,0.19200263620129335,0.004309164507550408,22402.44,6104.34,66331.84,6064.8,((((x)*(x))*((x)*(x)))-((x)+((x)*(x)))),(((0)+(0))+((x)*(x))),MutateTerminalR|SubXD|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,38,39,40,40,0
40,x*x*x*x,25,-10,-0.03572114756241014,0.00007919179516233295,-0.032248741341001176,0.0005182982616651429,654.7499999999999,244.3626,1186.0976,241.65959999999998,-0.5665152267677428,0.009149130832570905,0.14113545660797708,0.004117635711247967,40269.7,6101.110000000001,66331.84,6064.8,((((x)*(x))*((x)*(x)))-((x)+((x)*(x)))),(((0)-((0)+(0)))+((x)*(x))),MutateTerminalR|SubXD|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,38,39,41,41,0
41,x*x*x*x,25,-10,-0.03610649196183505,-0.00006938542482380772,-0.031125824075284275,0.00026016207031760664,595.7846,245.29015714285714,1357.9263999999998,243.23960000000002,-0.7196340347666971,0.011031237746699849,0.1035704140843409,0.005204565000717745,19217.260000000002,6100.860000000001,42901.6,6053.28,((((8)*(x))*((x)*(x)))-((0)+((x)*(x)))),(((0)+((0)+(6)))-((0)+((x)*(x)))),SubXD|DeleteTerminalR|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,SubXD,AddXD,41,39,42,42,0
42,x*x*x*x,25,-10,-0.033721057378120506,0.000026143533069437913,-0.029292651940922756,0.0001449483727617309,960.8038,244.6724,1638.4384,243.9448,-0.6803659652333028,0.009149130832570905,0.12000000000000001,0.005887893352368773,33608.4,6111.88,48910.4,6064.8,((((x)*(x))*((9)*(x)))-((x)-((x)+((x)*(x))))),(((0)+(0))+((x)*(x))),SubXD|DeleteTerminalR|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,SubXD,AddXD,41,42,43,43,0
43,x*x*x*x,25,-10,-0.03492766958567508,-0.01992180754012929,-0.030868921709580447,0.00025539145209776455,776.168,510.81539999999995,1397.2376000000002,243.2688,-0.5666793883152529,0.006064566723304125,0.19249320707011708,0.0029051518292038726,42301.880000000005,6109.93,66306.72,6083.68,((((x)*(x))*((x)*(x)))-((x)-((4)+((x)*(x))))),((((0)+(8))-((0)+(2)))*((9)+((0)+(x)))),SubXD|DeleteTerminalR|MutateTerminalR|AddXD|MultXD,SkipD|SubXD|AddTreeWithAdd|ReplaceBranchR|AddXD|DeleteMaliciousR|MutateTerminalR|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|MutateTerminalR|SkipD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,DeleteTerminalR,AddXD,41,43,44,44,0
