generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,bottomAntagonist,bottomProtagonist,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistAge,topProtagonistAge,topAntagonistEquation,topProtagonistEquation,spec,runNumber
13,0.7716148114674101,0.8793424270538764,0.8998687932460194,0.9465392209549739,0.8998687932460194,0.9465392209549739,StrategyMultXD,StrategyReplaceBranchXR,13,13,(((((((5)*(x))*(((7)*(7))*(x)))*(x))*(x))*(x))*(x)),(((((x)-(7))*((x)*((x)*(x))))*((6)+((5)*((2)+(9)))))+(x)),5*x*x*x,1
14,0.777651227606611,0.882297805801827,0.9025840793205855,0.9589724322928642,0.9025840793205855,0.9589724322928642,StrategyAddToLeafR,StrategyReplaceBranchR,14,14,(((((((5)*(x))*((x)*(x)))*((7)*(8)))*(x))*(x))*(x)),((5)*(6)),5*x*x*x,1
15,0.7723695134522921,0.8821575885742612,0.8688210095109222,0.9618203820325766,0.8688210095109222,0.9618203820325766,StrategyAddToLeafR,StrategyReplaceBranchXR,15,15,(((((((5)*((9)*(9)))*((x)*(x)))*(x))*(x))*(x))*(x)),(((3)-(3))*((x)*((x)-(9)))),5*x*x*x,1
16,0.7851626850800763,0.8922533075094121,0.8954562010450923,0.9650092562138621,0.8954562010450923,0.9650092562138621,StrategyAddToLeafR,StrategyReplaceBranchR,16,16,(((((((5)*(x))*((x)*(x)))*(x))*((8)*(9)))*(x))*(x)),((0)-(5)),5*x*x*x,1
17,0.7689325259037929,0.8897315613900976,0.9055874094889509,0.9555179688559319,0.9055874094889509,0.9555179688559319,StrategyAddToLeafR,StrategyReplaceBranchXR,17,17,(((((((5)*((8)*(8)))*((x)*(x)))*(x))*(x))*(x))*(x)),((9)*(6)),5*x*x*x,1
18,0.7729182489493722,0.8873651751394369,0.8750314056872199,0.9711268586424189,0.8750314056872199,0.9711268586424189,StrategyAddToLeafR,StrategyReplaceBranchXR,18,18,(((((((5)*(x))*((x)*(x)))*(x))*((9)*(8)))*(x))*(x)),((8)-(5)),5*x*x*x,1
19,0.7897268580553366,0.8954802393321961,0.8843554269028043,0.9750726990065489,0.8843554269028043,0.9750726990065489,StrategyAddToLeafR,StrategyReplaceBranchXR,19,19,(((((((5)*(x))*((x)*(x)))*((7)*(8)))*(x))*(x))*(x)),((((x)+(7))*((x)*((5)+(3))))*((x)*((x)-(9)))),5*x*x*x,1
20,0.762839131063281,0.8839049409343899,0.9101732408254744,0.9614648270222443,0.9101732408254744,0.9614648270222443,StrategyAddToLeafR,StrategyReplaceBranchR,20,20,((((((((9)*(9))*(x))*((x)*(x)))*(x))*(x))*(x))*(x)),((3)+(1)),5*x*x*x,1
21,0.7615261810868265,0.8798629322130317,0.8986234001033354,0.9557813825660781,0.8986234001033354,0.9557813825660781,StrategyAddToLeafR,StrategyReplaceBranchXR,21,21,(((((((5)*(x))*((x)*(x)))*((9)*(8)))*(x))*(x))*(x)),((9)*(5)),5*x*x*x,1
22,0.7736780688453818,0.8872568436986176,0.88011116490579,0.9527194465943315,0.88011116490579,0.9527194465943315,StrategyAddToLeafR,StrategyReplaceBranchXR,22,22,(((((((5)*(x))*((x)*(x)))*((9)*(8)))*(x))*(x))*(x)),((((5)+(x))*((x)*((9)-(9))))*((x)*((x)*(4)))),5*x*x*x,1
