gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
53,x*x*x*x,25,-10,0.026494427450374305,0.00005767437811187116,0.05631337824863101,0.00019317736243628397,73048.50546666667,366.895,230593.44560000004,366.06559999999996,0.9758424035830259,0.009462815318259063,0.7251572819554732,0.0035624355428658604,1685127.8399999999,6106.746666666666,6334239.44,6062.88,((((x)*(9))*((x)*((x)*(9))))+((1)*((x)*((x)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,52,53,54,54,0
54,x*x*x*x,25,-10,0.02397742952356047,-0.003131929077225614,0.05556726380479575,0.00520846948111358,80722.63986666665,2468.441466666666,242261.6896,335.36800000000005,0.9781451814652629,0.0028100901842896056,0.10869982642114105,0.0010715246168303066,2648498.8800000004,6111.3,7001659.6,6103.6,((((x)+(3))*((x)*((x)*(x))))*((7)*((x)*((x)-(x))))),((x)*((8)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,54,54,55,55,0
55,x*x*x*x,25,-10,0.01858702611245193,0.00006778163350918555,0.04176555055893612,0.00016808260358123136,103432.20893333333,366.8331333333333,281119.0608,366.2192,0.9728205046517896,0.003097634296170441,0.033465836276416194,0.00101347831125739,3925054.2266666666,6110.113333333334,5629979.44,6101.84,((((x)*(x))*((x)*((x)*(6))))+((4)*((x)*((8)-(x))))),((x)*((9)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,54,55,56,56,0
56,x*x*x*x,25,-10,0.015600229202095464,0.00007453354126315146,0.039771198995747985,0.00016010978956999087,49789.666799999985,366.7918,111762.9912,366.26800000000003,0.9637518725040741,0.0028100901842896056,0.1982158462358006,0.0005207516872013428,1906585.2266666666,6109.646666666667,4221459.44,6103.6,((((x)*(x))*((x)*((x)*(6))))*((9)+((6)*((x)-(x))))),((x)*((8)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,56,55,57,57,0
57,x*x*x*x,25,-10,0.02328280370140396,0.00003857445622337677,0.05324682713019721,0.00020363351195922455,69153.49893333334,367.01200000000006,191093.67760000002,366.00159999999994,0.9798708414687038,0.003097634296170441,0.7716441283554601,0.0011822679026948404,2646122.8133333335,6114.233333333334,7601907.44,6101.84,((((x)*(x))*((9)*((9)+(3))))*((x)*((x)*((x)-(x))))),((x)*((9)+(x))),AddTreeWithSub|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddXD,AddTreeWithMult,FellTreeD,57,57,58,58,0
58,x*x*x*x,25,-10,0.015843493459334418,0.0000561169809157614,0.038219884480224835,0.00014906548163638706,98907.39266666665,366.9045333333333,301383.39199999993,366.3356,0.9894402920880077,0.0017971506992549994,0.5473674250835058,0.0004960246425462092,4758332.426666667,6113.586666666667,14490931.12,6109.8,((((x)*(x))*((x)*((x)*(x))))*((x)+((6)*((x)-(x))))),((x)+((9)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,58,58,59,59,0
59,x*x*x*x,25,-10,0.03747552950118533,0.00005928747918240117,0.057255168150830454,0.00017435629329499454,95125.88493333333,366.8851333333334,237031.81120000005,366.18080000000003,0.9798708414687038,0.003097634296170441,0.27916975105004116,0.0009920578949995814,2893254.16,6112.133333333334,7601907.44,6101.84,((((x)*(x))*((x)*((6)*(x))))*((9)+((9)*((x)-(x))))),((x)*((9)+(x))),MultXD|AddTreeWithAdd|MultXD|AddTreeWithMult|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,59,59,60,60,0
60,x*x*x*x,25,-10,0.018191624222208404,0.00011819925712350021,0.05405856484212821,0.00042844072670239296,45225.2658,366.5245333333333,122685.5504,364.62559999999996,0.9627421577136005,0.009462815318259063,0.6502802635963687,0.004371694550668805,1251416.2133333334,6097.053333333333,4107054.8,6062.88,((((x)*(x))*((x)*((8)+(4))))*((x)*((7)*((8)-(x))))),((x)*((x)+(x))),MultXD|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,SubXD,FellTreeD,59,60,61,61,0
61,x*x*x*x,25,-10,-0.005735578607739943,0.00006702938643630895,0.014749130839170994,0.00017435629329499603,26788.354399999997,366.8377333333334,65392.905599999984,366.18080000000003,0.9656120890833417,0.003097634296170441,0.4912820020911422,0.0010372053225375794,1616348.9066666665,6111.266666666667,4449819.6,6101.84,((((9)+(4))*((x)*((8)*(7))))*((x)*((x)*((x)-(x))))),((x)*((9)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|FellTreeD|AddXD,MultXD,FellTreeD,61,61,62,62,0
62,x*x*x*x,25,-10,0.02030224238354596,0.00004343863295910571,0.05487503945036618,0.00012834923539406827,49628.05506666666,366.9821333333333,145353.4456,366.4624,0.9594045789852124,0.003097634296170441,0.9366566613581045,0.0008782129842583433,1146955.68,6113.62,3769390.64,6101.84,((((8)*(6))*((x)*((x)+(2))))*((x)*((x)*((x)-(x))))),((x)*((9)+(x))),MultXD|AddTreeWithAdd|MultXD|AddToLeafR|SubXD,FellTreeD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddXD,MultXD,FellTreeD,62,62,63,63,0
