gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.013344018787113705,0.0009089371935808126,0.03721620627512251,0.005540190824728794,18983.59766666667,361.68486666666666,61626.356799999994,333.33759999999995,0.9196140634518316,0.5527512743432231,0.9384217090969715,0.2261525442111657,688022.52,5563.02,1903566.8,2737.52,((((6)*(x))*((x)*((x)*(x))))*((6)+((7)*((4)-(x))))),((((x)*(x))*((8)*((5)*(3))))*((1)+((x)+((2)*(0))))),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|SkipD,AddToLeafR,DeleteMaliciousR,11,11,12,12,3
12,x*x*x*x,25,-10,-0.0090899858420107,-0.0029238203287814566,0.044112278126682586,0.0006646190040517581,24732.355,529.4813333333333,103717.688,363.18,0.9633468511002402,0,0.9672573981551811,0,896503.9066666666,6120.8,4174811.84,6120.8,((((x)*(9))*((x)-(1)))*((x)*((x)*((x)*(7))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,12,12,13,13,3
13,x*x*x*x,25,-10,-0.02505829250415921,0.000008484729664967503,0.014671155289037003,0.00003143379950333254,7118.406266666667,367.19606666666664,20484.3728,367.05559999999997,0.7524744467313751,0.003143379950333254,0.6668357744808361,0.0011526424108239002,210993.96,6115.606666666667,618198.8,6101.56,((((x)*(x))*((x)*((4)+(8))))+((5)*((6)*((x)-(x))))),((5)+((8)*(x))),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,ReplaceBranchR,13,13,14,14,3
14,x*x*x*x,25,-10,-0.021293642520263265,0.000007134143684921808,0.03012144843980044,0.000016664488302182423,12309.370066666666,367.20433333333335,43407.1792,367.14599999999996,0.8876141610093791,0.0010194745784864367,0.7418436773160354,0.00041785266927016194,436263.35333333333,6117.5,1361559.44,6114.56,((((5)*(6))*((x)*((9)*(x))))*((x)*((4)+((5)-(x))))),(8),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|SubXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,MutateTerminalR,14,14,15,15,3
15,x*x*x*x,25,-10,-0.0011622432819071399,-0.0006821606243852141,0.04981029985483645,0.0004903291290286881,52776.576466666666,374.8482666666667,183306.43920000002,364.24679999999995,0.9870623260664088,0.046673637433015336,0.7723105728581521,0.018945724257967884,3586116.706666667,6071.813333333334,11827473.84,5835.12,((((4)*(3))*((x)*((7)*(x))))+((x)*((x)*((x)*(x))))),(((1)*((x)*(9)))*((6)*(6))),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|SkipD,MultXD,ReplaceBranchR,15,15,16,16,3
16,x*x*x*x,25,-10,0.0014804432757958275,-0.0005819624609963984,0.05250129454454907,0.0043594954907855196,49242.499866666665,379.3518,202488.672,340.56440000000003,0.9879251163154875,0.4328715200627369,0.9181118793426764,0.19597931681939237,2812212.64,5843.360000000001,12672585.84,3471.28,((((x)*(5))*((9)+((3)*(x))))*((3)*((x)*((x)*(x))))),((((0)*(8))+((8)+(9)))*((x)*((x)*((x)-(x))))),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|SubXD|SkipD,MultXD,ReplaceBranchR,16,16,17,17,3
17,x*x*x*x,25,-10,-0.002420353852971713,-0.0038969008965288932,0.042938127098005194,0.0020156863589592135,46067.96493333333,540.1258666666668,162351.952,354.9104,0.9885040638667633,0,0.9857435724518459,0,3479672.9600000004,6120.8,13310790.72,6120.8,((((x)*(x))*((x)*((x)+(6))))*((5)*((7)*((4)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,DeleteMaliciousR,17,17,18,18,3
18,x*x*x*x,25,-10,0.008622946224074552,-0.00000816406658289937,0.05675426932240104,-0.000006532958777030116,153457.10793333332,367.298,586247.9687999999,367.288,0.9913758791435113,0,0.05133300377373277,0,5967306.8,6120.8,17743257.84,6120.8,((((x)*(7))*((4)+((5)*(4))))*((x)*((x)*((x)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateTerminalR|FellTreeD,MultXD,ReplaceBranchR,18,18,19,19,3
19,x*x*x*x,25,-10,0.00802160669750388,-0.00019944896666835936,0.057533338789666544,0.000009410534570644716,231346.14513333328,368.6377333333333,903036.7728,367.1904,0.9973962831885685,0,0.9786529507716094,0,16473667.866666665,6120.8,58769832.16,6120.8,((((x)*(x))*((x)*((x)*(2))))+((x)*((x)*((5)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,DeleteMaliciousR,19,19,20,20,3
20,x*x*x*x,25,-10,0.015992919647789993,0,0.05419434308225586,0,98209.9556,367.24800000000005,402363.4368,367.24800000000005,0.9920255183413078,0,0.18332425532265992,0,4256691.5200000005,6120.8,19188708,6120.8,((((4)*(8))*((x)*((x)*(x))))*((7)*((6)+((8)*(x))))),(0),MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|MultXD,DeleteMaliciousR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD,MultXD,DeleteMaliciousR,20,19,21,21,3
